datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-04-29 10:30:00,1619692200,13.9,15.28,13.51,15.05,5717,0,2947900
2021-04-29 10:45:00,1619693100,15.06,15.1,14.13,15.0,2600,1,890700
2021-04-29 11:00:00,1619694000,14.99,15.0,14.5,14.66,1437,1,430100
2021-04-29 11:15:00,1619694900,14.66,14.95,14.65,14.95,593,1,176300
2021-04-29 11:30:00,1619695800,14.94,14.99,14.81,14.89,615,1,169400
2021-04-29 11:45:00,1619696700,14.9,14.96,14.87,14.91,376,1,100200
2021-04-29 12:00:00,1619697600,14.91,14.95,14.88,14.89,307,1,82800
2021-04-29 12:15:00,1619698500,14.88,14.9,14.58,14.65,478,1,169300
2021-04-29 12:30:00,1619699400,14.65,14.65,14.61,14.64,233,1,84000
2021-04-29 12:45:00,1619700300,14.63,14.64,14.5,14.62,364,1,108800
2021-04-29 13:00:00,1619701200,14.6,14.65,14.5,14.61,344,1,115900
2021-04-29 13:15:00,1619702100,14.61,14.65,14.55,14.61,204,1,64200
2021-04-29 13:30:00,1619703000,14.6,14.63,14.57,14.6,215,1,51700
2021-04-29 13:45:00,1619703900,14.59,14.61,14.56,14.6,210,1,64800
2021-04-29 14:00:00,1619704800,14.6,14.65,14.57,14.6,333,1,128500
2021-04-29 14:15:00,1619705700,14.6,14.62,14.56,14.61,214,1,84000
2021-04-29 14:30:00,1619706600,14.6,14.61,14.6,14.61,200,1,47500
2021-04-29 14:45:00,1619707500,14.6,14.65,14.54,14.6,240,1,85800
2021-04-29 15:00:00,1619708400,14.59,14.6,14.52,14.57,194,1,92100
2021-04-29 15:15:00,1619709300,14.56,14.58,14.55,14.57,181,1,86000
2021-04-29 15:30:00,1619710200,14.58,14.8,14.57,14.77,483,1,216900
2021-04-29 15:45:00,1619711100,14.78,14.99,14.77,14.99,571,1,205700
2021-04-29 16:00:00,1619712000,14.99,15.28,14.97,15.28,316,1,125000
2021-04-29 16:15:00,1619712900,15.02,15.32,14.89,15.04,1129,0,573600
2021-04-29 16:30:00,1619713800,15.03,15.22,14.9,15.05,646,1,306300
2021-04-29 16:45:00,1619714700,15.01,15.08,14.94,14.97,254,1,163100
2021-04-29 17:00:00,1619715600,14.5,14.5,14.5,14.5,348,0,247100
