datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-07-31 10:15:00,1596190500,10.8,11.11,10.59,10.7,2850,0,81199
2020-07-31 10:30:00,1596191400,10.7,10.91,10.56,10.7,1179,1,26719
2020-07-31 10:45:00,1596192300,10.7,10.73,10.5,10.51,1257,1,23194
2020-07-31 11:00:00,1596193200,10.53,10.95,10.52,10.86,692,1,14479
2020-07-31 11:15:00,1596194100,10.86,11.08,10.82,11.0,743,1,16227
2020-07-31 11:30:00,1596195000,11.0,11.1,10.97,11.03,467,1,7742
2020-07-31 11:45:00,1596195900,11.0,11.25,10.98,11.13,480,1,8560
2020-07-31 12:00:00,1596196800,11.15,11.36,11.1,11.28,300,1,6597
2020-07-31 12:15:00,1596197700,11.29,11.31,11.27,11.29,266,1,3827
2020-07-31 12:30:00,1596198600,11.3,11.31,11.2,11.23,207,1,3452
2020-07-31 12:45:00,1596199500,11.22,11.66,11.18,11.55,253,1,5101
2020-07-31 13:00:00,1596200400,11.54,11.63,11.3,11.44,236,1,5834
2020-07-31 13:15:00,1596201300,11.47,11.49,11.1,11.29,731,1,5712
2020-07-31 13:30:00,1596202200,11.29,11.31,11.17,11.29,171,1,2998
2020-07-31 13:45:00,1596203100,11.2,11.23,11.1,11.23,118,1,2102
2020-07-31 14:00:00,1596204000,11.23,11.26,11.12,11.23,102,1,1518
2020-07-31 14:15:00,1596204900,11.25,11.25,11.03,11.1,137,1,2353
2020-07-31 14:30:00,1596205800,11.13,11.16,11.04,11.07,164,1,2408
2020-07-31 14:45:00,1596206700,11.06,11.15,11.05,11.09,102,1,1240
2020-07-31 15:00:00,1596207600,11.09,11.1,10.97,11.02,211,1,3476
2020-07-31 15:15:00,1596208500,11.0,11.29,10.97,11.08,104,1,2106
2020-07-31 15:30:00,1596209400,11.1,11.13,10.99,11.0,95,1,1389
2020-07-31 15:45:00,1596210300,11.0,11.06,11.0,11.02,63,1,1115
2020-07-31 16:00:00,1596211200,11.03,11.11,10.96,11.08,120,1,2696
2020-07-31 16:15:00,1596212100,11.1,11.16,11.07,11.14,86,1,1544
2020-07-31 16:30:00,1596213000,11.14,11.15,11.09,11.1,176,1,2180
2020-07-31 16:45:00,1596213900,11.1,11.15,10.92,10.99,104,1,1595
2020-07-31 17:00:00,1596214800,10.99,10.99,10.99,10.99,39,0,673
2020-08-03 10:00:00,1596448800,11.3,11.44,11.06,11.22,202,0,3970
2020-08-03 10:15:00,1596449700,11.22,11.35,11.12,11.15,191,1,3263
2020-08-03 10:30:00,1596450600,11.16,11.17,10.68,10.86,291,1,5110
2020-08-03 10:45:00,1596451500,10.87,10.89,10.7,10.72,136,1,1418
2020-08-03 11:00:00,1596452400,10.73,10.99,10.72,10.89,87,1,1369
2020-08-03 11:15:00,1596453300,10.89,11.08,10.87,10.87,93,1,2093
