datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-07-31 10:15:00,1596190500,11.0,11.19,10.52,10.71,8089,0,12396700
2020-07-31 10:30:00,1596191400,10.71,10.92,10.54,10.66,6109,1,4371300
2020-07-31 10:45:00,1596192300,10.69,10.73,10.5,10.54,3474,1,1562000
2020-07-31 11:00:00,1596193200,10.54,10.95,10.53,10.84,3521,1,2085500
2020-07-31 11:15:00,1596194100,10.84,11.09,10.83,10.94,3016,1,1367600
2020-07-31 11:30:00,1596195000,10.98,11.1,10.91,11.01,2063,1,1513400
2020-07-31 11:45:00,1596195900,11.02,11.24,10.93,11.14,2101,1,1826700
2020-07-31 12:00:00,1596196800,11.15,11.35,11.11,11.3,1122,1,857000
2020-07-31 12:15:00,1596197700,11.3,11.3,11.22,11.3,1050,1,508200
2020-07-31 12:30:00,1596198600,11.3,11.3,11.2,11.21,1161,1,353800
2020-07-31 12:45:00,1596199500,11.22,11.68,11.15,11.52,1854,0,1107000
2020-07-31 13:00:00,1596200400,11.52,11.64,11.27,11.45,2380,1,746600
2020-07-31 13:15:00,1596201300,11.46,11.47,11.1,11.27,2138,1,953800
2020-07-31 13:30:00,1596202200,11.28,11.3,11.17,11.2,1105,1,541900
2020-07-31 13:45:00,1596203100,11.19,11.26,11.1,11.26,904,1,1254500
2020-07-31 14:00:00,1596204000,11.28,11.28,11.11,11.25,1119,1,395300
2020-07-31 14:15:00,1596204900,11.25,11.25,11.02,11.15,1121,1,672700
2020-07-31 14:30:00,1596205800,11.15,11.15,11.04,11.06,549,1,354200
2020-07-31 14:45:00,1596206700,11.05,11.16,11.03,11.08,449,1,182000
2020-07-31 15:00:00,1596207600,11.08,11.11,10.95,11.0,622,1,406000
2020-07-31 15:15:00,1596208500,11.0,11.31,10.95,11.08,1464,1,906700
2020-07-31 15:30:00,1596209400,11.09,11.13,11.0,11.01,832,1,290200
2020-07-31 15:45:00,1596210300,11.01,11.08,11.0,11.04,779,1,401200
2020-07-31 16:00:00,1596211200,11.03,11.13,11.0,11.08,736,1,495000
2020-07-31 16:15:00,1596212100,11.08,11.17,11.06,11.13,695,1,284400
2020-07-31 16:30:00,1596213000,11.14,11.14,11.08,11.12,941,1,314900
2020-07-31 16:45:00,1596213900,11.12,11.15,10.9,11.02,740,1,920600
2020-07-31 17:15:00,1596215700,11.03,11.03,11.03,11.03,123,0,1626700
2020-08-03 10:00:00,1596448800,11.05,11.44,11.05,11.19,521,0,217000
2020-08-03 10:15:00,1596449700,11.22,11.38,11.1,11.15,411,1,175100
2020-08-03 10:30:00,1596450600,11.15,11.16,10.61,10.87,697,1,201200
2020-08-03 10:45:00,1596451500,10.87,10.92,10.7,10.74,337,1,83300
2020-08-03 11:00:00,1596452400,10.74,10.94,10.73,10.89,397,1,102100
2020-08-03 11:15:00,1596453300,10.89,11.07,10.85,10.88,521,1,351500
2020-08-03 11:30:00,1596454200,10.88,10.89,10.81,10.83,127,1,37000
2020-08-03 11:45:00,1596455100,10.83,10.91,10.82,10.9,89,1,20400
2020-08-03 12:00:00,1596456000,10.9,10.96,10.87,10.88,65,1,9000
2020-08-03 12:15:00,1596456900,10.87,10.89,10.82,10.82,123,1,42500
2020-08-03 12:30:00,1596457800,10.82,10.84,10.79,10.8,131,1,41600
2020-08-03 12:45:00,1596458700,10.8,10.92,10.79,10.83,164,1,30400
2020-08-03 13:00:00,1596459600,10.83,10.88,10.79,10.79,238,1,40300
2020-08-03 13:15:00,1596460500,10.83,10.85,10.74,10.85,230,1,45400
2020-08-03 13:30:00,1596461400,10.85,11.0,10.77,10.93,304,1,280900
2020-08-03 13:45:00,1596462300,10.92,10.98,10.89,10.95,168,1,44500
2020-08-03 14:00:00,1596463200,10.95,10.97,10.93,10.96,161,1,21500
2020-08-03 14:15:00,1596464100,10.95,10.96,10.93,10.96,245,1,45100
2020-08-03 14:30:00,1596465000,10.95,11.09,10.94,11.01,522,1,168800
2020-08-03 14:45:00,1596465900,11.01,11.1,10.94,11.04,363,1,148800
2020-08-03 15:00:00,1596466800,11.04,11.06,10.87,11.05,718,1,334800
2020-08-03 15:15:00,1596467700,11.05,11.05,11.02,11.02,120,1,16900
2020-08-03 15:30:00,1596468600,11.03,11.15,11.02,11.12,372,1,304800
2020-08-03 15:45:00,1596469500,11.13,11.15,11.07,11.14,238,1,62500
2020-08-03 16:00:00,1596470400,11.14,11.26,11.14,11.25,355,1,227400
2020-08-03 16:15:00,1596471300,11.25,11.34,11.12,11.3,261,1,216500
2020-08-03 16:30:00,1596472200,11.3,11.5,11.29,11.38,452,1,265600
2020-08-03 16:45:00,1596473100,11.32,11.4,11.3,11.39,122,1,46200
2020-08-03 17:00:00,1596474000,11.5,11.5,11.5,11.5,92,0,863900
2020-08-04 10:00:00,1596535200,11.37,11.37,11.04,11.08,286,0,112800
2020-08-04 10:15:00,1596536100,11.08,11.16,11.08,11.12,318,1,78400
2020-08-04 10:30:00,1596537000,11.12,11.2,11.11,11.18,273,1,72900
2020-08-04 10:45:00,1596537900,11.17,11.28,11.17,11.21,519,1,287100
2020-08-04 11:00:00,1596538800,11.22,11.26,11.17,11.2,418,1,188200
2020-08-04 11:15:00,1596539700,11.2,11.22,11.04,11.07,395,1,144600
2020-08-04 11:30:00,1596540600,11.07,11.17,11.07,11.11,346,1,137100
2020-08-04 11:45:00,1596541500,11.11,11.14,11.06,11.12,508,1,127100
2020-08-04 12:00:00,1596542400,11.11,11.12,11.04,11.11,387,1,118900
2020-08-04 12:15:00,1596543300,11.12,11.15,11.09,11.11,287,1,62900
2020-08-04 12:30:00,1596544200,11.1,11.11,11.06,11.06,260,1,87900
2020-08-04 12:45:00,1596545100,11.06,11.07,11.06,11.06,153,1,29500
2020-08-04 13:00:00,1596546000,11.06,11.07,11.06,11.06,183,1,48000
2020-08-04 13:15:00,1596546900,11.06,11.07,11.0,11.02,251,1,83200
2020-08-04 13:30:00,1596547800,11.03,11.03,11.0,11.01,190,1,58100
2020-08-04 13:45:00,1596548700,11.01,11.05,11.0,11.01,185,1,43000
2020-08-04 14:00:00,1596549600,11.0,11.04,10.95,10.99,205,1,44300
2020-08-04 14:15:00,1596550500,10.99,11.05,10.99,11.04,89,1,10200
2020-08-04 14:30:00,1596551400,11.02,11.05,11.0,11.03,128,1,21600
2020-08-04 14:45:00,1596552300,11.02,11.1,11.02,11.08,131,1,20000
2020-08-04 15:00:00,1596553200,11.08,11.11,11.08,11.1,104,1,19000
2020-08-04 15:15:00,1596554100,11.11,11.11,11.03,11.05,165,1,36100
2020-08-04 15:30:00,1596555000,11.05,11.05,11.0,11.01,138,1,25200
2020-08-04 15:45:00,1596555900,11.01,11.08,11.0,11.06,247,1,70700
2020-08-04 16:00:00,1596556800,11.06,11.14,11.02,11.08,225,1,143500
2020-08-04 16:15:00,1596557700,11.07,11.12,11.07,11.07,100,1,13700
2020-08-04 16:30:00,1596558600,11.09,11.1,11.0,11.04,184,1,58600
2020-08-04 16:45:00,1596559500,11.03,11.11,11.0,11.11,132,1,53800
2020-08-04 17:00:00,1596560400,11.0,11.0,11.0,11.0,64,0,260400
2020-08-05 10:00:00,1596621600,11.02,11.17,11.02,11.12,60,1,28000
2020-08-05 10:15:00,1596622500,11.1,11.14,11.1,11.12,49,1,14800
