datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-07-25 15:00:00,1185375600,5.7,5.7,5.7,5.7,1,0,100
2007-09-26 12:00:00,1190808000,5.03,5.03,5.03,5.03,2,0,500
2008-12-23 13:00:00,1230037200,4.84,4.84,4.84,4.84,1,0,200
2009-03-18 16:15:00,1237392900,5.04,5.04,5.04,5.04,1,0,200
2009-12-21 16:15:00,1261412100,3.61,3.61,3.61,3.61,2,0,200
2009-12-23 16:30:00,1261585800,3.61,3.61,3.61,3.61,2,0,400
2010-11-17 14:15:00,1290003300,3.61,3.61,3.61,3.61,1,0,100
2010-11-17 15:15:00,1290006900,3.61,3.61,3.61,3.61,1,0,100
2011-11-07 16:30:00,1320683400,5.55,5.55,5.55,5.55,2,0,200
2011-11-11 15:00:00,1321023600,5.55,5.55,5.55,5.55,1,0,300
2012-01-10 13:00:00,1326200400,4.0,4.0,4.0,4.0,4,0,400
2012-01-10 18:00:00,1326218400,4.26,4.26,4.26,4.26,1,0,100
2012-01-17 18:00:00,1326823200,5.16,5.16,5.16,5.16,1,0,100
2012-04-24 15:30:00,1335281400,5.43,5.43,5.43,5.43,1,0,100
2014-04-03 13:15:00,1396530900,34.67,34.67,34.67,34.67,2,0,400
2014-04-03 13:30:00,1396531800,34.68,34.68,34.68,34.68,1,0,300
2017-07-07 16:45:00,1499445900,33.64,33.64,33.64,33.64,1,1,100
2019-07-31 15:30:00,1564587000,38.0,38.0,38.0,38.0,2,3500,200
2019-10-22 11:15:00,1571742900,31.21,31.21,31.21,31.21,3,0,300
2019-10-22 12:30:00,1571747400,33.41,33.41,33.41,33.41,1,454,100
2019-10-22 17:00:00,1571763600,33.46,33.46,33.46,33.46,1,3499,100
2021-04-22 14:15:00,1619100900,45.0,45.0,45.0,45.0,3,0,300
2021-04-22 17:00:00,1619110800,49.0,49.0,49.0,49.0,2,0,200
2021-05-03 10:45:00,1620038700,40.2,40.2,40.2,40.2,1,770,100
