datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-08-03 16:45:00,1154623500,1.3,1.3,1.3,1.3,1,0,93079
2006-08-23 12:00:00,1156334400,1.5,1.5,1.5,1.5,2,0,46666
2006-08-31 12:00:00,1157025600,1.33,1.33,1.33,1.33,1,0,10202
2006-09-15 12:45:00,1158324300,1.33,1.33,1.33,1.33,2,0,35574
2006-10-30 15:15:00,1162221300,1.8,1.8,1.8,1.8,1,0,5
2006-11-07 12:00:00,1162900800,1.6,1.6,1.6,1.6,1,0,39843
2006-11-07 16:15:00,1162916100,1.5,1.5,1.5,1.5,1,0,11192
2006-12-20 15:30:00,1166628600,1.35,1.35,1.35,1.35,4,0,6529
2007-01-09 13:45:00,1168350300,3.1,3.1,3.1,3.1,1,0,6
2007-01-26 13:30:00,1169818200,5.0,5.0,5.0,5.0,1,0,3858
2007-01-29 14:45:00,1170081900,4.46,4.46,4.46,4.46,1,0,24588
2007-02-15 14:30:00,1171549800,4.3,4.3,4.3,4.3,3,0,12
2007-03-13 15:30:00,1173799800,3.15,3.15,3.15,3.15,3,0,129780
2007-03-13 15:45:00,1173800700,3.15,3.15,3.15,3.15,1,0,40353
2007-03-14 16:30:00,1173889800,4.98,4.98,4.98,4.98,8,0,32
2007-03-14 17:00:00,1173891600,2.85,2.85,2.85,2.85,1,0,1
2007-03-15 12:15:00,1173960900,3.9,3.9,3.9,3.9,1,0,5
2007-03-15 12:45:00,1173962700,3.46,3.46,3.46,3.46,1,0,91295
2007-03-15 14:45:00,1173969900,3.99,3.99,3.99,3.99,1,0,84508
2007-03-15 15:30:00,1173972600,3.8,3.8,3.8,3.8,1,0,8705
2007-03-15 16:15:00,1173975300,3.2,3.2,3.2,3.2,2,0,71945
2007-03-15 16:30:00,1173976200,3.3,3.3,3.3,3.3,1,0,1945
2007-03-16 14:00:00,1174053600,4.2,4.2,4.2,4.2,1,0,38000
2007-03-16 15:30:00,1174059000,4.2,4.2,4.2,4.2,1,0,95
2007-03-19 11:45:00,1174304700,5.0,5.0,5.0,5.0,1,0,3
2007-03-19 13:15:00,1174310100,5.0,5.0,5.0,5.0,1,0,3
2007-03-19 14:00:00,1174312800,4.96,4.96,4.96,4.96,1,0,4
2007-03-20 12:00:00,1174392000,5.09,5.09,5.09,5.09,1,0,3
2007-03-20 14:30:00,1174401000,5.0,5.0,5.0,5.0,1,0,3
2007-03-21 12:45:00,1174481100,5.09,5.09,5.09,5.09,1,0,3
2007-03-23 11:00:00,1174647600,5.09,5.09,5.09,5.09,1,0,3
2007-03-26 11:15:00,1174907700,5.09,5.09,5.09,5.09,1,0,3
2007-03-27 11:30:00,1174995000,5.09,5.09,5.09,5.09,1,0,3
2007-03-27 14:45:00,1175006700,5.09,5.09,5.09,5.09,1,0,3
2007-03-27 16:00:00,1175011200,5.09,5.09,5.09,5.09,1,0,3
2007-03-28 11:00:00,1175079600,5.09,5.09,5.09,5.09,1,0,3
2007-03-29 11:15:00,1175166900,5.09,5.09,5.09,5.09,1,0,3
2007-03-29 16:30:00,1175185800,5.09,5.09,5.09,5.09,1,0,3
2007-03-30 11:45:00,1175255100,5.09,5.09,5.09,5.09,1,0,3
2007-03-30 14:15:00,1175264100,5.09,5.09,5.09,5.09,1,0,3
