datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-02-18 10:00:00,1550484000,27.01,27.5,27.01,27.5,5,0,102
2019-02-18 10:15:00,1550484900,27.5,27.5,27.5,27.5,1,5,2
2019-02-18 10:45:00,1550486700,27.25,27.99,27.25,27.99,2,74,34
2019-02-18 11:00:00,1550487600,27.51,27.51,27.51,27.51,1,5,5
2019-02-18 11:15:00,1550488500,27.5,27.54,27.48,27.54,3,3,35
2019-02-18 11:45:00,1550490300,27.52,27.52,27.45,27.45,2,1,17
2019-02-18 12:30:00,1550493000,27.47,27.47,27.45,27.45,2,2,40
2019-02-18 12:45:00,1550493900,27.53,27.53,27.53,27.53,3,6,68
2019-02-18 13:00:00,1550494800,27.51,27.52,27.51,27.52,2,3,38
2019-02-18 14:15:00,1550499300,27.53,27.53,27.53,27.53,1,6,40
2019-02-18 14:45:00,1550501100,27.45,27.45,27.45,27.45,1,6,27
2019-02-18 15:00:00,1550502000,27.45,27.45,27.4,27.4,3,6,10
2019-02-18 16:00:00,1550505600,27.43,27.43,27.43,27.43,1,8,3
2019-02-18 16:30:00,1550507400,27.41,27.41,27.41,27.41,2,4,85
2019-02-18 16:45:00,1550508300,27.45,27.45,27.45,27.45,1,4,25
2019-02-18 17:00:00,1550509200,27.45,27.45,27.45,27.45,1,2,19
2019-02-18 18:00:00,1550512800,27.47,27.47,27.47,27.47,1,60,31
2019-02-19 10:00:00,1550570400,27.69,27.69,27.4,27.55,4,0,41
2019-02-19 10:15:00,1550571300,27.55,27.55,27.55,27.55,1,30,20
2019-02-19 10:45:00,1550573100,27.9,27.9,27.9,27.9,1,9,99
2019-02-19 11:00:00,1550574000,28.0,28.0,28.0,28.0,4,8,10
2019-02-19 11:15:00,1550574900,27.9,27.9,27.9,27.9,1,19,50
2019-02-19 11:30:00,1550575800,27.8,27.8,27.44,27.45,5,1,39
2019-02-19 11:45:00,1550576700,27.55,27.55,27.55,27.55,1,4,1
2019-02-19 12:15:00,1550578500,27.7,27.7,27.7,27.7,1,23,2
2019-02-19 12:30:00,1550579400,27.94,27.99,27.94,27.99,4,9,39
2019-02-19 13:15:00,1550582100,27.99,27.99,27.99,27.99,1,2,35
2019-02-19 14:00:00,1550584800,27.99,27.99,27.99,27.99,2,1,15
2019-02-19 14:15:00,1550585700,27.97,27.99,27.97,27.99,2,2,6
2019-02-19 14:30:00,1550586600,27.99,28.0,27.99,27.99,3,1,11
2019-02-19 14:45:00,1550587500,27.92,27.92,27.92,27.92,1,1,1
2019-02-19 15:00:00,1550588400,28.0,28.0,28.0,28.0,3,8,20
2019-02-19 15:15:00,1550589300,28.0,28.0,28.0,28.0,1,9,2
2019-02-19 15:30:00,1550590200,28.0,28.14,28.0,28.14,2,14,4
2019-02-19 15:45:00,1550591100,27.91,27.91,27.91,27.91,2,4,4
2019-02-19 16:15:00,1550592900,28.06,28.06,28.06,28.06,1,16,9
2019-02-19 16:30:00,1550593800,28.08,28.08,28.08,28.08,1,22,1
2019-02-19 16:45:00,1550594700,28.14,28.14,28.14,28.14,2,16,15
2019-02-19 17:15:00,1550596500,28.14,28.14,28.14,28.14,2,16,38
2019-02-19 18:00:00,1550599200,28.1,28.1,28.1,28.1,2,30,15
2019-02-20 10:00:00,1550656800,28.2,28.2,28.0,28.0,3,0,21
2019-02-20 10:15:00,1550657700,28.0,28.19,28.0,28.19,3,1,31
2019-02-20 10:30:00,1550658600,28.2,28.43,28.19,28.43,6,1,143
2019-02-20 10:45:00,1550659500,28.4,28.45,28.39,28.45,5,1,60
2019-02-20 11:00:00,1550660400,28.45,28.45,28.45,28.45,1,5,15
2019-02-20 11:15:00,1550661300,28.5,28.5,28.45,28.45,4,5,103
2019-02-20 12:00:00,1550664000,28.46,28.46,28.46,28.46,2,3,6
2019-02-20 12:15:00,1550664900,28.47,28.47,28.47,28.47,1,2,3
2019-02-20 12:30:00,1550665800,28.5,28.5,28.5,28.5,2,1,12
2019-02-20 12:45:00,1550666700,28.5,28.5,28.5,28.5,2,3,8
2019-02-20 13:00:00,1550667600,28.46,28.48,28.46,28.48,2,1,24
2019-02-20 13:15:00,1550668500,28.46,28.46,28.46,28.46,2,6,19
2019-02-20 13:45:00,1550670300,28.39,28.39,28.39,28.39,1,5,10
2019-02-20 14:15:00,1550672100,28.4,28.4,28.4,28.4,1,2,1
2019-02-20 14:30:00,1550673000,28.4,28.4,28.4,28.4,1,2,1
2019-02-20 15:00:00,1550674800,28.42,28.42,28.42,28.42,1,4,7
2019-02-20 15:15:00,1550675700,28.4,28.4,28.4,28.4,1,4,3
2019-02-20 15:30:00,1550676600,28.44,28.44,28.44,28.44,2,2,9
2019-02-20 15:45:00,1550677500,28.4,28.4,28.39,28.39,3,2,45
2019-02-20 16:00:00,1550678400,28.35,28.35,28.35,28.35,2,5,40
2019-02-20 16:30:00,1550680200,28.31,28.31,28.31,28.31,2,1,21
2019-02-20 16:45:00,1550681100,28.3,28.39,28.27,28.3,8,1,118
2019-02-20 17:00:00,1550682000,28.2,28.2,28.0,28.0,2,45,28
2019-02-20 17:15:00,1550682900,28.45,28.45,28.45,28.45,1,45,5
2019-02-20 17:30:00,1550683800,28.0,28.0,27.95,27.95,2,14,20
2019-02-20 18:00:00,1550685600,28.5,28.5,28.5,28.5,2,70,25
2019-02-21 10:00:00,1550743200,28.01,28.5,28.01,28.5,5,0,81
2019-02-21 10:15:00,1550744100,28.69,28.69,28.69,28.69,1,14,2
2019-02-21 10:30:00,1550745000,28.64,28.64,28.5,28.5,3,14,17
2019-02-21 10:45:00,1550745900,28.5,28.64,28.5,28.5,4,14,53
2019-02-21 11:00:00,1550746800,28.21,28.21,28.21,28.21,1,43,15
2019-02-21 11:15:00,1550747700,28.64,28.64,28.64,28.64,1,27,30
2019-02-21 11:30:00,1550748600,28.5,28.5,28.5,28.5,2,13,20
2019-02-21 11:45:00,1550749500,28.64,28.64,28.64,28.64,1,38,1
2019-02-21 12:00:00,1550750400,28.59,28.59,28.59,28.59,1,38,3
2019-02-21 12:15:00,1550751300,28.59,28.59,28.59,28.59,1,38,5
2019-02-21 12:30:00,1550752200,28.59,28.59,28.58,28.58,2,26,12
2019-02-21 12:45:00,1550753100,28.31,28.31,28.31,28.31,1,19,3
2019-02-21 13:15:00,1550754900,28.1,28.1,28.1,28.1,1,19,1
2019-02-21 13:30:00,1550755800,28.29,28.29,28.29,28.29,2,1,21
2019-02-21 13:45:00,1550756700,28.3,28.3,28.3,28.3,1,29,18
2019-02-21 14:00:00,1550757600,28.5,28.5,28.5,28.5,1,20,10
2019-02-21 14:15:00,1550758500,28.4,28.4,28.4,28.4,1,15,4
2019-02-21 14:30:00,1550759400,28.29,28.29,28.29,28.29,2,14,4
2019-02-21 14:45:00,1550760300,28.44,28.57,28.44,28.57,2,8,50
2019-02-21 15:15:00,1550762100,28.43,28.43,28.29,28.29,3,14,11
2019-02-21 15:30:00,1550763000,28.29,28.29,28.29,28.29,2,3,76
2019-02-21 16:45:00,1550767500,28.34,28.34,28.34,28.34,1,4,15
2019-02-21 17:30:00,1550770200,28.3,28.3,28.29,28.3,3,3,120
2019-02-21 17:45:00,1550771100,28.29,28.29,28.29,28.29,1,195,21
2019-02-22 10:00:00,1550829600,28.29,28.93,28.29,28.93,3,1,19
2019-02-22 10:15:00,1550830500,28.94,28.94,28.94,28.94,2,1,58
2019-02-22 10:30:00,1550831400,28.52,28.71,28.52,28.71,2,23,20
2019-02-22 10:45:00,1550832300,28.94,28.94,28.94,28.94,1,22,1
2019-02-22 11:15:00,1550834100,28.93,28.93,28.93,28.93,1,18,4
2019-02-22 11:45:00,1550835900,28.89,28.89,28.88,28.88,2,4,2
2019-02-22 12:00:00,1550836800,28.75,28.75,28.75,28.75,1,6,9
2019-02-22 12:30:00,1550838600,28.77,28.8,28.77,28.8,3,3,19
2019-02-22 12:45:00,1550839500,28.7,28.7,28.7,28.7,1,5,1
2019-02-22 13:00:00,1550840400,28.8,28.94,28.8,28.84,4,5,50
2019-02-22 13:30:00,1550842200,28.87,28.87,28.87,28.87,2,6,17
2019-02-22 13:45:00,1550843100,28.93,28.93,28.93,28.93,1,6,5
2019-02-22 14:00:00,1550844000,28.87,28.87,28.87,28.87,1,13,12
2019-02-22 14:15:00,1550844900,28.93,28.93,28.85,28.88,4,4,58
2019-02-22 14:30:00,1550845800,28.88,28.88,28.88,28.88,2,5,35
2019-02-22 14:45:00,1550846700,28.93,28.93,28.93,28.93,3,11,48
2019-02-22 15:30:00,1550849400,28.82,28.82,28.82,28.82,1,2,1
2019-02-22 15:45:00,1550850300,28.82,28.82,28.82,28.82,2,6,14
2019-02-22 16:15:00,1550852100,28.85,28.85,28.85,28.85,1,8,11
2019-02-22 16:30:00,1550853000,28.93,29.99,28.91,28.91,8,6,76
2019-02-22 17:00:00,1550854800,28.81,28.81,28.81,28.81,1,16,7
2019-02-22 17:15:00,1550855700,28.91,28.91,28.7,28.7,4,15,64
2019-02-22 17:45:00,1550857500,28.71,28.71,28.71,28.71,1,22,36
2019-02-22 18:00:00,1550858400,28.7,28.7,28.7,28.7,3,22,35
2019-02-25 10:00:00,1551088800,28.69,28.7,28.69,28.7,6,0,44
2019-02-25 10:15:00,1551089700,28.91,29.1,28.91,29.1,4,1,50
2019-02-25 10:30:00,1551090600,29.1,29.49,29.1,29.49,4,9,85
2019-02-25 11:00:00,1551092400,29.49,29.49,29.4,29.44,4,9,17
2019-02-25 11:15:00,1551093300,29.45,29.45,29.45,29.45,1,52,1
2019-02-25 11:30:00,1551094200,29.49,29.49,29.49,29.49,2,4,54
2019-02-25 11:45:00,1551095100,29.45,29.48,29.06,29.06,3,1,34
2019-02-25 12:45:00,1551098700,29.44,29.45,29.44,29.45,2,1,25
2019-02-25 13:00:00,1551099600,29.44,29.44,29.44,29.44,2,24,45
2019-02-25 13:15:00,1551100500,29.2,29.2,29.2,29.2,1,22,1
2019-02-25 13:30:00,1551101400,29.22,29.22,29.22,29.22,1,10,20
2019-02-25 13:45:00,1551102300,29.3,29.45,29.3,29.45,3,4,45
2019-02-25 14:00:00,1551103200,29.45,29.45,29.29,29.29,3,4,30
2019-02-25 14:45:00,1551105900,29.4,29.4,29.4,29.4,1,8,3
2019-02-25 15:00:00,1551106800,29.42,29.42,29.42,29.42,2,7,4
2019-02-25 16:15:00,1551111300,29.3,29.38,29.3,29.38,2,6,7
2019-02-25 16:45:00,1551113100,29.49,29.49,29.49,29.49,3,19,52
2019-02-25 17:15:00,1551114900,29.3,29.3,29.23,29.23,2,19,53
2019-02-26 10:00:00,1551175200,29.99,29.99,29.11,29.11,4,37,23
2019-02-26 10:15:00,1551176100,29.12,29.12,29.12,29.12,1,23,4
2019-02-26 11:00:00,1551178800,29.64,29.64,29.64,29.64,1,8,2
2019-02-26 11:15:00,1551179700,29.55,29.63,29.55,29.63,2,8,33
2019-02-26 11:30:00,1551180600,29.63,29.63,29.63,29.63,3,1,113
2019-02-26 11:45:00,1551181500,29.63,29.63,29.63,29.63,3,6,15
2019-02-26 12:00:00,1551182400,29.63,29.99,29.63,29.99,4,7,40
2019-02-26 12:45:00,1551185100,29.66,29.66,29.56,29.56,2,24,11
2019-02-26 13:00:00,1551186000,29.9,29.9,29.9,29.9,1,22,10
2019-02-26 13:30:00,1551187800,29.85,29.85,29.85,29.85,1,3,9
2019-02-26 14:30:00,1551191400,29.85,29.85,29.85,29.85,1,2,50
2019-02-26 14:45:00,1551192300,29.85,29.87,29.85,29.87,2,1,68
2019-02-26 15:00:00,1551193200,29.88,29.88,29.88,29.88,2,10,2
2019-02-26 15:30:00,1551195000,29.98,29.98,29.98,29.98,1,10,10
2019-02-26 15:45:00,1551195900,29.98,29.98,29.89,29.89,3,1,72
2019-02-26 16:00:00,1551196800,29.89,29.89,29.84,29.84,6,1,123
2019-02-26 16:15:00,1551197700,29.84,29.84,29.84,29.84,3,2,37
2019-02-26 16:45:00,1551199500,29.98,29.98,29.98,29.98,2,16,48
2019-02-26 17:00:00,1551200400,29.97,29.97,29.97,29.97,1,15,10
2019-02-26 17:15:00,1551201300,29.83,29.83,29.83,29.83,1,85,26
2019-02-27 10:00:00,1551261600,29.82,29.99,29.82,29.99,4,43,78
2019-02-27 10:15:00,1551262500,29.94,29.94,29.94,29.94,1,19,50
2019-02-27 10:30:00,1551263400,29.71,29.85,29.71,29.85,4,4,53
2019-02-27 11:00:00,1551265200,29.85,29.86,29.75,29.75,5,10,153
2019-02-27 11:15:00,1551266100,29.8,29.8,29.8,29.8,1,9,1
2019-02-27 11:30:00,1551267000,29.8,29.8,29.8,29.8,1,29,40
2019-02-27 11:45:00,1551267900,29.6,29.8,29.29,29.8,8,1,162
2019-02-27 12:30:00,1551270600,29.83,29.83,29.83,29.83,1,2,32
2019-02-27 12:45:00,1551271500,29.82,29.9,29.82,29.9,4,3,122
2019-02-27 13:00:00,1551272400,30.0,30.0,29.99,29.99,5,1,42
2019-02-27 13:15:00,1551273300,29.99,30.99,29.75,29.75,9,5,93
2019-02-27 14:00:00,1551276000,29.92,29.92,29.92,29.92,1,9,3
2019-02-27 14:15:00,1551276900,29.92,29.92,29.92,29.92,3,7,27
2019-02-27 14:30:00,1551277800,29.99,29.99,29.99,29.99,1,14,25
2019-02-27 14:45:00,1551278700,29.99,29.99,29.99,29.99,3,0,55
2019-02-27 15:00:00,1551279600,29.85,29.85,29.85,29.85,1,4,2
2019-02-27 15:30:00,1551281400,29.85,29.85,29.85,29.85,1,9,2
2019-02-27 16:00:00,1551283200,29.9,29.9,29.9,29.9,1,9,1
2019-02-27 16:15:00,1551284100,29.9,29.9,29.9,29.9,1,10,4
2019-02-27 16:45:00,1551285900,29.91,29.93,29.91,29.93,2,2,12
