datetime,time,open,high,low,close,tick_volume,spread,real_volume
2017-11-10 10:15:00,1510308900,21.0,21.0,21.0,21.0,2,1,20
2017-11-10 12:00:00,1510315200,20.48,21.7,20.4,21.7,4,1,162
2017-11-10 12:15:00,1510316100,20.97,20.97,20.54,20.97,5,1,242
2017-11-10 12:30:00,1510317000,20.51,20.51,20.51,20.51,1,1,10
2017-11-10 12:45:00,1510317900,19.91,19.91,19.91,19.91,1,1,29
2017-11-10 13:00:00,1510318800,19.92,19.92,19.92,19.92,1,1,13
2017-11-10 14:00:00,1510322400,19.92,19.92,19.9,19.9,2,1,28
2017-11-10 14:45:00,1510325100,19.95,19.95,19.95,19.95,1,1,4
2017-11-10 15:45:00,1510328700,19.86,19.86,19.81,19.81,5,1,54
2017-11-10 16:00:00,1510329600,20.01,20.01,19.32,19.32,2,1,70
2017-11-10 16:45:00,1510332300,19.34,19.34,19.34,19.34,1,1,20
2017-11-10 17:15:00,1510334100,20.01,20.02,20.01,20.02,4,1,102
2017-11-10 18:00:00,1510336800,20.69,20.69,20.69,20.69,4,0,56
2017-11-13 10:00:00,1510567200,20.6,20.6,20.5,20.5,2,1,55
2017-11-13 11:30:00,1510572600,19.9,19.9,19.9,19.9,1,1,50
2017-11-13 12:15:00,1510575300,19.8,19.8,19.79,19.79,4,1,76
2017-11-13 12:45:00,1510577100,19.98,19.98,19.98,19.98,1,1,77
2017-11-13 13:45:00,1510580700,19.83,19.83,19.83,19.83,1,1,50
2017-11-13 14:15:00,1510582500,19.85,19.85,19.85,19.85,3,1,82
2017-11-13 14:45:00,1510584300,19.85,19.85,19.85,19.85,1,1,20
2017-11-13 15:45:00,1510587900,19.8,19.8,19.78,19.78,3,1,23
2017-11-13 16:00:00,1510588800,19.75,19.75,19.75,19.75,2,1,4
2017-11-13 17:00:00,1510592400,19.75,19.75,19.7,19.7,3,1,77
2017-11-13 17:30:00,1510594200,19.66,19.66,19.5,19.5,8,1,169
2017-11-13 17:45:00,1510595100,19.99,20.39,19.99,20.39,3,1,123
2017-11-13 18:00:00,1510596000,20.39,20.39,20.39,20.39,4,0,33
2017-11-14 10:00:00,1510653600,20.09,20.09,19.52,19.52,2,1,65
2017-11-14 11:00:00,1510657200,20.21,20.21,20.21,20.21,1,1,5
2017-11-14 11:15:00,1510658100,20.21,20.21,19.57,19.57,3,1,114
2017-11-14 13:45:00,1510667100,19.71,19.71,19.71,19.71,1,1,40
2017-11-14 14:00:00,1510668000,19.7,19.7,19.7,19.7,1,1,1
2017-11-14 14:15:00,1510668900,19.7,19.71,19.7,19.71,3,1,60
2017-11-14 14:30:00,1510669800,19.71,19.71,19.7,19.7,2,1,54
2017-11-14 14:45:00,1510670700,19.56,19.56,19.5,19.5,7,1,100
2017-11-14 15:00:00,1510671600,19.49,19.49,19.49,19.49,2,1,55
2017-11-14 15:15:00,1510672500,19.48,19.48,19.48,19.48,2,1,12
2017-11-14 15:30:00,1510673400,19.21,19.21,19.2,19.2,3,1,70
2017-11-14 15:45:00,1510674300,19.25,19.25,19.25,19.25,1,1,47
2017-11-14 16:00:00,1510675200,19.14,19.14,19.01,19.01,6,1,20
2017-11-14 16:15:00,1510676100,19.36,19.36,19.17,19.17,3,1,46
2017-11-14 16:45:00,1510677900,19.1,19.11,19.1,19.11,3,1,95
2017-11-14 17:00:00,1510678800,19.11,19.11,19.11,19.11,2,1,97
2017-11-14 17:15:00,1510679700,19.39,19.39,19.39,19.39,1,1,25
2017-11-14 17:30:00,1510680600,19.42,19.82,19.23,19.23,5,1,229
2017-11-14 17:45:00,1510681500,19.23,19.23,19.2,19.2,2,1,20
2017-11-14 18:00:00,1510682400,19.83,19.83,19.83,19.83,5,0,122
2017-11-16 10:00:00,1510826400,19.36,19.84,19.36,19.84,10,1,181
2017-11-16 10:15:00,1510827300,19.9,20.0,19.9,20.0,2,1,9
2017-11-16 10:45:00,1510829100,20.07,20.07,20.07,20.07,1,1,10
2017-11-16 11:30:00,1510831800,19.94,19.94,19.41,19.41,2,1,100
2017-11-16 11:45:00,1510832700,19.85,19.85,19.85,19.85,3,1,149
2017-11-16 12:00:00,1510833600,19.87,19.87,19.82,19.82,2,1,43
2017-11-16 12:30:00,1510835400,19.81,19.99,19.81,19.99,2,1,96
2017-11-16 12:45:00,1510836300,19.75,19.75,19.75,19.75,1,1,11
2017-11-16 13:15:00,1510838100,19.96,20.07,19.46,20.07,5,1,197
2017-11-16 13:45:00,1510839900,20.16,20.16,20.1,20.1,3,1,63
2017-11-16 15:00:00,1510844400,20.02,20.09,19.46,19.46,3,1,55
2017-11-16 15:15:00,1510845300,20.05,20.05,20.03,20.03,2,1,105
2017-11-16 15:30:00,1510846200,19.96,19.96,19.96,19.96,1,1,75
2017-11-16 15:45:00,1510847100,19.97,19.97,19.97,19.97,1,1,40
2017-11-16 16:15:00,1510848900,20.0,20.15,20.0,20.15,5,1,106
2017-11-16 16:30:00,1510849800,19.98,19.98,19.98,19.98,2,1,40
2017-11-16 16:45:00,1510850700,20.15,20.15,20.15,20.15,2,1,40
2017-11-16 17:45:00,1510854300,20.17,20.17,20.17,20.17,1,1,16
2017-11-16 18:00:00,1510855200,20.17,20.17,20.17,20.17,6,0,160
2017-11-17 10:00:00,1510912800,19.7,20.4,19.7,20.4,5,1,142
2017-11-17 10:15:00,1510913700,20.18,20.18,20.18,20.18,1,1,15
2017-11-17 10:45:00,1510915500,20.01,20.01,20.01,20.01,1,1,28
2017-11-17 11:15:00,1510917300,20.25,20.3,20.25,20.3,2,1,8
2017-11-17 12:00:00,1510920000,20.3,20.3,20.3,20.3,1,1,70
