datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-09-13 10:45:00,1631529900,10.37,10.37,10.37,10.37,2,0,10
2021-09-13 11:00:00,1631530800,10.37,10.37,10.25,10.37,19,2,89
2021-09-13 11:30:00,1631532600,10.17,10.25,10.17,10.25,3,8,30
2021-09-13 12:00:00,1631534400,10.28,10.43,10.28,10.43,2,3,10
2021-09-13 12:30:00,1631536200,10.43,10.43,10.43,10.43,1,27,1
2021-09-13 13:00:00,1631538000,10.34,10.4,10.34,10.4,2,1,51
2021-09-13 13:15:00,1631538900,10.28,10.28,10.28,10.28,2,4,16
2021-09-13 13:45:00,1631540700,10.24,10.24,10.24,10.24,1,21,65
2021-09-13 14:00:00,1631541600,10.44,10.44,10.4,10.4,2,1,7
2021-09-13 14:15:00,1631542500,10.43,10.43,10.3,10.3,6,1,35
2021-09-13 16:00:00,1631548800,10.49,10.61,10.49,10.61,4,1,82
2021-09-13 16:30:00,1631550600,10.68,10.7,10.68,10.7,2,9,85
2021-09-13 17:00:00,1631552400,10.87,10.87,10.87,10.87,3,11,71
2021-09-14 10:00:00,1631613600,10.62,10.62,10.62,10.62,1,3,20
2021-09-14 10:15:00,1631614500,10.58,10.58,10.58,10.58,1,19,40
2021-09-14 10:45:00,1631616300,10.57,10.57,10.47,10.47,4,2,82
2021-09-14 11:00:00,1631617200,10.42,10.42,10.42,10.42,2,34,41
2021-09-14 11:15:00,1631618100,10.38,10.38,10.38,10.38,1,35,1
2021-09-14 11:30:00,1631619000,10.5,10.5,10.5,10.5,1,4,1
2021-09-14 11:45:00,1631619900,10.37,10.37,10.37,10.37,1,15,10
2021-09-14 12:00:00,1631620800,10.34,10.34,10.34,10.34,1,8,1
2021-09-14 12:30:00,1631622600,10.41,10.41,10.41,10.41,3,6,100
2021-09-14 13:00:00,1631624400,10.4,10.41,10.36,10.36,3,7,51
2021-09-14 13:15:00,1631625300,10.48,10.48,10.43,10.43,2,17,11
2021-09-14 14:00:00,1631628000,10.37,10.37,10.36,10.36,3,24,60
2021-09-14 14:15:00,1631628900,10.37,10.37,10.37,10.37,1,15,10
2021-09-14 14:30:00,1631629800,10.45,10.6,10.45,10.56,5,7,209
2021-09-14 14:45:00,1631630700,10.56,10.56,10.53,10.53,3,7,18
2021-09-14 15:00:00,1631631600,10.63,10.63,10.63,10.63,1,6,8
2021-09-14 15:15:00,1631632500,10.52,10.52,10.52,10.52,1,7,14
2021-09-14 15:30:00,1631633400,10.53,10.53,10.53,10.53,1,17,1
2021-09-14 15:45:00,1631634300,10.64,10.64,10.56,10.58,4,6,38
2021-09-14 16:00:00,1631635200,10.59,10.59,10.5,10.59,4,9,102
2021-09-14 16:15:00,1631636100,10.58,10.64,10.52,10.58,6,1,129
2021-09-14 16:30:00,1631637000,10.59,10.59,10.51,10.51,3,11,46
2021-09-14 16:45:00,1631637900,10.54,10.69,10.54,10.69,2,8,103
2021-09-14 17:00:00,1631638800,10.7,10.7,10.7,10.7,7,8,133
2021-09-14 17:30:00,1631640600,10.78,10.87,10.69,10.69,4,1,4
2021-09-15 10:00:00,1631700000,10.8,10.8,10.8,10.8,2,6,16
2021-09-15 10:30:00,1631701800,10.8,10.8,10.67,10.67,9,2,170
2021-09-15 10:45:00,1631702700,10.76,10.81,10.67,10.75,8,2,158
2021-09-15 11:15:00,1631704500,10.72,10.8,10.63,10.75,6,4,45
2021-09-15 11:45:00,1631706300,10.79,10.88,10.79,10.88,5,6,70
2021-09-15 12:00:00,1631707200,10.88,11.05,10.86,10.86,11,4,88
2021-09-15 12:15:00,1631708100,10.99,10.99,10.85,10.85,8,4,37
2021-09-15 12:30:00,1631709000,10.89,10.95,10.89,10.95,3,5,10
2021-09-15 13:15:00,1631711700,10.93,10.95,10.8,10.95,6,4,27
2021-09-15 13:45:00,1631713500,10.92,10.95,10.86,10.95,7,6,119
2021-09-15 14:00:00,1631714400,10.98,11.05,10.94,10.94,9,2,200
2021-09-15 14:30:00,1631716200,10.92,10.92,10.91,10.92,3,1,40
2021-09-15 16:00:00,1631721600,10.87,10.94,10.87,10.94,3,7,67
2021-09-15 16:15:00,1631722500,10.94,10.94,10.74,10.74,4,10,44
2021-09-15 16:30:00,1631723400,10.87,10.93,10.87,10.89,4,8,59
2021-09-15 16:45:00,1631724300,10.7,10.86,10.58,10.61,4,12,101
2021-09-15 17:00:00,1631725200,10.53,10.53,10.53,10.53,4,30,86
2021-09-16 10:15:00,1631787300,10.5,10.65,10.5,10.65,8,10,65
2021-09-16 10:30:00,1631788200,10.7,10.7,10.55,10.65,9,1,184
2021-09-16 10:45:00,1631789100,10.7,10.85,10.7,10.85,8,4,98
2021-09-16 11:00:00,1631790000,10.85,10.85,10.76,10.76,8,6,89
2021-09-16 11:15:00,1631790900,10.76,10.76,10.66,10.69,8,7,231
2021-09-16 11:30:00,1631791800,10.72,10.78,10.68,10.68,5,4,110
2021-09-16 12:00:00,1631793600,10.7,10.8,10.65,10.8,7,5,60
2021-09-16 12:15:00,1631794500,10.73,10.73,10.7,10.7,5,7,62
2021-09-16 12:30:00,1631795400,10.71,10.81,10.71,10.72,3,9,3
2021-09-16 12:45:00,1631796300,10.72,10.72,10.72,10.72,2,7,98
2021-09-16 13:45:00,1631799900,10.71,10.8,10.6,10.79,6,1,131
2021-09-16 14:00:00,1631800800,10.71,10.71,10.7,10.7,2,6,71
2021-09-16 14:15:00,1631801700,10.73,10.73,10.71,10.71,3,8,54
2021-09-16 14:30:00,1631802600,10.72,10.72,10.72,10.72,2,8,75
2021-09-16 14:45:00,1631803500,10.75,10.75,10.67,10.67,3,8,5
2021-09-16 15:00:00,1631804400,10.69,10.69,10.69,10.69,1,2,32
2021-09-16 15:15:00,1631805300,10.71,10.85,10.64,10.85,4,1,44
2021-09-16 15:45:00,1631807100,10.8,10.8,10.79,10.79,10,1,10
2021-09-16 16:00:00,1631808000,10.75,10.85,10.75,10.85,4,2,121
2021-09-16 16:15:00,1631808900,10.87,10.87,10.87,10.87,1,16,1
2021-09-16 16:30:00,1631809800,10.88,10.93,10.84,10.93,10,2,216
2021-09-16 16:45:00,1631810700,10.99,10.99,10.81,10.82,9,7,267
2021-09-16 17:00:00,1631811600,10.71,10.71,10.71,10.71,3,21,65
