datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-11-12 10:15:00,1573553700,4.9,4.9,4.9,4.9,3,0,100
2019-11-12 10:30:00,1573554600,4.9,5.0,4.84,5.0,13,0,320
2019-11-12 10:45:00,1573555500,5.0,5.05,5.0,5.0,10,2,198
2019-11-12 11:00:00,1573556400,5.1,5.5,4.9,5.05,19,1,520
2019-11-12 11:15:00,1573557300,4.9,5.0,4.85,5.0,12,3,224
2019-11-12 11:30:00,1573558200,4.98,5.15,4.85,4.85,9,3,177
2019-11-12 11:45:00,1573559100,4.98,4.99,4.6899999999999995,4.9,17,2,325
2019-11-12 12:00:00,1573560000,4.98,4.98,4.7,4.7,9,2,141
2019-11-12 12:15:00,1573560900,4.83,4.99,4.83,4.99,8,1,240
2019-11-12 12:30:00,1573561800,4.85,4.9,4.85,4.9,5,4,81
2019-11-12 12:45:00,1573562700,4.86,4.9,4.85,4.9,3,5,5
2019-11-12 13:00:00,1573563600,4.9,4.9,4.9,4.9,3,5,27
2019-11-12 13:15:00,1573564500,4.9,4.9,4.85,4.85,3,5,70
2019-11-12 13:30:00,1573565400,4.8100000000000005,4.8100000000000005,4.73,4.73,3,3,17
2019-11-12 14:00:00,1573567200,4.82,4.89,4.82,4.89,4,5,163
2019-11-12 14:15:00,1573568100,4.89,4.89,4.89,4.89,5,5,85
2019-11-12 14:45:00,1573569900,4.89,4.89,4.89,4.89,2,5,94
2019-11-12 15:00:00,1573570800,4.89,4.93,4.89,4.93,4,5,54
2019-11-12 15:15:00,1573571700,4.88,4.9,4.8,4.8,9,7,140
2019-11-12 15:30:00,1573572600,4.9,5.0,4.9,5.0,6,3,87
2019-11-12 15:45:00,1573573500,5.05,5.19,5.05,5.19,4,5,151
2019-11-12 16:00:00,1573574400,5.05,5.19,5.05,5.05,12,2,405
2019-11-12 16:15:00,1573575300,5.1,5.13,5.02,5.07,10,3,309
2019-11-12 16:30:00,1573576200,5.04,5.04,5.04,5.04,4,2,28
2019-11-12 16:45:00,1573577100,5.04,5.07,4.98,5.07,8,3,160
2019-11-12 17:00:00,1573578000,5.07,5.07,4.99,4.99,5,6,130
2019-11-12 17:15:00,1573578900,5.06,5.06,4.92,4.92,7,7,103
2019-11-12 17:30:00,1573579800,5.04,5.04,5.04,5.04,1,4,4
2019-11-12 17:45:00,1573580700,5.0,5.0,4.88,4.88,3,5,16
2019-11-12 18:00:00,1573581600,4.82,4.82,4.82,4.82,6,15,50
2019-11-13 10:00:00,1573639200,5.24,5.24,4.6,4.72,32,1,640
2019-11-13 10:15:00,1573640100,4.72,4.74,4.65,4.74,20,1,394
2019-11-13 10:30:00,1573641000,4.62,4.75,4.62,4.71,14,1,252
2019-11-13 10:45:00,1573641900,4.7,4.72,4.6899999999999995,4.7,13,1,323
2019-11-13 11:00:00,1573642800,4.7,4.7,4.49,4.5,41,1,1077
2019-11-13 11:15:00,1573643700,4.5600000000000005,4.57,4.5,4.5,12,1,304
2019-11-13 11:30:00,1573644600,4.55,4.55,4.5,4.51,8,1,187
2019-11-13 11:45:00,1573645500,4.53,4.6,4.53,4.59,5,1,84
2019-11-13 12:00:00,1573646400,4.55,4.55,4.52,4.52,8,1,137
2019-11-13 12:15:00,1573647300,4.52,4.57,4.52,4.55,9,1,149
2019-11-13 12:30:00,1573648200,4.55,4.55,4.42,4.42,21,1,330
2019-11-13 12:45:00,1573649100,4.42,4.47,4.42,4.47,4,2,90
2019-11-13 13:00:00,1573650000,4.42,4.43,4.38,4.39,12,1,320
2019-11-13 13:15:00,1573650900,4.4,4.46,4.4,4.45,6,3,101
2019-11-13 13:30:00,1573651800,4.44,4.45,4.44,4.45,3,1,23
2019-11-13 13:45:00,1573652700,4.46,4.47,4.45,4.47,9,1,94
2019-11-13 14:00:00,1573653600,4.6,4.6,4.53,4.53,3,6,31
2019-11-13 14:15:00,1573654500,4.52,4.52,4.52,4.52,1,6,10
2019-11-13 14:30:00,1573655400,4.59,4.59,4.59,4.59,1,6,69
2019-11-13 14:45:00,1573656300,4.59,4.59,4.58,4.58,7,1,92
2019-11-13 15:00:00,1573657200,4.53,4.59,4.51,4.54,9,2,209
2019-11-13 15:15:00,1573658100,4.53,4.53,4.53,4.53,3,3,64
2019-11-13 15:30:00,1573659000,4.5600000000000005,4.5600000000000005,4.52,4.52,5,3,146
2019-11-13 15:45:00,1573659900,4.5600000000000005,4.5600000000000005,4.51,4.51,3,4,26
2019-11-13 16:00:00,1573660800,4.51,4.51,4.47,4.5,11,4,279
2019-11-13 16:15:00,1573661700,4.49,4.49,4.32,4.32,15,1,667
2019-11-13 16:30:00,1573662600,4.33,4.33,4.33,4.33,1,1,75
2019-11-13 16:45:00,1573663500,4.44,4.45,4.44,4.45,5,1,124
2019-11-13 17:00:00,1573664400,4.46,4.53,4.46,4.53,3,2,73
2019-11-13 17:15:00,1573665300,4.44,4.44,4.4,4.4,3,6,21
2019-11-13 17:30:00,1573666200,4.4,4.45,4.34,4.34,8,1,196
2019-11-13 17:45:00,1573667100,4.4,4.42,4.33,4.33,6,4,117
2019-11-13 18:00:00,1573668000,4.35,4.35,4.35,4.35,1,10,9
2019-11-14 10:00:00,1573725600,4.4,4.4,4.29,4.29,7,0,232
2019-11-14 10:15:00,1573726500,4.31,4.38,4.22,4.22,10,3,61
2019-11-14 10:30:00,1573727400,4.27,4.28,4.11,4.18,11,1,198
2019-11-14 10:45:00,1573728300,4.12,4.16,4.08,4.15,12,1,248
2019-11-14 11:00:00,1573729200,4.14,4.14,4.03,4.03,15,1,308
2019-11-14 11:15:00,1573730100,4.01,4.1,4.01,4.08,10,1,193
2019-11-14 11:30:00,1573731000,4.09,4.14,4.09,4.12,4,1,55
2019-11-14 11:45:00,1573731900,4.13,4.13,4.1,4.1,8,1,97
2019-11-14 12:00:00,1573732800,4.08,4.1,4.08,4.09,5,1,220
2019-11-14 12:15:00,1573733700,4.15,4.15,4.15,4.15,1,3,3
2019-11-14 12:30:00,1573734600,4.15,4.15,4.12,4.12,2,3,2
2019-11-14 12:45:00,1573735500,4.15,4.15,4.15,4.15,1,1,22
2019-11-14 13:00:00,1573736400,4.14,4.14,4.12,4.12,5,1,106
2019-11-14 13:15:00,1573737300,4.12,4.12,4.1,4.11,4,1,93
2019-11-14 13:30:00,1573738200,4.14,4.21,4.14,4.21,9,1,238
2019-11-14 13:45:00,1573739100,4.21,4.21,4.21,4.21,3,1,30
2019-11-14 14:00:00,1573740000,4.19,4.19,4.19,4.19,1,3,20
2019-11-14 14:30:00,1573741800,4.23,4.26,4.23,4.26,4,1,72
2019-11-14 14:45:00,1573742700,4.26,4.26,4.23,4.23,4,1,28
2019-11-14 15:00:00,1573743600,4.19,4.19,4.18,4.18,2,2,31
