datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-02-01 11:15:00,1170328500,14.13,14.46,13.6,13.6,2911,0,96407
2007-02-01 11:30:00,1170329400,13.6,14.19,13.51,13.9,697,0,22404
2007-02-01 11:45:00,1170330300,13.9,14.0,13.82,13.96,367,0,10374
2007-02-01 12:00:00,1170331200,13.96,13.98,13.8,13.93,373,0,10947
2007-02-01 12:15:00,1170332100,13.93,13.96,13.92,13.92,317,0,10049
2007-02-01 12:30:00,1170333000,13.92,13.95,13.81,13.81,177,0,5636
2007-02-01 12:45:00,1170333900,13.81,13.82,13.6,13.76,145,0,4752
2007-02-01 13:00:00,1170334800,13.77,13.77,13.6,13.66,114,0,4188
2007-02-01 13:15:00,1170335700,13.61,13.69,13.6,13.64,93,0,2780
2007-02-01 13:30:00,1170336600,13.64,13.65,13.57,13.57,83,0,2449
2007-02-01 13:45:00,1170337500,13.57,13.69,13.5,13.69,216,0,6009
2007-02-01 14:00:00,1170338400,13.7,13.74,13.61,13.72,91,0,3295
2007-02-01 14:15:00,1170339300,13.72,13.72,13.54,13.54,48,0,1638
2007-02-01 14:30:00,1170340200,13.55,13.65,13.54,13.63,70,0,2281
2007-02-01 14:45:00,1170341100,13.65,13.71,13.63,13.64,85,0,3224
2007-02-01 15:00:00,1170342000,13.66,13.73,13.66,13.73,82,0,2617
2007-02-01 15:15:00,1170342900,13.69,13.9,13.69,13.9,309,0,8480
2007-02-01 15:30:00,1170343800,13.9,13.96,13.8,13.95,213,0,5620
2007-02-01 15:45:00,1170344700,13.95,13.97,13.88,13.93,146,0,4101
2007-02-01 16:00:00,1170345600,13.94,13.97,13.88,13.96,141,0,5296
2007-02-01 16:15:00,1170346500,13.97,13.97,13.88,13.9,237,0,6801
2007-02-01 16:30:00,1170347400,13.95,14.08,13.9,14.02,497,0,14154
2007-02-01 16:45:00,1170348300,14.05,14.12,13.91,13.99,256,0,8723
