datetime,time,open,high,low,close,tick_volume,spread,real_volume
2011-07-01 10:15:00,1309515300,14.96,15.3,14.96,15.22,270,0,385300
2011-07-01 10:30:00,1309516200,15.22,15.4,15.22,15.23,315,0,444500
2011-07-01 10:45:00,1309517100,15.23,15.24,14.98,14.98,276,0,225700
2011-07-01 11:00:00,1309518000,15.0,15.04,14.98,14.99,88,0,75900
2011-07-01 11:15:00,1309518900,14.98,14.99,14.8,14.91,153,0,337100
2011-07-01 11:30:00,1309519800,14.93,14.93,14.69,14.86,141,0,88600
2011-07-01 11:45:00,1309520700,14.88,15.04,14.87,15.04,39,0,157800
2011-07-01 12:00:00,1309521600,15.06,15.09,14.96,14.97,64,0,150000
2011-07-01 12:15:00,1309522500,15.0,15.05,15.0,15.04,23,0,14300
2011-07-01 12:30:00,1309523400,15.05,15.19,15.05,15.14,48,0,80400
2011-07-01 12:45:00,1309524300,15.18,15.26,15.14,15.22,93,0,111300
2011-07-01 13:00:00,1309525200,15.21,15.21,15.09,15.14,48,0,21700
2011-07-01 13:15:00,1309526100,15.1,15.27,15.09,15.21,56,0,52100
2011-07-01 13:30:00,1309527000,15.21,15.27,15.19,15.19,40,0,7800
2011-07-01 13:45:00,1309527900,15.21,15.27,15.14,15.25,51,0,29100
2011-07-01 14:00:00,1309528800,15.22,15.22,15.19,15.21,57,0,7300
2011-07-01 14:15:00,1309529700,15.21,15.22,15.21,15.21,48,0,7500
2011-07-01 14:30:00,1309530600,15.21,15.22,15.2,15.2,34,0,6000
2011-07-01 14:45:00,1309531500,15.2,15.22,15.2,15.22,50,0,36900
2011-07-01 15:00:00,1309532400,15.22,15.39,15.21,15.39,121,0,118300
2011-07-01 15:15:00,1309533300,15.39,15.65,15.39,15.56,41,0,33800
2011-07-01 15:30:00,1309534200,15.45,15.49,15.19,15.23,28,0,41500
2011-07-01 15:45:00,1309535100,15.23,15.32,15.22,15.24,22,0,28400
2011-07-01 16:00:00,1309536000,15.37,15.45,15.33,15.44,24,0,7000
2011-07-01 16:15:00,1309536900,15.42,15.44,15.32,15.44,26,0,106600
2011-07-01 16:30:00,1309537800,15.38,15.43,15.38,15.4,20,0,8800
2011-07-01 16:45:00,1309538700,15.4,15.56,15.32,15.42,54,0,159200
2011-07-04 10:00:00,1309773600,15.4,15.56,15.4,15.56,5,0,1400
2011-07-04 11:00:00,1309777200,15.49,15.53,15.49,15.49,5,0,2400
2011-07-04 11:15:00,1309778100,15.49,15.49,15.4,15.4,12,0,5000
2011-07-04 11:30:00,1309779000,15.4,15.49,15.4,15.4,8,0,5500
2011-07-04 11:45:00,1309779900,15.41,15.53,15.4,15.4,11,0,8000
2011-07-04 12:00:00,1309780800,15.53,15.53,15.52,15.53,14,0,2000
2011-07-04 12:15:00,1309781700,15.53,15.54,15.46,15.53,9,0,4700
2011-07-04 12:30:00,1309782600,15.5,15.53,15.5,15.53,8,0,4300
2011-07-04 12:45:00,1309783500,15.54,15.56,15.54,15.56,13,0,10600
2011-07-04 13:00:00,1309784400,15.56,15.56,15.55,15.55,5,0,500
2011-07-04 13:15:00,1309785300,15.55,15.55,15.55,15.55,2,0,200
2011-07-04 13:30:00,1309786200,15.55,15.56,15.55,15.56,3,0,1700
2011-07-04 13:45:00,1309787100,15.56,15.56,15.56,15.56,3,0,300
2011-07-04 14:00:00,1309788000,15.56,15.56,15.56,15.56,4,0,2200
2011-07-04 14:15:00,1309788900,15.55,15.56,15.55,15.56,3,0,1100
2011-07-04 14:30:00,1309789800,15.53,15.56,15.53,15.56,9,0,4900
2011-07-04 14:45:00,1309790700,15.56,15.56,15.55,15.56,12,0,4500
2011-07-04 15:00:00,1309791600,15.56,15.59,15.54,15.54,13,0,6400
2011-07-04 15:15:00,1309792500,15.54,15.64,15.53,15.64,23,0,54800
2011-07-04 15:30:00,1309793400,15.61,15.63,15.57,15.61,6,0,700
2011-07-04 15:45:00,1309794300,15.62,15.62,15.57,15.57,4,0,2300
2011-07-04 16:00:00,1309795200,15.61,15.61,15.56,15.61,6,0,229700
2011-07-04 16:15:00,1309796100,15.57,15.61,15.56,15.56,10,0,8500
2011-07-04 16:30:00,1309797000,15.56,15.6,15.56,15.6,8,0,14600
2011-07-04 16:45:00,1309797900,15.56,15.56,15.56,15.56,1,0,400
2011-07-04 17:00:00,1309798800,15.84,15.84,15.84,15.84,13,0,14100
2011-07-05 10:15:00,1309860900,15.51,15.51,15.51,15.51,1,0,400
2011-07-05 10:45:00,1309862700,15.56,15.56,15.56,15.56,1,0,100
2011-07-05 11:00:00,1309863600,15.79,15.79,15.79,15.79,1,0,100
2011-07-05 12:00:00,1309867200,15.57,15.57,15.56,15.56,2,0,200
2011-07-05 12:15:00,1309868100,15.56,15.66,15.56,15.66,5,0,1500
2011-07-05 12:45:00,1309869900,15.56,15.64,15.56,15.64,3,0,500
2011-07-05 14:00:00,1309874400,15.56,15.56,15.53,15.54,7,0,9800
2011-07-05 14:15:00,1309875300,15.54,15.54,15.54,15.54,1,0,500
2011-07-05 14:45:00,1309877100,15.55,15.55,15.55,15.55,1,0,200
2011-07-05 15:00:00,1309878000,15.56,15.6,15.56,15.6,4,0,1400
2011-07-05 15:15:00,1309878900,15.61,15.63,15.61,15.63,3,0,300
2011-07-05 15:30:00,1309879800,15.65,15.66,15.56,15.56,22,0,23800
2011-07-05 15:45:00,1309880700,15.56,15.66,15.56,15.66,2,0,28900
2011-07-05 16:15:00,1309882500,15.66,15.66,15.66,15.66,1,0,100
2011-07-05 16:30:00,1309883400,15.75,15.75,15.75,15.75,1,0,300
2011-07-05 17:00:00,1309885200,15.71,15.71,15.71,15.71,11,0,57900
2011-07-06 10:00:00,1309946400,15.66,15.83,15.66,15.83,5,0,1200
2011-07-06 10:30:00,1309948200,15.75,15.75,15.75,15.75,1,0,100
2011-07-06 11:15:00,1309950900,15.7,15.75,15.7,15.75,2,0,200
2011-07-06 11:45:00,1309952700,15.75,15.75,15.75,15.75,1,0,100
2011-07-06 12:00:00,1309953600,15.54,15.54,15.54,15.54,2,0,600
2011-07-06 12:15:00,1309954500,15.75,15.75,15.75,15.75,1,0,100
2011-07-06 12:30:00,1309955400,15.75,15.75,15.75,15.75,1,0,100
2011-07-06 13:15:00,1309958100,15.75,15.75,15.75,15.75,1,0,100
2011-07-06 14:00:00,1309960800,15.74,15.74,15.74,15.74,1,0,100
2011-07-06 14:30:00,1309962600,15.66,15.66,15.66,15.66,1,0,100
