datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-03,1151884800,15.02,15.02,12.43,14.21,24,0,93400000
2006-07-04,1151971200,13.32,13.32,11.53,12.43,12,0,5200000
2006-07-05,1152057600,12.43,13.32,12.43,13.32,11,0,23800000
2006-07-06,1152144000,12.43,12.43,12.43,12.43,3,0,600000
2006-07-07,1152230400,12.43,13.32,12.43,13.32,11,0,50500000
2006-07-10,1152489600,13.32,13.32,11.53,11.53,5,0,15600000
2006-07-11,1152576000,11.53,13.32,11.53,13.32,9,0,15500000
2006-07-12,1152662400,12.43,13.32,12.43,13.32,8,0,10600000
2006-07-13,1152748800,11.53,12.43,11.53,11.53,19,0,29100000
2006-07-14,1152835200,10.64,12.43,10.64,11.53,13,0,29900000
2006-07-17,1153094400,10.64,11.53,10.64,10.64,5,0,30900000
2006-07-18,1153180800,11.53,13.32,10.64,10.64,8,0,2100000
2006-07-19,1153267200,10.64,12.43,10.64,11.53,8,0,5500000
2006-07-20,1153353600,11.53,11.53,10.64,10.64,14,0,14300000
2006-07-21,1153440000,10.64,13.32,10.64,12.43,7,0,7300000
2006-07-24,1153699200,11.53,12.43,11.53,12.43,9,0,3800000
2006-07-25,1153785600,10.64,10.64,10.64,10.64,5,0,6700000
2006-07-26,1153872000,10.64,11.53,10.64,11.53,5,0,5800000
2006-07-27,1153958400,11.53,12.43,11.53,11.53,5,0,1400000
2006-07-28,1154044800,11.53,11.53,11.53,11.53,2,0,400000
2006-07-31,1154304000,12.43,12.43,10.64,11.53,10,0,40400000
2006-08-01,1154390400,11.53,11.53,11.53,11.53,6,0,2300000
2006-08-02,1154476800,11.53,11.53,11.53,11.53,8,0,61000000
2006-08-03,1154563200,11.53,12.43,11.53,12.43,14,0,90500000
2006-08-04,1154649600,11.53,11.53,11.53,11.53,5,0,2900000
2006-08-07,1154908800,11.53,11.53,11.53,11.53,7,0,5300000
2006-08-08,1154995200,11.53,12.43,11.53,12.43,9,0,163600000
2006-08-09,1155081600,13.32,13.32,11.53,11.53,9,0,60800000
2006-08-10,1155168000,11.53,12.43,11.53,12.43,11,0,113100000
2006-08-11,1155254400,11.53,12.43,11.53,11.53,10,0,32900000
2006-08-14,1155513600,11.53,11.53,11.53,11.53,7,0,2900000
2006-08-15,1155600000,11.53,11.53,11.53,11.53,4,0,1000000
2006-08-16,1155686400,11.53,13.32,11.53,12.43,9,0,31600000
2006-08-17,1155772800,11.53,11.53,11.53,11.53,3,0,1200000
2006-08-18,1155859200,11.53,11.53,11.53,11.53,4,0,600000
2006-08-21,1156118400,11.53,11.53,11.53,11.53,7,0,6500000
2006-08-22,1156204800,11.53,11.53,11.53,11.53,5,0,15800000
2006-08-23,1156291200,11.53,11.53,11.53,11.53,9,0,1400000
2006-08-24,1156377600,11.53,11.53,11.53,11.53,5,0,1700000
2006-08-25,1156464000,11.53,11.53,10.64,10.64,20,0,209600000
2006-08-28,1156723200,9.74,10.64,9.74,10.64,10,0,93100000
2006-08-29,1156809600,9.74,10.64,9.74,10.64,14,0,3500000
2006-08-30,1156896000,9.74,10.64,9.74,10.64,11,0,2400000
2006-08-31,1156982400,9.74,11.53,9.74,11.53,9,0,47400000
2006-09-01,1157068800,10.64,10.64,9.74,10.64,5,0,900000
2006-09-04,1157328000,10.64,11.53,10.64,11.53,5,0,1000000
2006-09-05,1157414400,10.64,11.53,9.74,10.64,11,0,7000000
2006-09-06,1157500800,9.74,10.64,9.74,10.64,4,0,800000
2006-09-08,1157673600,10.64,10.64,10.64,10.64,4,0,500000
2006-09-11,1157932800,10.64,10.64,9.74,10.64,6,0,7900000
2006-09-12,1158019200,9.74,10.64,9.74,10.64,5,0,4000000
2006-09-13,1158105600,9.74,10.64,9.74,9.74,17,0,116600000
2006-09-14,1158192000,9.74,10.64,8.85,10.64,15,0,167800000
2006-09-15,1158278400,9.74,10.64,9.74,10.64,5,0,31200000
2006-09-18,1158537600,9.74,10.64,9.74,10.64,6,0,1500000
2006-09-19,1158624000,9.74,10.64,8.85,8.85,9,0,2900000
2006-09-20,1158710400,9.74,10.64,9.74,10.64,10,0,20100000
2006-09-21,1158796800,8.85,10.64,8.85,9.74,10,0,2400000
2006-09-22,1158883200,8.85,9.74,8.85,9.74,3,0,500000
2006-09-25,1159142400,9.74,9.74,8.85,8.85,4,0,500000
2006-09-26,1159228800,9.74,10.64,9.74,9.74,11,0,3600000
2006-09-27,1159315200,9.74,10.64,9.74,10.64,10,0,3100000
2006-09-28,1159401600,9.74,10.64,9.74,10.64,7,0,19000000
2006-09-29,1159488000,9.74,9.74,9.74,9.74,6,0,1900000
2006-10-02,1159747200,8.85,9.74,8.85,9.74,6,0,2900000
2006-10-03,1159833600,8.85,9.74,8.85,9.74,4,0,600000
2006-10-04,1159920000,8.85,9.74,8.85,8.85,5,0,1100000
2006-10-05,1160006400,10.64,10.64,9.74,10.64,16,0,5800000
2006-10-06,1160092800,9.74,10.64,9.74,10.64,9,0,3200000
2006-10-09,1160352000,9.74,9.74,9.74,9.74,7,0,7500000
2006-10-10,1160438400,9.74,9.74,9.74,9.74,3,0,500000
2006-10-11,1160524800,8.85,8.85,8.85,8.85,1,0,300000
2006-10-13,1160697600,8.85,8.85,8.85,8.85,2,0,1200000
2006-10-16,1160956800,8.85,8.85,8.85,8.85,5,0,2400000
2006-10-17,1161043200,8.85,9.74,8.85,8.85,4,0,4000000
2006-10-18,1161129600,9.74,9.74,8.85,9.74,7,0,1200000
2006-10-19,1161216000,8.85,9.74,8.85,9.74,5,0,1200000
2006-10-20,1161302400,8.85,9.74,8.85,9.74,4,0,800000
2006-10-23,1161561600,8.85,9.74,8.85,8.85,6,0,7700000
2006-10-24,1161648000,8.85,9.74,8.85,8.85,12,0,42200000
2006-10-25,1161734400,8.85,9.74,8.85,9.74,6,0,2000000
2006-10-26,1161820800,8.85,9.74,8.85,9.74,9,0,6800000
2006-10-27,1161907200,8.85,9.74,8.85,9.74,6,0,4400000
2006-10-30,1162166400,8.85,8.85,7.96,8.85,21,0,87100000
2006-10-31,1162252800,8.85,9.74,8.85,9.74,20,0,120700000
2006-11-01,1162339200,9.74,9.74,8.85,8.85,13,0,3000000
2006-11-03,1162512000,8.85,8.85,8.85,8.85,10,0,52100000
2006-11-06,1162771200,8.85,9.74,8.85,8.85,22,0,5200000
2006-11-07,1162857600,8.85,9.74,8.85,8.85,20,0,57300000
2006-11-08,1162944000,8.85,9.74,8.85,9.74,12,0,102800000
2006-11-09,1163030400,8.85,8.85,8.85,8.85,7,0,4800000
2006-11-10,1163116800,8.85,8.85,8.85,8.85,6,0,1600000
2006-11-13,1163376000,8.85,8.85,8.85,8.85,4,0,1500000
2006-11-14,1163462400,8.85,8.85,8.85,8.85,5,0,2000000
2006-11-16,1163635200,9.74,9.74,8.85,8.85,8,0,7600000
2006-11-17,1163721600,7.96,8.85,7.96,8.85,9,0,2600000
2006-11-21,1164067200,8.85,9.74,8.85,8.85,12,0,13800000
2006-11-22,1164153600,7.96,9.74,7.96,9.74,12,0,4600000
2006-11-23,1164240000,8.85,8.85,7.96,8.85,18,0,122500000
2006-11-24,1164326400,8.85,9.74,7.96,8.85,25,0,584800000
2006-11-27,1164585600,8.85,9.74,8.85,8.85,13,0,22400000
2006-11-28,1164672000,8.85,8.85,8.85,8.85,8,0,1200000
2006-11-29,1164758400,7.96,9.74,7.96,9.74,9,0,6500000
2006-11-30,1164844800,8.85,9.74,7.96,9.74,16,0,32700000
2006-12-01,1164931200,8.85,8.85,7.96,8.85,7,0,6000000
2006-12-04,1165190400,8.85,8.85,7.96,8.85,18,0,79700000
2006-12-05,1165276800,8.85,9.74,7.96,8.85,13,0,13100000
2006-12-06,1165363200,8.85,9.74,7.96,8.85,12,0,21500000
2006-12-07,1165449600,9.74,9.74,8.85,8.85,16,0,103700000
2006-12-08,1165536000,9.74,9.74,8.85,8.85,7,0,2300000
2006-12-11,1165795200,9.74,9.74,8.85,9.74,11,0,67200000
2006-12-12,1165881600,8.85,9.74,8.85,8.85,4,0,2300000
2006-12-13,1165968000,8.85,9.74,7.96,8.85,16,0,46700000
2006-12-14,1166054400,8.85,8.85,7.96,8.85,9,0,20800000
2006-12-15,1166140800,8.85,8.85,7.96,8.85,11,0,14900000
2006-12-18,1166400000,8.85,8.85,7.96,8.85,12,0,9200000
2006-12-19,1166486400,7.96,8.85,7.96,8.85,5,0,3000000
2006-12-20,1166572800,8.85,8.85,7.96,7.96,6,0,4400000
