datetime,time,open,high,low,close,tick_volume,spread,real_volume
2007-10-15 11:15:00,1192446900,9.18,9.18,8.91,9.1,1698,0,54181
2007-10-15 11:30:00,1192447800,9.1,9.15,9.09,9.13,522,0,18864
2007-10-15 11:45:00,1192448700,9.13,9.23,9.13,9.13,706,0,22547
2007-10-15 12:00:00,1192449600,9.13,9.15,9.13,9.14,266,0,10454
2007-10-15 12:15:00,1192450500,9.13,9.15,9.12,9.13,174,0,6299
2007-10-15 12:30:00,1192451400,9.14,9.14,9.08,9.11,179,0,7025
2007-10-15 12:45:00,1192452300,9.12,9.13,8.98,9.03,133,0,5202
2007-10-15 13:00:00,1192453200,9.03,9.06,8.94,9.01,121,0,3912
2007-10-15 13:15:00,1192454100,9.02,9.05,9.0,9.05,64,0,1980
2007-10-15 13:30:00,1192455000,9.05,9.07,8.98,9.01,43,0,1637
2007-10-15 13:45:00,1192455900,8.98,9.02,8.98,9.0,37,0,1179
2007-10-15 14:00:00,1192456800,8.98,9.0,8.98,8.98,18,0,674
2007-10-15 14:15:00,1192457700,8.98,9.0,8.97,8.98,31,0,1198
2007-10-15 14:30:00,1192458600,8.98,9.0,8.98,8.99,40,0,1327
2007-10-15 14:45:00,1192459500,8.99,9.0,8.88,8.92,78,0,2111
2007-10-15 15:00:00,1192460400,8.92,8.92,8.88,8.88,85,0,2849
2007-10-15 15:15:00,1192461300,8.88,8.94,8.88,8.93,128,0,4438
2007-10-15 15:30:00,1192462200,8.93,8.97,8.93,8.96,33,0,1156
2007-10-15 15:45:00,1192463100,8.96,8.96,8.95,8.95,8,0,180
2007-10-15 16:00:00,1192464000,8.95,8.96,8.94,8.94,27,0,816
2007-10-15 16:15:00,1192464900,8.94,9.0,8.94,8.95,87,0,2747
2007-10-15 16:30:00,1192465800,8.95,8.98,8.93,8.94,281,0,9185
2007-10-15 16:45:00,1192466700,8.94,8.99,8.94,8.95,102,0,3178
2007-10-15 17:00:00,1192467600,8.95,9.0,8.94,8.99,94,0,3077
2007-10-15 17:15:00,1192468500,8.99,9.0,8.95,8.96,78,0,2883
2007-10-15 17:30:00,1192469400,8.95,9.0,8.95,8.95,85,0,3091
2007-10-15 17:45:00,1192470300,8.95,8.95,8.93,8.93,134,0,3420
2007-10-15 18:00:00,1192471200,8.94,8.94,8.94,8.94,106,0,3399
2007-10-15 18:45:00,1192473900,8.9,8.94,8.8,8.91,103,0,3267
2007-10-15 19:00:00,1192474800,8.91,8.95,8.85,8.95,56,0,1725
2007-10-15 19:15:00,1192475700,8.93,8.93,8.93,8.93,1,0,7
2007-10-16 11:00:00,1192532400,8.99,9.0,8.88,8.93,76,0,2485
2007-10-16 11:15:00,1192533300,8.94,8.97,8.94,8.95,37,0,1061
2007-10-16 11:30:00,1192534200,8.94,8.94,8.9,8.91,42,0,2138
2007-10-16 11:45:00,1192535100,8.91,8.94,8.91,8.91,13,0,519
2007-10-16 12:00:00,1192536000,8.91,8.94,8.9,8.94,6,0,94
2007-10-16 12:15:00,1192536900,8.9,8.9,8.85,8.86,26,0,1051
2007-10-16 12:30:00,1192537800,8.87,8.89,8.86,8.89,18,0,647
2007-10-16 12:45:00,1192538700,8.88,8.9,8.88,8.88,13,0,551
