datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-10-26 10:15:00,1603707300,9.3,9.39,9.25,9.28,386,0,8084
2020-10-26 10:30:00,1603708200,9.28,9.39,9.26,9.31,192,1,3681
2020-10-26 10:45:00,1603709100,9.31,9.33,9.28,9.3,176,1,3235
2020-10-26 11:00:00,1603710000,9.29,9.3,9.24,9.29,221,1,4137
2020-10-26 11:15:00,1603710900,9.29,9.32,9.28,9.29,87,1,1637
2020-10-26 11:30:00,1603711800,9.29,9.29,9.26,9.28,65,1,1287
2020-10-26 11:45:00,1603712700,9.28,9.29,9.26,9.28,45,1,826
2020-10-26 12:00:00,1603713600,9.28,9.28,9.24,9.26,88,1,1854
2020-10-26 12:15:00,1603714500,9.26,9.27,9.26,9.27,34,1,810
2020-10-26 12:30:00,1603715400,9.27,9.28,9.27,9.28,39,1,654
2020-10-26 12:45:00,1603716300,9.28,9.28,9.27,9.28,47,1,584
2020-10-26 13:00:00,1603717200,9.27,9.28,9.27,9.27,34,1,543
2020-10-26 13:15:00,1603718100,9.27,9.28,9.26,9.27,39,1,587
2020-10-26 13:30:00,1603719000,9.28,9.28,9.26,9.26,45,1,644
2020-10-26 13:45:00,1603719900,9.27,9.28,9.26,9.27,39,1,544
2020-10-26 14:00:00,1603720800,9.27,9.27,9.25,9.26,67,1,1007
2020-10-26 14:15:00,1603721700,9.26,9.26,9.25,9.26,44,1,611
2020-10-26 14:30:00,1603722600,9.26,9.27,9.24,9.24,96,1,1435
2020-10-26 14:45:00,1603723500,9.25,9.26,9.24,9.25,55,1,835
2020-10-26 15:00:00,1603724400,9.24,9.24,9.23,9.24,59,1,765
2020-10-26 15:15:00,1603725300,9.24,9.24,9.19,9.2,84,1,1668
2020-10-26 15:30:00,1603726200,9.24,9.24,9.21,9.21,24,1,461
2020-10-26 15:45:00,1603727100,9.21,9.22,9.18,9.19,36,1,618
2020-10-26 16:00:00,1603728000,9.19,9.19,9.15,9.18,42,1,602
2020-10-26 16:15:00,1603728900,9.18,9.24,9.18,9.24,20,1,487
2020-10-26 16:30:00,1603729800,9.24,9.24,9.22,9.22,27,1,491
2020-10-26 16:45:00,1603730700,9.23,9.23,9.22,9.23,19,1,362
2020-10-26 17:00:00,1603731600,9.21,9.21,9.21,9.21,19,0,423
2020-10-27 10:00:00,1603792800,9.3,9.31,9.17,9.19,133,0,2549
2020-10-27 10:15:00,1603793700,9.17,9.24,9.17,9.24,48,1,1068
2020-10-27 10:30:00,1603794600,9.24,9.25,9.2,9.25,23,1,303
2020-10-27 10:45:00,1603795500,9.25,9.25,9.2,9.2,26,1,578
2020-10-27 11:00:00,1603796400,9.19,9.19,9.16,9.18,34,1,523
2020-10-27 11:15:00,1603797300,9.18,9.19,9.16,9.18,22,1,359
2020-10-27 11:30:00,1603798200,9.18,9.18,9.16,9.17,31,1,680
2020-10-27 11:45:00,1603799100,9.17,9.18,9.17,9.17,18,1,361
2020-10-27 12:00:00,1603800000,9.17,9.17,9.16,9.17,16,1,394
2020-10-27 12:15:00,1603800900,9.16,9.17,9.16,9.17,6,1,57
2020-10-27 12:30:00,1603801800,9.17,9.17,9.17,9.17,8,1,117
2020-10-27 12:45:00,1603802700,9.17,9.19,9.16,9.16,33,1,684
2020-10-27 13:00:00,1603803600,9.16,9.19,9.16,9.19,12,1,318
2020-10-27 13:15:00,1603804500,9.19,9.19,9.18,9.18,6,1,54
2020-10-27 13:30:00,1603805400,9.17,9.18,9.16,9.18,11,1,104
2020-10-27 13:45:00,1603806300,9.18,9.18,9.16,9.18,17,1,379
2020-10-27 14:00:00,1603807200,9.16,9.17,9.16,9.16,12,1,267
2020-10-27 14:15:00,1603808100,9.17,9.19,9.16,9.16,21,1,612
2020-10-27 14:30:00,1603809000,9.17,9.17,9.16,9.16,8,1,85
2020-10-27 14:45:00,1603809900,9.17,9.17,9.17,9.17,8,1,61
2020-10-27 15:00:00,1603810800,9.17,9.18,9.16,9.17,10,1,135
2020-10-27 15:15:00,1603811700,9.17,9.17,9.16,9.17,5,1,37
2020-10-27 15:30:00,1603812600,9.17,9.17,9.16,9.16,6,1,81
2020-10-27 15:45:00,1603813500,9.16,9.17,9.16,9.17,12,1,165
