datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-10-26 10:15:00,1603707300,9.36,9.39,9.25,9.27,1135,0,1773300
2020-10-26 10:30:00,1603708200,9.26,9.37,9.26,9.3,397,1,505700
2020-10-26 10:45:00,1603709100,9.29,9.31,9.27,9.28,257,1,77800
2020-10-26 11:00:00,1603710000,9.27,9.3,9.22,9.29,520,1,760300
2020-10-26 11:15:00,1603710900,9.28,9.3,9.27,9.27,247,1,162000
2020-10-26 11:30:00,1603711800,9.27,9.28,9.26,9.27,209,1,95700
2020-10-26 11:45:00,1603712700,9.26,9.27,9.26,9.26,202,1,147200
2020-10-26 12:00:00,1603713600,9.26,9.27,9.22,9.25,372,1,846300
2020-10-26 12:15:00,1603714500,9.25,9.28,9.25,9.27,276,1,354800
2020-10-26 12:30:00,1603715400,9.27,9.28,9.26,9.26,150,1,69500
2020-10-26 12:45:00,1603716300,9.26,9.27,9.26,9.27,173,1,81600
2020-10-26 13:00:00,1603717200,9.27,9.27,9.25,9.26,170,1,90200
2020-10-26 13:15:00,1603718100,9.27,9.27,9.26,9.27,164,1,44800
2020-10-26 13:30:00,1603719000,9.26,9.27,9.25,9.26,265,1,185900
2020-10-26 13:45:00,1603719900,9.25,9.26,9.25,9.25,247,1,66500
2020-10-26 14:00:00,1603720800,9.25,9.26,9.25,9.25,199,1,52000
2020-10-26 14:15:00,1603721700,9.25,9.26,9.25,9.25,190,1,52100
2020-10-26 14:30:00,1603722600,9.25,9.26,9.22,9.23,235,1,234800
2020-10-26 14:45:00,1603723500,9.23,9.25,9.23,9.23,208,1,134300
2020-10-26 15:00:00,1603724400,9.23,9.24,9.21,9.23,316,1,70300
2020-10-26 15:15:00,1603725300,9.22,9.23,9.16,9.22,633,1,367300
2020-10-26 15:30:00,1603726200,9.22,9.23,9.2,9.2,530,1,300900
2020-10-26 15:45:00,1603727100,9.2,9.21,9.17,9.19,478,1,157100
2020-10-26 16:00:00,1603728000,9.18,9.19,9.15,9.17,425,1,156500
2020-10-26 16:15:00,1603728900,9.17,9.24,9.15,9.23,399,1,278400
2020-10-26 16:30:00,1603729800,9.23,9.24,9.21,9.21,309,1,165600
