datetime,time,open,high,low,close,tick_volume,spread,real_volume
2020-10-13 10:15:00,1602584100,13.77,14.19,13.3,13.3,20,0,193
2020-10-13 10:30:00,1602585000,13.3,13.43,13.3,13.43,11,1,183
2020-10-13 10:45:00,1602585900,13.43,13.43,13.17,13.2,33,1,280
2020-10-13 11:00:00,1602586800,13.29,13.4,13.26,13.27,18,2,202
2020-10-13 11:15:00,1602587700,13.27,13.39,13.26,13.39,13,4,125
2020-10-13 11:30:00,1602588600,13.38,13.4,13.25,13.25,16,1,206
2020-10-13 11:45:00,1602589500,13.34,13.34,13.23,13.23,7,2,99
2020-10-13 12:00:00,1602590400,13.25,13.34,13.21,13.21,17,1,252
2020-10-13 12:15:00,1602591300,13.2,13.21,13.19,13.19,16,1,78
2020-10-13 12:30:00,1602592200,13.22,13.34,13.13,13.34,20,1,156
2020-10-13 12:45:00,1602593100,13.15,13.34,13.11,13.34,19,4,277
2020-10-13 13:00:00,1602594000,13.14,13.14,13.11,13.11,14,1,131
2020-10-13 13:15:00,1602594900,13.12,13.18,13.1,13.18,13,1,106
2020-10-13 13:30:00,1602595800,13.15,13.18,13.12,13.18,15,3,161
2020-10-13 13:45:00,1602596700,13.13,13.35,13.11,13.34,19,1,184
2020-10-13 14:00:00,1602597600,13.34,13.49,13.17,13.49,32,1,378
2020-10-13 14:15:00,1602598500,13.49,13.58,13.36,13.46,21,1,272
2020-10-13 14:30:00,1602599400,13.47,13.54,13.36,13.38,10,1,221
2020-10-13 14:45:00,1602600300,13.37,13.37,13.35,13.35,5,1,50
2020-10-13 15:00:00,1602601200,13.35,13.6,13.31,13.31,43,1,242
2020-10-13 15:15:00,1602602100,13.34,13.6,13.19,13.26,28,1,291
2020-10-13 15:30:00,1602603000,13.25,13.6,13.16,13.16,26,1,300
2020-10-13 15:45:00,1602603900,13.16,13.2,13.15,13.18,22,1,212
2020-10-13 16:00:00,1602604800,13.18,13.18,13.15,13.15,10,1,171
2020-10-13 16:15:00,1602605700,13.17,13.17,13.15,13.15,13,2,281
2020-10-13 16:30:00,1602606600,13.15,13.32,13.15,13.15,10,5,116
2020-10-13 16:45:00,1602607500,13.3,13.3,13.3,13.3,7,1,135
2020-10-13 17:00:00,1602608400,13.61,13.61,13.61,13.61,12,2,180
2020-10-13 17:45:00,1602611100,13.58,13.6,13.58,13.6,2,33,26
2020-10-14 10:00:00,1602669600,13.1,13.34,13.1,13.34,34,0,573
2020-10-14 10:15:00,1602670500,13.35,13.35,13.26,13.3,26,1,458
2020-10-14 10:30:00,1602671400,13.25,13.29,13.2,13.25,36,1,595
2020-10-14 10:45:00,1602672300,13.25,13.26,13.21,13.23,30,1,300
2020-10-14 11:00:00,1602673200,13.25,13.32,13.25,13.32,26,1,365
2020-10-14 11:15:00,1602674100,13.32,13.35,13.26,13.33,35,1,562
2020-10-14 11:30:00,1602675000,13.33,13.46,13.28,13.41,33,1,597
2020-10-14 11:45:00,1602675900,13.36,13.45,13.3,13.45,21,1,265
2020-10-14 12:00:00,1602676800,13.45,13.47,13.32,13.33,17,1,352
2020-10-14 12:15:00,1602677700,13.33,13.38,13.31,13.38,17,2,374
2020-10-14 12:30:00,1602678600,13.35,13.38,13.3,13.37,26,1,507
2020-10-14 12:45:00,1602679500,13.4,13.4,13.28,13.28,24,1,381
2020-10-14 13:00:00,1602680400,13.31,13.31,13.28,13.31,8,1,94
2020-10-14 13:15:00,1602681300,13.27,13.27,13.22,13.22,23,1,270
2020-10-14 13:30:00,1602682200,13.24,13.3,13.2,13.3,22,1,488
2020-10-14 13:45:00,1602683100,13.28,13.31,13.26,13.31,8,1,88
2020-10-14 14:00:00,1602684000,13.31,13.32,13.25,13.27,23,1,256
2020-10-14 14:15:00,1602684900,13.31,13.32,13.27,13.29,9,1,165
2020-10-14 14:30:00,1602685800,13.28,13.3,13.2,13.2,15,1,303
2020-10-14 14:45:00,1602686700,13.23,13.32,13.22,13.32,12,1,51
2020-10-14 15:00:00,1602687600,13.31,13.31,13.28,13.28,5,1,102
2020-10-14 15:15:00,1602688500,13.28,13.3,13.22,13.23,78,1,474
2020-10-14 15:30:00,1602689400,13.28,13.28,13.22,13.26,56,1,288
2020-10-14 15:45:00,1602690300,13.3,13.34,13.28,13.32,15,1,470
2020-10-14 16:00:00,1602691200,13.32,13.35,13.3,13.3,9,1,100
2020-10-14 16:15:00,1602692100,13.29,13.29,13.24,13.25,24,1,308
2020-10-14 16:30:00,1602693000,13.27,13.27,13.23,13.24,19,1,184
2020-10-14 16:45:00,1602693900,13.24,13.26,13.23,13.23,28,1,508
