datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 00:00:00,1145318400,41.34,41.34,41.34,41.34,4,0,59
2006-04-18 10:15:00,1145355300,41.44,41.44,41.44,41.44,2,0,100
2006-04-18 10:30:00,1145356200,41.37,41.37,41.37,41.37,1,0,62
2006-04-18 10:45:00,1145357100,41.35,41.59,40.96,41.59,6,0,247
2006-04-18 11:00:00,1145358000,41.44,41.45,41.44,41.45,6,0,210
2006-04-18 11:15:00,1145358900,41.53,41.53,41.53,41.53,1,0,11
2006-04-18 11:45:00,1145360700,41.16,41.24,41.16,41.24,2,0,82
2006-04-18 12:00:00,1145361600,41.34,41.44,41.33,41.44,14,0,411
2006-04-18 12:15:00,1145362500,41.36,41.36,41.35,41.35,3,0,150
2006-04-18 12:30:00,1145363400,41.34,41.34,41.34,41.34,7,0,215
2006-04-18 12:45:00,1145364300,40.96,40.96,40.96,40.96,1,0,48
2006-04-18 13:00:00,1145365200,41.24,41.34,41.24,41.34,5,0,217
2006-04-18 13:45:00,1145367900,41.15,41.15,41.15,41.15,4,0,150
2006-04-18 14:30:00,1145370600,40.75,40.75,40.75,40.75,1,0,1
2006-04-18 15:00:00,1145372400,41.24,41.33,41.24,41.33,4,0,150
2006-04-18 15:45:00,1145375100,41.19,41.24,41.19,41.24,3,0,125
2006-04-18 16:00:00,1145376000,41.23,41.24,40.85,40.85,8,0,285
2006-04-18 16:15:00,1145376900,40.96,40.96,40.9,40.9,3,0,135
2006-04-18 16:45:00,1145378700,40.49,41.33,40.49,41.33,6,0,314
2006-04-18 17:45:00,1145382300,40.95,41.33,40.55,40.55,4,0,140
2006-04-19 10:30:00,1145442600,40.76,41.15,40.76,41.15,2,0,150
2006-04-19 10:45:00,1145443500,41.05,41.05,41.05,41.05,5,0,164
2006-04-19 11:00:00,1145444400,41.34,41.34,41.34,41.34,1,0,22
2006-04-19 11:15:00,1145445300,41.31,41.31,41.31,41.31,1,0,1
2006-04-19 11:45:00,1145447100,41.02,41.15,41.02,41.02,9,0,382
2006-04-19 12:00:00,1145448000,41.15,41.15,41.15,41.15,1,0,37
2006-04-19 12:15:00,1145448900,41.1,41.15,41.1,41.15,3,0,81
2006-04-19 12:30:00,1145449800,41.06,41.06,41.06,41.06,2,0,75
2006-04-19 12:45:00,1145450700,41.01,41.06,41.01,41.01,5,0,210
2006-04-19 13:00:00,1145451600,41.05,41.05,41.05,41.05,5,0,225
2006-04-19 13:15:00,1145452500,41.1,41.1,41.1,41.1,4,0,98
2006-04-19 13:45:00,1145454300,41.01,41.01,40.86,40.86,6,0,155
2006-04-19 14:45:00,1145457900,40.85,40.85,40.85,40.85,1,0,38
2006-04-19 15:00:00,1145458800,41.04,41.04,41.04,41.04,1,0,10
2006-04-19 15:15:00,1145459700,40.85,40.85,40.8,40.85,9,0,300
2006-04-19 16:15:00,1145463300,40.46,40.51,40.46,40.47,3,0,117
2006-04-20 10:00:00,1145527200,40.36,40.36,40.36,40.36,1,0,12
2006-04-20 10:30:00,1145529000,39.04,40.36,39.04,40.36,13,0,627
2006-04-20 11:30:00,1145532600,39.63,39.63,39.63,39.63,3,0,200
2006-04-20 12:00:00,1145534400,39.64,39.64,39.63,39.63,2,0,75
2006-04-20 12:30:00,1145536200,39.87,39.87,39.87,39.87,1,0,17
2006-04-20 13:00:00,1145538000,39.37,39.37,39.37,39.37,1,0,75
2006-04-20 13:30:00,1145539800,39.85,39.85,39.85,39.85,1,0,18
2006-04-24 10:00:00,1145872800,40.34,40.34,40.34,40.34,2,0,15
2006-04-24 11:30:00,1145878200,39.03,39.03,38.39,38.39,6,0,225
