datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-28 10:15:00,1627467300,11.0,11.0,10.5,10.64,4047,0,6067400
2021-07-28 10:30:00,1627468200,10.64,11.1,10.5,10.96,3780,1,1855200
2021-07-28 10:45:00,1627469100,10.93,11.18,10.77,11.12,919,1,599000
2021-07-28 11:00:00,1627470000,11.11,11.14,10.8,10.88,725,1,438600
2021-07-28 11:15:00,1627470900,10.93,11.13,10.83,11.11,611,1,339800
2021-07-28 11:30:00,1627471800,11.1,11.15,10.99,11.09,342,1,190900
2021-07-28 11:45:00,1627472700,11.08,11.25,11.05,11.25,450,1,394300
2021-07-28 12:00:00,1627473600,11.23,11.29,11.05,11.16,507,1,197100
2021-07-28 12:15:00,1627474500,11.16,11.29,11.12,11.27,381,1,178700
2021-07-28 12:30:00,1627475400,11.27,11.29,11.23,11.24,384,1,166300
2021-07-28 12:45:00,1627476300,11.23,11.25,11.15,11.16,346,1,113300
2021-07-28 13:00:00,1627477200,11.17,11.19,11.06,11.16,425,1,177700
2021-07-28 13:15:00,1627478100,11.15,11.25,11.15,11.25,301,1,106700
2021-07-28 13:30:00,1627479000,11.25,11.27,11.07,11.15,566,1,292700
2021-07-28 13:45:00,1627479900,11.14,11.17,11.06,11.15,347,1,142500
2021-07-28 14:00:00,1627480800,11.13,11.2,11.1,11.2,248,1,85300
2021-07-28 14:15:00,1627481700,11.19,11.23,11.18,11.2,273,1,83900
2021-07-28 14:30:00,1627482600,11.2,11.22,11.15,11.17,249,1,50200
2021-07-28 14:45:00,1627483500,11.16,11.18,11.15,11.16,258,1,73200
2021-07-28 15:00:00,1627484400,11.15,11.24,11.15,11.24,306,1,139300
2021-07-28 15:15:00,1627485300,11.24,11.38,11.23,11.3,659,1,438300
2021-07-28 15:30:00,1627486200,11.29,11.43,11.27,11.42,578,1,320600
2021-07-28 15:45:00,1627487100,11.42,11.65,11.35,11.54,1243,1,610200
2021-07-28 16:00:00,1627488000,11.54,11.7,11.46,11.51,645,1,247500
2021-07-28 16:15:00,1627488900,11.51,11.69,11.44,11.64,1000,1,306800
2021-07-28 16:30:00,1627489800,11.65,12.09,11.6,12.07,1349,0,783100
2021-07-28 16:45:00,1627490700,12.1,12.39,12.09,12.33,593,0,470100
2021-07-28 17:00:00,1627491600,12.6,12.6,12.6,12.6,127,0,356100
2021-07-28 17:30:00,1627493400,12.66,12.85,12.56,12.85,71,1,33000
2021-07-29 10:00:00,1627552800,12.79,13.2,12.77,13.2,203,0,201300
2021-07-29 10:15:00,1627553700,13.7,14.05,13.29,14.05,1427,0,993400
2021-07-29 10:45:00,1627555500,13.99,14.15,13.36,13.36,2079,0,1813100
2021-07-29 11:00:00,1627556400,13.35,13.87,13.11,13.52,2798,0,1272200
2021-07-29 11:15:00,1627557300,13.6,13.66,13.03,13.3,1427,1,777400
2021-07-29 11:30:00,1627558200,13.26,13.37,12.81,13.0,1445,1,784200
2021-07-29 11:45:00,1627559100,13.01,13.01,12.6,12.6,766,1,382300
2021-07-29 12:00:00,1627560000,12.64,12.81,12.01,12.43,1261,0,796300
2021-07-29 12:15:00,1627560900,12.38,12.81,12.09,12.68,827,0,503700
2021-07-29 12:30:00,1627561800,12.63,12.99,12.45,12.73,864,1,325700
2021-07-29 12:45:00,1627562700,12.72,13.17,12.65,13.15,663,1,293100
2021-07-29 13:00:00,1627563600,13.16,13.45,13.09,13.38,807,1,366200
2021-07-29 13:15:00,1627564500,13.39,13.44,12.93,12.98,589,1,215600
2021-07-29 13:30:00,1627565400,13.0,13.32,12.98,13.15,309,1,96000
2021-07-29 13:45:00,1627566300,13.17,13.17,13.05,13.09,241,1,64600
2021-07-29 14:00:00,1627567200,13.08,13.16,13.06,13.06,209,1,40300
2021-07-29 14:15:00,1627568100,13.07,13.44,13.05,13.44,353,1,121700
2021-07-29 14:30:00,1627569000,13.41,13.74,13.35,13.64,562,1,367800
2021-07-29 14:45:00,1627569900,13.6,13.82,13.51,13.51,520,1,269400
2021-07-29 15:00:00,1627570800,13.51,13.6,13.37,13.56,253,1,72200
2021-07-29 15:15:00,1627571700,13.55,13.6,13.5,13.59,225,1,101800
2021-07-29 15:30:00,1627572600,13.6,13.6,13.41,13.5,264,1,90400
2021-07-29 15:45:00,1627573500,13.56,13.59,13.45,13.59,224,1,55700
2021-07-29 16:00:00,1627574400,13.58,13.6,13.5,13.54,350,1,174200
2021-07-29 16:15:00,1627575300,13.55,13.55,13.3,13.33,551,1,181100
2021-07-29 16:30:00,1627576200,13.32,13.35,13.0,13.13,660,1,285500
2021-07-29 16:45:00,1627577100,13.13,13.3,13.08,13.18,340,1,153400
2021-07-29 17:00:00,1627578000,13.21,13.21,13.21,13.21,104,0,178200
2021-07-29 17:30:00,1627579800,13.2,13.21,13.0,13.07,52,1,37500
2021-07-29 17:45:00,1627580700,13.01,13.17,13.0,13.11,33,1,13900
2021-07-30 10:00:00,1627639200,12.82,12.94,12.62,12.93,267,0,153500
2021-07-30 10:15:00,1627640100,12.93,13.32,12.8,13.3,837,1,243600
2021-07-30 10:30:00,1627641000,13.31,13.42,12.92,13.05,505,1,185500
2021-07-30 10:45:00,1627641900,13.05,13.13,12.87,12.95,419,1,132600
2021-07-30 11:00:00,1627642800,12.93,13.1,12.85,13.0,271,1,63500
2021-07-30 11:15:00,1627643700,13.03,13.05,12.95,12.95,135,1,29800
2021-07-30 11:30:00,1627644600,12.95,13.03,12.9,12.9,148,1,24900
2021-07-30 11:45:00,1627645500,12.9,12.93,12.8,12.91,209,1,63600
2021-07-30 12:00:00,1627646400,12.91,13.05,12.84,12.87,186,1,48900
2021-07-30 12:15:00,1627647300,12.86,12.95,12.85,12.89,142,1,28200
2021-07-30 12:30:00,1627648200,12.89,13.05,12.86,12.91,139,1,53000
2021-07-30 12:45:00,1627649100,12.91,13.15,12.84,12.92,157,1,39600
2021-07-30 13:00:00,1627650000,12.92,13.12,12.86,12.92,144,1,29700
2021-07-30 13:15:00,1627650900,12.92,13.02,12.9,12.91,137,1,23800
2021-07-30 13:30:00,1627651800,12.91,12.92,12.87,12.88,155,1,51900
2021-07-30 13:45:00,1627652700,12.88,12.92,12.85,12.91,140,1,64300
2021-07-30 14:00:00,1627653600,12.91,12.96,12.71,12.75,316,1,135800
2021-07-30 14:15:00,1627654500,12.75,12.84,12.66,12.67,167,1,66800
2021-07-30 14:30:00,1627655400,12.67,12.74,12.6,12.64,187,1,55200
2021-07-30 14:45:00,1627656300,12.64,12.64,12.23,12.24,588,1,192100
2021-07-30 15:00:00,1627657200,12.24,12.3,12.12,12.2,369,1,117400
2021-07-30 15:15:00,1627658100,12.2,12.2,11.73,11.96,675,1,184000
2021-07-30 15:30:00,1627659000,11.95,12.1,11.88,12.0,445,1,151900
2021-07-30 15:45:00,1627659900,11.97,12.22,11.95,12.13,564,1,114300
2021-07-30 16:00:00,1627660800,12.14,12.23,12.06,12.12,227,1,46700
2021-07-30 16:15:00,1627661700,12.11,12.28,12.11,12.17,299,1,67300
2021-07-30 16:30:00,1627662600,12.16,12.2,12.01,12.14,307,1,95200
2021-07-30 16:45:00,1627663500,12.14,12.54,12.06,12.54,210,1,80400
2021-07-30 17:00:00,1627664400,12.87,12.87,12.87,12.87,101,0,281700
2021-07-30 17:30:00,1627666200,12.88,12.97,12.7,12.9,48,1,30000
2021-07-30 17:45:00,1627667100,12.9,12.9,12.79,12.87,14,3,6600
2021-08-02 10:00:00,1627898400,13.15,13.15,12.71,12.81,222,0,111800
2021-08-02 10:15:00,1627899300,12.86,12.94,12.4,12.6,252,1,122600
2021-08-02 10:30:00,1627900200,12.65,12.9,12.62,12.78,174,1,50200
2021-08-02 10:45:00,1627901100,12.73,12.89,12.71,12.81,134,1,41000
2021-08-02 11:00:00,1627902000,12.8,12.81,12.34,12.45,193,1,90100
2021-08-02 11:15:00,1627902900,12.45,12.59,12.38,12.46,120,1,29300
2021-08-02 11:30:00,1627903800,12.45,12.45,12.1,12.1,71,1,81500
2021-08-02 11:45:00,1627904700,12.3,12.3,12.03,12.1,415,0,222600
2021-08-02 12:00:00,1627905600,12.1,12.15,12.0,12.1,212,1,98400
2021-08-02 12:15:00,1627906500,12.08,12.13,12.01,12.09,283,1,122100
2021-08-02 12:30:00,1627907400,12.09,12.24,12.09,12.12,262,1,58000
2021-08-02 12:45:00,1627908300,12.1,12.25,12.07,12.12,250,1,46000
2021-08-02 13:00:00,1627909200,12.1,12.16,12.01,12.02,228,1,50100
2021-08-02 13:15:00,1627910100,12.01,12.06,11.9,11.99,378,1,163600
2021-08-02 13:30:00,1627911000,11.99,12.06,11.88,12.0,349,1,115800
2021-08-02 13:45:00,1627911900,11.92,11.99,11.92,11.93,239,1,61700
2021-08-02 14:00:00,1627912800,11.92,12.24,11.92,12.1,345,1,114500
2021-08-02 14:15:00,1627913700,12.09,12.3,12.09,12.14,243,1,106000
2021-08-02 14:30:00,1627914600,12.12,12.2,12.08,12.12,208,1,30400
2021-08-02 14:45:00,1627915500,12.1,12.14,11.92,12.0,290,1,129700
2021-08-02 15:00:00,1627916400,11.97,12.08,11.96,12.0,218,1,44900
2021-08-02 15:15:00,1627917300,11.99,12.06,11.88,11.96,278,1,79900
2021-08-02 15:30:00,1627918200,11.95,12.03,11.94,11.99,234,1,61100
2021-08-02 15:45:00,1627919100,11.98,12.02,11.96,11.99,192,1,27500
2021-08-02 16:00:00,1627920000,11.98,12.0,11.96,11.98,197,1,39900
2021-08-02 16:15:00,1627920900,11.96,11.99,11.92,11.95,222,1,43800
2021-08-02 16:30:00,1627921800,11.93,11.98,11.93,11.96,211,1,43000
2021-08-02 16:45:00,1627922700,11.95,11.96,11.85,11.93,157,1,106900
2021-08-02 17:00:00,1627923600,11.95,11.95,11.95,11.95,78,0,240900
2021-08-02 17:30:00,1627925400,11.95,12.0,11.89,11.89,35,1,21900
2021-08-02 17:45:00,1627926300,11.91,12.0,11.88,12.0,14,1,6700
2021-08-03 10:00:00,1627984800,12.0,12.0,11.24,11.27,356,0,163800
2021-08-03 10:15:00,1627985700,11.28,11.4,10.9,11.0,618,1,389100
2021-08-03 10:30:00,1627986600,11.0,11.07,10.84,10.98,442,1,260100
2021-08-03 10:45:00,1627987500,10.96,11.01,10.85,10.86,187,1,231200
2021-08-03 11:00:00,1627988400,10.85,10.94,10.85,10.9,122,1,65700
2021-08-03 11:15:00,1627989300,10.88,11.1,10.87,11.07,159,1,121700
2021-08-03 11:30:00,1627990200,11.05,11.2,11.01,11.14,89,1,83200
2021-08-03 11:45:00,1627991100,11.06,11.14,10.98,11.08,197,1,62600
2021-08-03 12:00:00,1627992000,11.09,11.13,10.97,11.01,152,1,124500
2021-08-03 12:15:00,1627992900,11.01,11.03,10.91,11.03,204,1,268900
