datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-20 12:45:00,1145537100,26.65,26.65,26.65,26.65,2,0,1028
2006-04-24 11:45:00,1145879100,25.89,25.89,25.89,25.89,1,0,200
2006-05-10 00:00:00,1147219200,24.92,24.92,24.92,24.92,1,0,860
2006-05-11 15:00:00,1147359600,23.29,23.29,23.29,23.29,1,0,90
2006-05-16 15:30:00,1147793400,23.96,23.96,23.96,23.96,1,0,1000
2006-05-17 10:45:00,1147862700,23.96,23.96,23.96,23.96,1,0,1000
2006-05-18 12:30:00,1147955400,23.2,23.2,23.2,23.2,2,0,42000
2006-05-19 14:45:00,1148049900,23.0,23.0,23.0,23.0,2,0,27598
2006-05-24 10:00:00,1148464800,24.93,24.93,24.93,24.93,1,0,26000
2006-05-24 13:45:00,1148478300,21.68,21.68,21.68,21.68,2,0,90000
2006-05-24 15:15:00,1148483700,20.13,20.13,20.13,20.13,1,0,10000
2006-05-26 11:15:00,1148642100,22.91,22.91,22.91,22.91,1,0,38000
2006-05-26 14:30:00,1148653800,21.57,21.57,21.57,21.57,1,0,12000
2006-05-29 12:15:00,1148904900,22.05,22.05,22.05,22.05,2,0,31230
2006-06-02 12:30:00,1149251400,22.07,22.07,22.07,22.07,1,0,50000
2006-06-06 14:00:00,1149602400,21.76,21.76,21.76,21.76,1,0,50000
2006-06-16 12:00:00,1150459200,19.17,19.17,19.17,19.17,1,0,30
2006-06-19 16:30:00,1150734600,14.38,14.38,14.38,14.38,1,0,2340
2006-06-21 14:00:00,1150898400,19.17,19.17,19.17,19.17,1,0,30
2006-06-28 10:00:00,1151488800,23.87,23.96,23.87,23.96,2,0,13674
2006-06-28 10:15:00,1151489700,25.89,25.89,25.89,25.89,3,0,30340
2006-06-28 11:00:00,1151492400,26.84,26.84,26.84,26.84,2,0,44014
2006-06-28 14:15:00,1151504100,27.08,27.08,27.08,27.08,1,0,1000
2006-06-28 14:45:00,1151505900,26.84,26.84,26.84,26.84,5,0,184090
2006-06-29 10:00:00,1151575200,26.84,26.84,26.84,26.84,3,0,120000
2006-06-29 16:00:00,1151596800,27.03,27.03,27.03,27.03,1,0,10000
2006-06-29 16:30:00,1151598600,26.85,26.85,26.85,26.85,2,0,28180
2006-06-30 14:15:00,1151676900,26.93,26.93,26.93,26.93,2,0,13010
2006-07-03 11:30:00,1151926200,27.03,27.03,27.03,27.03,4,0,70942
2006-07-03 15:15:00,1151939700,27.51,27.51,27.51,27.51,1,0,58
2006-07-10 16:30:00,1152549000,27.7,27.8,27.7,27.8,2,0,51800
2006-07-18 11:45:00,1153223100,27.17,27.32,27.17,27.32,2,0,70000
2006-07-18 12:15:00,1153224900,27.03,27.03,27.03,27.03,1,0,500
2006-07-18 12:30:00,1153225800,27.02,27.02,27.02,27.02,1,0,40000
2006-07-18 16:30:00,1153240200,27.03,27.03,27.03,27.03,1,0,10000
2006-07-19 15:45:00,1153323900,27.03,27.03,27.03,27.03,1,0,10000
2006-07-20 15:30:00,1153409400,27.03,27.03,27.03,27.03,2,0,800
2006-07-20 16:15:00,1153412100,27.03,27.03,27.03,27.03,1,0,3000
2006-07-25 16:15:00,1153844100,26.84,26.84,26.84,26.84,1,0,1000
2006-07-26 14:30:00,1153924200,26.56,26.56,26.56,26.56,1,0,15000
2006-07-31 12:15:00,1154348100,25.89,25.89,25.89,25.89,1,0,2940
2006-08-01 15:30:00,1154446200,26.27,26.27,26.27,26.27,1,0,17000
2006-08-02 16:30:00,1154536200,27.2,27.2,27.2,27.2,1,0,20000
2006-08-03 16:15:00,1154621700,26.84,26.84,26.84,26.84,1,0,20000
2006-08-03 16:45:00,1154623500,27.13,27.13,27.13,27.13,1,0,1000
2006-08-07 15:30:00,1154964600,27.03,27.03,27.03,27.03,1,0,1000
2006-08-07 16:45:00,1154969100,27.03,27.03,27.03,27.03,1,0,4000
2006-08-08 10:00:00,1155031200,27.32,27.32,27.32,27.32,1,0,4000
2006-08-09 14:45:00,1155134700,26.84,26.84,26.84,26.84,1,0,180
2006-08-14 16:45:00,1155573900,27.27,27.27,27.27,27.27,1,0,1000
2006-08-15 11:30:00,1155641400,27.32,27.32,27.32,27.32,1,0,1000
2006-08-15 13:45:00,1155649500,27.32,27.32,27.32,27.32,1,0,10000
2006-08-15 18:15:00,1155665700,27.32,27.32,27.32,27.32,1,0,660
2006-08-16 18:30:00,1155753000,27.99,27.99,27.99,27.99,1,0,50000
2006-08-22 11:45:00,1156247100,27.22,27.22,27.22,27.22,1,0,90
2006-08-23 14:45:00,1156344300,27.41,27.41,27.41,27.41,1,0,1000
2006-08-23 16:15:00,1156349700,27.41,28.28,27.41,28.28,5,0,49340
2006-08-28 14:00:00,1156773600,27.22,27.22,27.22,27.22,1,0,2230
2006-08-29 10:00:00,1156845600,27.75,27.75,27.75,27.75,1,0,1180
2006-08-31 10:15:00,1157019300,27.89,27.98,27.89,27.98,2,0,7230
2006-09-01 10:30:00,1157106600,28.27,28.27,28.27,28.27,1,0,5000
2006-09-01 14:45:00,1157121900,28.28,28.28,28.28,28.28,1,0,500
2006-09-04 10:00:00,1157364000,28.27,28.27,28.27,28.27,1,0,5000
2006-09-05 12:15:00,1157458500,28.28,28.28,28.28,28.28,1,0,5000
2006-09-05 13:45:00,1157463900,27.32,27.32,27.32,27.32,1,0,42959
2006-09-06 10:00:00,1157536800,28.26,28.26,28.26,28.26,1,0,5000
2006-09-06 15:15:00,1157555700,28.18,28.18,28.18,28.18,1,0,42959
2006-09-08 10:15:00,1157710500,28.28,28.28,28.28,28.28,1,0,5000
2006-09-08 11:45:00,1157715900,27.32,27.32,27.32,27.32,1,0,150
2006-09-11 10:00:00,1157968800,27.33,27.33,27.33,27.33,1,0,65000
2006-09-13 16:00:00,1158163200,27.99,27.99,27.99,27.99,1,0,150
2006-09-14 10:15:00,1158228900,27.41,27.41,27.41,27.41,1,0,20000
2006-09-14 10:30:00,1158229800,27.41,27.41,27.41,27.41,1,0,100
2006-09-15 11:45:00,1158320700,28.18,28.27,28.18,28.27,2,0,25100
2006-09-15 13:45:00,1158327900,28.27,28.27,28.27,28.27,1,0,5000
2006-09-18 16:45:00,1158597900,28.27,28.27,28.27,28.27,1,0,5000
2006-09-19 14:15:00,1158675300,28.27,28.28,28.27,28.28,2,0,13400
2006-09-21 16:45:00,1158857100,27.85,28.18,27.85,28.18,2,0,8000
2006-09-22 16:00:00,1158940800,28.27,28.27,28.27,28.27,1,0,5000
2006-09-25 14:45:00,1159195500,28.28,28.28,28.28,28.28,1,0,14971
2006-09-26 15:00:00,1159282800,28.28,28.28,28.28,28.28,1,0,9506
2006-09-27 15:00:00,1159369200,28.04,28.04,28.04,28.04,1,0,60000
2006-09-27 15:45:00,1159371900,28.04,28.04,28.04,28.04,1,0,6000
2006-09-27 16:30:00,1159374600,28.04,28.04,28.04,28.04,3,0,100000
2006-09-27 16:45:00,1159375500,28.04,28.04,28.04,28.04,1,0,1361
2006-09-28 12:45:00,1159447500,28.09,28.09,27.51,27.51,3,0,22969
2006-09-29 10:00:00,1159524000,28.28,28.28,28.28,28.28,3,0,40677
2006-10-02 14:45:00,1159800300,28.06,28.06,28.06,28.06,2,0,82716
