datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-07-12 10:15:00,1626084900,12.99,13.0,12.19,12.31,637,0,13816
2021-07-12 10:30:00,1626085800,12.28,12.59,12.27,12.39,241,1,5623
2021-07-12 10:45:00,1626086700,12.38,12.39,12.22,12.39,164,1,3719
2021-07-12 11:00:00,1626087600,12.39,12.9,12.35,12.53,183,1,4739
2021-07-12 11:15:00,1626088500,12.52,12.73,12.35,12.39,214,1,4639
2021-07-12 11:30:00,1626089400,12.4,12.55,12.4,12.43,167,1,3718
2021-07-12 11:45:00,1626090300,12.39,12.49,12.28,12.36,219,1,3979
2021-07-12 12:00:00,1626091200,12.35,12.5,12.27,12.32,137,1,2531
2021-07-12 12:15:00,1626092100,12.28,12.44,12.26,12.27,117,1,1526
2021-07-12 12:30:00,1626093000,12.26,12.31,12.23,12.27,152,1,2594
2021-07-12 12:45:00,1626093900,12.27,12.3,12.22,12.27,120,1,2750
2021-07-12 13:00:00,1626094800,12.28,12.35,12.22,12.35,132,1,2365
2021-07-12 13:15:00,1626095700,12.34,12.34,12.22,12.25,85,1,1274
2021-07-12 13:30:00,1626096600,12.24,12.3,12.16,12.29,230,1,3691
2021-07-12 13:45:00,1626097500,12.28,12.33,12.2,12.22,64,1,993
2021-07-12 14:00:00,1626098400,12.22,12.25,12.2,12.24,44,1,820
2021-07-12 14:15:00,1626099300,12.23,12.3,12.2,12.26,45,1,685
2021-07-12 14:30:00,1626100200,12.25,12.29,12.17,12.2,103,1,1734
2021-07-12 14:45:00,1626101100,12.22,12.29,12.12,12.14,116,1,1796
2021-07-12 15:00:00,1626102000,12.14,12.19,12.02,12.05,157,1,2111
2021-07-12 15:15:00,1626102900,12.06,12.17,12.04,12.16,96,1,1717
2021-07-12 15:30:00,1626103800,12.16,12.24,12.13,12.17,62,1,894
2021-07-12 15:45:00,1626104700,12.18,12.25,12.09,12.09,105,1,1735
2021-07-12 16:00:00,1626105600,12.14,12.24,12.04,12.06,96,1,1392
2021-07-12 16:15:00,1626106500,12.07,12.1,12.03,12.05,111,1,1523
2021-07-12 16:30:00,1626107400,12.05,12.13,12.02,12.05,70,1,1416
2021-07-12 16:45:00,1626108300,12.04,12.13,12.04,12.04,76,1,1047
2021-07-12 17:00:00,1626109200,12.04,12.04,12.04,12.04,28,0,490
2021-07-12 17:30:00,1626111000,12.1,12.19,12.05,12.19,11,1,129
2021-07-12 17:45:00,1626111900,12.18,12.19,12.1,12.19,25,1,208
2021-07-13 10:00:00,1626170400,12.3,12.45,12.09,12.2,160,0,2905
2021-07-13 10:15:00,1626171300,12.23,12.3,12.1,12.23,94,1,1560
2021-07-13 10:30:00,1626172200,12.22,12.24,12.06,12.13,81,1,1281
2021-07-13 10:45:00,1626173100,12.11,12.27,12.05,12.16,56,1,1055
2021-07-13 11:00:00,1626174000,12.25,12.27,12.16,12.17,34,1,679
2021-07-13 11:15:00,1626174900,12.24,12.27,12.18,12.24,37,1,724
2021-07-13 11:30:00,1626175800,12.24,12.27,12.2,12.26,29,1,528
2021-07-13 11:45:00,1626176700,12.28,12.39,12.2,12.31,91,1,2303
2021-07-13 12:00:00,1626177600,12.27,12.3,12.17,12.22,37,1,766
2021-07-13 12:15:00,1626178500,12.27,12.27,12.21,12.26,22,1,318
2021-07-13 12:30:00,1626179400,12.27,12.29,12.21,12.23,35,1,694
2021-07-13 12:45:00,1626180300,12.21,12.31,12.19,12.26,42,1,1047
2021-07-13 13:00:00,1626181200,12.25,12.28,12.17,12.26,32,1,594
