datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-07 11:30:00,1152271800,3.0,3.0,3.0,3.0,1,0,10000
2006-07-25 12:00:00,1153828800,2.0,2.0,2.0,2.0,2,0,2000
2006-07-25 12:30:00,1153830600,2.2,2.2,2.2,2.2,1,0,2000
2006-07-27 15:15:00,1154013300,3.0,3.0,3.0,3.0,2,0,10000
2006-10-13 13:15:00,1160745300,2.2,2.2,2.2,2.2,2,0,2000
2006-10-16 15:45:00,1161013500,3.1,3.1,3.1,3.1,1,0,1000
2006-10-17 12:00:00,1161086400,2.4,2.4,2.4,2.4,1,0,1000
2006-10-17 12:15:00,1161087300,3.2,3.2,3.2,3.2,1,0,1000
2006-10-18 16:45:00,1161189900,3.0,3.0,3.0,3.0,1,0,1000
2006-11-17 12:00:00,1163764800,2.6,2.6,2.6,2.6,4,0,17000
2006-11-17 17:00:00,1163782800,2.7,2.7,2.7,2.7,1,0,1000
2006-11-22 14:00:00,1164204000,2.7,2.7,2.7,2.7,2,0,4000
2006-11-27 12:00:00,1164628800,2.4,2.4,2.4,2.4,6,0,18000
2006-11-27 14:45:00,1164638700,2.5,2.5,2.5,2.5,2,0,3000
2006-12-01 14:45:00,1164984300,2.5,2.5,2.5,2.5,1,0,3000
2006-12-07 11:30:00,1165491000,2.5,2.5,2.5,2.5,1,0,2000
2006-12-20 11:45:00,1166615100,3.4,3.4,3.4,3.4,1,0,1000
2006-12-21 11:00:00,1166698800,3.0,3.0,3.0,3.0,2,0,2000
2006-12-21 11:15:00,1166699700,3.0,3.0,3.0,3.0,1,0,1000
2006-12-22 15:15:00,1166800500,2.5,2.5,2.5,2.5,3,0,3000
2006-12-28 15:30:00,1167319800,3.0,3.0,3.0,3.0,1,0,1000
2007-01-10 13:15:00,1168434900,3.0,3.0,3.0,3.0,2,0,4000
2007-01-11 12:30:00,1168518600,3.0,3.0,3.0,3.0,1,0,2000
2007-01-12 15:00:00,1168614000,4.5,4.5,4.5,4.5,11,0,30000
2007-01-12 15:15:00,1168614900,6.0,6.0,6.0,6.0,8,0,11000
2007-01-12 16:45:00,1168620300,5.5,5.5,5.5,5.5,11,0,69000
2007-01-12 17:00:00,1168621200,5.4,5.4,5.4,5.4,1,0,2000
2007-01-15 11:00:00,1168858800,5.4,5.4,5.4,5.4,3,0,3000
2007-01-15 11:15:00,1168859700,5.4,5.4,5.4,5.4,4,0,5000
2007-01-15 14:00:00,1168869600,5.0,5.5,5.0,5.5,9,0,21000
2007-01-15 14:15:00,1168870500,5.5,6.9,5.5,6.9,32,0,88000
2007-01-15 14:30:00,1168871400,6.9,7.5,6.9,7.5,15,0,38000
2007-01-15 14:45:00,1168872300,7.5,7.5,6.8,6.8,12,0,25000
2007-01-15 15:00:00,1168873200,6.7,6.7,6.5,6.5,4,0,5000
2007-01-15 15:15:00,1168874100,6.3,6.3,6.0,6.0,6,0,8000
2007-01-15 15:45:00,1168875900,6.0,6.0,5.9,6.0,6,0,7000
2007-01-15 16:00:00,1168876800,6.0,6.0,5.9,5.9,2,0,12000
2007-01-15 16:15:00,1168877700,5.8,5.9,5.8,5.9,3,0,13000
2007-01-15 16:30:00,1168878600,5.9,6.0,5.9,6.0,2,0,2000
2007-01-15 16:45:00,1168879500,5.9,5.9,5.9,5.9,2,0,5000
2007-01-15 17:00:00,1168880400,6.1,6.1,6.1,6.1,2,0,2000
2007-01-15 17:30:00,1168882200,6.3,6.3,5.9,5.9,5,0,13000
2007-01-16 11:00:00,1168945200,6.0,6.0,5.9,5.9,8,0,41000
2007-01-16 11:45:00,1168947900,5.7,5.7,5.7,5.7,2,0,6000
2007-01-16 12:00:00,1168948800,5.7,5.7,5.7,5.7,2,0,2000
2007-01-16 14:15:00,1168956900,5.1,5.1,5.1,5.1,1,0,2000
2007-01-16 14:30:00,1168957800,5.0,5.1,5.0,5.0,3,0,13000
2007-01-16 14:45:00,1168958700,4.9,4.9,4.9,4.9,2,0,2000
2007-01-16 15:00:00,1168959600,4.6,4.6,4.6,4.6,2,0,2000
2007-01-16 15:15:00,1168960500,4.7,4.8,4.7,4.8,2,0,11000
2007-01-16 15:45:00,1168962300,4.9,5.0,4.9,5.0,2,0,11000
2007-01-16 16:00:00,1168963200,5.0,5.2,5.0,5.0,3,0,21000
2007-01-16 16:15:00,1168964100,5.0,5.0,4.8,4.8,3,0,3000
2007-01-16 16:45:00,1168965900,4.8,4.9,4.8,4.9,2,0,13000
2007-01-16 17:30:00,1168968600,4.8,4.8,4.8,4.8,1,0,1000
2007-01-16 18:45:00,1168973100,4.8,4.8,4.8,4.8,2,0,5000
2007-01-17 11:00:00,1169031600,4.9,5.0,4.9,5.0,2,0,7000
2007-01-17 12:00:00,1169035200,5.0,5.1,5.0,5.1,3,0,13000
