datetime,time,open,high,low,close,tick_volume,spread,real_volume
2012-04-27 10:15:00,1335521700,15.01,15.2,14.6,14.86,638,0,18330
2012-04-27 10:30:00,1335522600,14.86,14.9,14.77,14.81,60,0,1610
2012-04-27 10:45:00,1335523500,14.81,14.9,14.64,14.89,42,0,1267
2012-04-27 11:00:00,1335524400,14.91,15.06,14.9,15.06,17,0,309
2012-04-27 11:15:00,1335525300,15.04,15.04,15.0,15.0,8,0,265
2012-04-27 11:30:00,1335526200,15.05,15.12,15.0,15.1,11,0,268
2012-04-27 11:45:00,1335527100,15.13,15.13,15.01,15.01,2,0,58
2012-04-27 12:00:00,1335528000,15.19,15.19,15.0,15.0,24,0,721
2012-04-27 12:15:00,1335528900,15.0,15.0,15.0,15.0,3,0,99
2012-04-27 12:30:00,1335529800,15.1,15.1,15.1,15.1,6,0,70
2012-04-27 12:45:00,1335530700,15.14,15.15,15.14,15.15,3,0,134
2012-04-27 13:00:00,1335531600,15.19,15.19,15.19,15.19,1,0,2
2012-04-27 13:30:00,1335533400,15.05,15.1,15.05,15.05,6,0,198
2012-04-27 13:45:00,1335534300,15.05,15.05,14.96,14.96,5,0,112
2012-04-27 14:00:00,1335535200,15.0,15.11,15.0,15.06,10,0,327
2012-04-27 14:15:00,1335536100,15.05,15.08,15.05,15.08,3,0,81
2012-04-27 14:30:00,1335537000,15.08,15.2,15.08,15.2,29,0,756
2012-04-27 15:00:00,1335538800,15.25,15.25,15.2,15.2,4,0,64
2012-04-27 15:15:00,1335539700,15.21,15.23,15.21,15.23,2,0,71
2012-04-27 15:30:00,1335540600,15.27,15.27,15.12,15.12,11,0,299
2012-04-27 15:45:00,1335541500,15.1,15.11,15.09,15.11,6,0,255
2012-04-27 16:00:00,1335542400,15.1,15.15,15.1,15.15,8,0,238
2012-04-27 16:15:00,1335543300,15.16,15.17,15.1,15.1,20,0,571
2012-04-27 16:30:00,1335544200,15.1,15.3,15.1,15.22,47,0,1360
