datetime,time,open,high,low,close,tick_volume,spread,real_volume
2012-04-27 10:15:00,1335521700,11.66,11.94,11.35,11.56,841,0,1318300
2012-04-27 10:30:00,1335522600,11.54,11.6,11.46,11.53,113,0,368700
2012-04-27 10:45:00,1335523500,11.54,11.6,11.52,11.59,45,0,14900
2012-04-27 11:00:00,1335524400,11.57,11.79,11.57,11.69,117,0,47600
2012-04-27 11:15:00,1335525300,11.7,11.7,11.66,11.67,26,0,15000
2012-04-27 11:30:00,1335526200,11.69,11.81,11.69,11.75,93,0,47500
2012-04-27 11:45:00,1335527100,11.77,11.79,11.72,11.79,47,0,29300
2012-04-27 12:00:00,1335528000,11.76,11.9,11.66,11.69,46,0,78200
2012-04-27 12:15:00,1335528900,11.72,11.75,11.72,11.72,6,0,3600
2012-04-27 12:30:00,1335529800,11.74,11.75,11.72,11.72,7,0,1400
2012-04-27 12:45:00,1335530700,11.75,11.79,11.75,11.79,8,0,18600
2012-04-27 13:00:00,1335531600,11.76,11.79,11.72,11.76,17,0,27300
2012-04-27 13:15:00,1335532500,11.78,11.78,11.76,11.77,8,0,1300
2012-04-27 13:30:00,1335533400,11.75,11.76,11.69,11.76,77,0,68300
2012-04-27 13:45:00,1335534300,11.7,11.76,11.7,11.73,51,0,35200
2012-04-27 14:00:00,1335535200,11.74,11.76,11.72,11.76,10,0,5700
2012-04-27 14:15:00,1335536100,11.72,11.75,11.72,11.75,5,0,500
2012-04-27 14:30:00,1335537000,11.72,11.85,11.72,11.84,33,0,32100
2012-04-27 14:45:00,1335537900,11.82,11.88,11.81,11.85,35,0,8700
2012-04-27 15:00:00,1335538800,11.85,11.87,11.81,11.85,19,0,8600
2012-04-27 15:15:00,1335539700,11.84,11.85,11.82,11.83,18,0,20900
2012-04-27 15:30:00,1335540600,11.83,11.85,11.7,11.76,33,0,43200
2012-04-27 15:45:00,1335541500,11.71,11.76,11.69,11.74,28,0,15400
2012-04-27 16:00:00,1335542400,11.74,11.77,11.72,11.77,48,0,11400
2012-04-27 16:15:00,1335543300,11.78,11.81,11.77,11.8,20,0,8400
2012-04-27 16:30:00,1335544200,11.77,11.92,11.76,11.86,39,0,47000
2012-04-27 16:45:00,1335545100,11.85,11.93,11.81,11.93,38,0,10800
2012-04-27 17:00:00,1335546000,11.93,11.93,11.93,11.93,44,0,67000
2012-04-30 10:00:00,1335780000,12.12,12.41,12.12,12.41,2,0,200
