datetime,time,open,high,low,close,tick_volume,spread,real_volume
2008-03-12 16:45:00,1205340300,60.0,60.0,60.0,60.0,2,0,36
2008-06-09 15:00:00,1213023600,63.01,63.01,63.01,63.01,1,0,1
2008-06-30 12:15:00,1214828100,63.51,63.51,63.51,63.51,1,0,1
2008-06-30 15:30:00,1214839800,63.51,63.51,63.51,63.51,1,0,29
2008-06-30 18:15:00,1214849700,63.51,63.51,63.51,63.51,1,0,1
2008-10-29 14:15:00,1225289700,55.55,55.55,55.55,55.55,1,0,16
2009-02-02 16:00:00,1233590400,50.08,50.08,50.08,50.08,1,0,37
2009-02-05 14:00:00,1233842400,50.08,50.08,50.08,50.08,2,0,50
2009-02-10 17:00:00,1234285200,57.5,57.5,57.5,57.5,1,0,5
2009-04-08 11:45:00,1239191100,58.0,58.0,58.0,58.0,1,0,1
2009-05-14 11:30:00,1242300600,44.51,44.51,44.51,44.51,2,0,5
2009-05-14 12:00:00,1242302400,55.0,55.0,55.0,55.0,1,0,1
2009-06-08 14:15:00,1244470500,58.0,58.0,58.0,58.0,2,0,13
2009-06-08 14:30:00,1244471400,58.01,58.01,58.01,58.01,1,0,8
2010-03-03 14:15:00,1267625700,60.01,60.01,60.01,60.01,1,0,76
2010-04-15 10:45:00,1271328300,50.09,50.09,50.09,50.09,2,0,15
2010-04-19 11:30:00,1271676600,100.0,100.0,100.0,100.0,1,0,15
2010-05-05 10:30:00,1273055400,50.08,50.08,50.08,50.08,1,0,5
2010-07-07 16:00:00,1278518400,99.0,99.0,99.0,99.0,1,0,1
2010-08-09 11:45:00,1281354300,100.0,100.0,100.0,100.0,1,0,10
2010-08-10 17:00:00,1281459600,90.02,90.02,90.02,90.02,1,0,1
2010-08-11 12:00:00,1281528000,99.99,99.99,99.99,99.99,1,0,9
2010-08-20 13:00:00,1282309200,100.0,100.0,100.0,100.0,1,0,2
2010-10-01 12:30:00,1285936200,102.08,102.08,102.08,102.08,1,0,25
2010-10-01 12:45:00,1285937100,102.08,102.08,102.08,102.08,1,0,3
2011-01-12 12:15:00,1294834500,73.0,73.0,73.0,73.0,3,0,30
2011-01-14 13:45:00,1295012700,94.99,94.99,94.99,94.99,1,0,1
2011-01-14 15:00:00,1295017200,94.99,94.99,94.99,94.99,2,0,5
2011-01-14 15:30:00,1295019000,93.0,93.0,93.0,93.0,1,0,1
2011-03-25 11:30:00,1301052600,20.0,20.0,20.0,20.0,1,0,4
2011-04-28 14:00:00,1303999200,30.0,30.0,30.0,30.0,1,0,16
2011-05-12 13:00:00,1305205200,20.09,20.09,20.09,20.09,1,0,6
2011-05-23 14:15:00,1306160100,30.0,30.0,30.0,30.0,1,0,12
2011-08-03 13:15:00,1312377300,32.0,32.0,32.0,32.0,1,0,52
2011-08-17 10:30:00,1313577000,27.35,27.35,27.35,27.35,1,0,52
2011-08-17 11:15:00,1313579700,27.21,27.21,27.21,27.21,1,0,20
2011-08-17 12:00:00,1313582400,27.49,27.49,27.49,27.49,1,0,96
2011-08-17 12:15:00,1313583300,27.41,27.41,27.34,27.34,3,0,176
2011-08-17 12:45:00,1313585100,27.5,27.52,27.27,27.27,6,0,129
2011-08-17 13:00:00,1313586000,27.28,27.28,27.28,27.28,1,0,41
2011-08-17 13:30:00,1313587800,27.5,27.51,27.5,27.51,2,0,99
2011-08-17 14:00:00,1313589600,27.52,27.53,27.52,27.53,2,0,2
2011-08-17 14:15:00,1313590500,27.63,27.63,27.63,27.63,1,0,1
2011-08-17 15:30:00,1313595000,27.6,27.6,27.6,27.6,1,0,40
2011-08-17 15:45:00,1313595900,27.58,27.58,27.58,27.58,1,0,50
2011-08-17 16:00:00,1313596800,27.6,27.66,27.6,27.66,2,0,12
2011-08-17 16:15:00,1313597700,27.62,27.62,27.62,27.62,1,0,1
2011-08-17 16:30:00,1313598600,27.67,27.67,27.67,27.67,1,0,27
2011-08-17 16:45:00,1313599500,27.68,27.75,27.68,27.75,3,0,94
2011-08-18 10:15:00,1313662500,26.22,27.05,26.22,26.45,5,0,227
2011-08-18 11:00:00,1313665200,26.3,26.3,26.2,26.2,5,0,118
2011-08-18 12:15:00,1313669700,26.4,26.4,26.4,26.4,2,0,40
2011-08-18 12:30:00,1313670600,26.6,26.7,26.6,26.7,2,0,2
2011-08-18 13:30:00,1313674200,26.95,26.95,26.81,26.82,3,0,7
2011-08-18 13:45:00,1313675100,26.66,26.66,26.66,26.66,1,0,5
2011-08-18 14:00:00,1313676000,26.65,26.65,26.65,26.65,1,0,1
2011-08-18 14:45:00,1313678700,26.7,26.7,26.7,26.7,1,0,1
2011-08-18 16:00:00,1313683200,26.71,26.71,26.71,26.71,1,0,10
2011-08-18 16:15:00,1313684100,26.76,26.77,26.76,26.77,2,0,12
2011-08-18 16:30:00,1313685000,26.8,26.89,26.8,26.89,8,0,36
2011-08-18 16:45:00,1313685900,27.0,27.47,27.0,27.47,4,0,90
2011-08-19 10:30:00,1313749800,26.99,26.99,26.99,26.99,1,0,50
2011-08-19 11:30:00,1313753400,27.27,27.27,27.27,27.27,1,0,80
2011-08-19 11:45:00,1313754300,27.04,27.04,27.0,27.0,4,0,33
2011-08-19 12:00:00,1313755200,27.0,27.15,27.0,27.15,3,0,98
2011-08-19 12:15:00,1313756100,27.16,27.16,27.16,27.16,1,0,1
2011-08-19 14:30:00,1313764200,26.96,26.96,26.88,26.88,3,0,3
2011-08-19 14:45:00,1313765100,26.82,26.82,26.81,26.81,3,0,105
2011-08-19 15:00:00,1313766000,26.82,26.82,26.75,26.75,5,0,14
2011-08-19 15:15:00,1313766900,26.76,27.09,26.76,27.09,2,0,117
2011-08-19 15:30:00,1313767800,27.1,27.2,27.1,27.2,6,0,122
2011-08-19 15:45:00,1313768700,27.2,27.2,27.2,27.2,1,0,25
2011-08-19 16:00:00,1313769600,27.15,27.15,27.11,27.12,3,0,125
2011-08-19 16:15:00,1313770500,27.19,27.19,27.09,27.19,7,0,226
2011-08-19 16:30:00,1313771400,27.03,27.03,27.0,27.0,2,0,2
2011-08-19 16:45:00,1313772300,26.9,26.9,26.88,26.88,3,0,98
2011-08-22 10:45:00,1314009900,27.15,27.15,27.15,27.15,2,0,69
2011-08-22 11:00:00,1314010800,26.9,26.9,26.9,26.9,1,0,20
2011-08-22 11:15:00,1314011700,27.38,27.38,27.38,27.38,1,0,1
2011-08-22 11:30:00,1314012600,27.4,27.4,27.4,27.4,1,0,1
2011-08-22 11:45:00,1314013500,27.39,27.43,27.39,27.43,2,0,10
2011-08-22 12:15:00,1314015300,27.22,27.22,27.22,27.22,1,0,1
2011-08-22 12:30:00,1314016200,27.22,27.22,27.22,27.22,1,0,1
2011-08-22 12:45:00,1314017100,27.34,27.34,27.31,27.31,3,0,35
2011-08-22 13:00:00,1314018000,27.35,27.37,27.35,27.37,3,0,107
2011-08-22 13:15:00,1314018900,27.3,27.44,27.3,27.44,4,0,86
2011-08-22 14:00:00,1314021600,27.46,27.55,27.46,27.55,5,0,36
2011-08-22 14:15:00,1314022500,27.37,27.37,27.37,27.37,1,0,68
2011-08-22 14:30:00,1314023400,27.53,27.53,27.53,27.53,1,0,79
2011-08-22 14:45:00,1314024300,27.37,27.37,27.3,27.37,7,0,69
2011-08-22 15:30:00,1314027000,27.42,27.42,27.42,27.42,1,0,5
2011-08-22 15:45:00,1314027900,27.27,27.27,27.24,27.24,2,0,86
2011-08-22 16:00:00,1314028800,27.38,27.38,27.38,27.38,1,0,6
2011-08-22 16:15:00,1314029700,27.3,27.3,27.3,27.3,3,0,27
2011-08-22 16:30:00,1314030600,27.35,27.38,27.35,27.38,2,0,18
2011-08-22 16:45:00,1314031500,27.33,27.36,27.33,27.36,2,0,23
2011-08-22 18:15:00,1314036900,27.36,27.36,27.36,27.36,1,0,1
2011-08-22 18:45:00,1314038700,27.36,27.36,27.36,27.36,1,0,2
2011-08-23 10:00:00,1314093600,27.5,28.0,27.5,28.0,4,0,68
2011-08-23 10:15:00,1314094500,27.55,27.72,27.55,27.72,2,0,2
2011-08-23 10:30:00,1314095400,27.89,27.89,27.7,27.78,3,0,46
2011-08-23 10:45:00,1314096300,27.66,27.66,27.66,27.66,1,0,1
2011-08-23 11:00:00,1314097200,27.63,27.74,27.63,27.74,2,0,18
2011-08-23 11:30:00,1314099000,27.63,27.7,27.6,27.7,3,0,22
2011-08-23 11:45:00,1314099900,27.55,27.55,27.5,27.5,3,0,12
2011-08-23 12:00:00,1314100800,27.42,27.42,27.38,27.38,2,0,113
2011-08-23 12:15:00,1314101700,27.49,27.49,27.49,27.49,1,0,28
2011-08-23 12:45:00,1314103500,27.58,27.58,27.57,27.57,3,0,43
2011-08-23 13:15:00,1314105300,27.48,27.5,27.48,27.5,2,0,6
2011-08-23 13:30:00,1314106200,27.57,27.57,27.57,27.57,1,0,25
2011-08-23 14:00:00,1314108000,27.53,27.53,27.53,27.53,1,0,35
2011-08-23 15:00:00,1314111600,27.41,27.41,27.36,27.36,4,0,117
2011-08-23 15:15:00,1314112500,27.43,27.43,27.43,27.43,1,0,26
2011-08-23 15:30:00,1314113400,27.39,27.39,27.35,27.35,3,0,53
