datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-18 10:00:00,1145354400,1.99,1.99,1.99,1.99,1,0,70
2006-04-18 11:00:00,1145358000,2.0,2.0,2.0,2.0,1,0,15
2006-04-18 12:00:00,1145361600,1.98,1.98,1.98,1.98,2,0,91
2006-04-18 15:00:00,1145372400,1.99,1.99,1.99,1.99,2,0,60
2006-04-18 16:00:00,1145376000,1.98,1.98,1.98,1.98,1,0,20
2006-04-18 18:00:00,1145383200,2.0,2.0,2.0,2.0,1,0,55
2006-04-19 10:00:00,1145440800,2.01,2.01,2.01,2.01,1,0,39
2006-04-19 10:30:00,1145442600,1.98,1.99,1.98,1.99,3,0,91
2006-04-19 12:00:00,1145448000,1.97,2.01,1.97,2.01,2,0,17
2006-04-19 12:30:00,1145449800,1.96,1.96,1.96,1.96,3,0,64
2006-04-19 13:00:00,1145451600,1.97,1.97,1.97,1.97,2,0,60
2006-04-19 15:00:00,1145458800,1.96,1.96,1.96,1.96,2,0,56
2006-04-19 18:00:00,1145469600,1.98,1.98,1.98,1.98,1,0,3
2006-04-20 10:30:00,1145529000,1.97,1.97,1.97,1.97,4,0,105
2006-04-20 14:30:00,1145543400,1.99,1.99,1.99,1.99,1,0,8
2006-04-24 10:00:00,1145872800,1.98,1.98,1.97,1.97,6,0,145
2006-04-24 11:00:00,1145876400,1.95,1.95,1.95,1.95,1,0,20
2006-04-24 12:00:00,1145880000,1.96,1.96,1.96,1.96,2,0,77
2006-04-24 14:30:00,1145889000,1.97,1.97,1.97,1.97,4,0,80
2006-04-25 10:30:00,1145961000,1.99,1.99,1.99,1.99,3,0,45
2006-04-25 11:30:00,1145964600,1.96,1.96,1.96,1.96,2,0,60
2006-04-25 12:00:00,1145966400,1.99,1.99,1.99,1.99,7,0,154
2006-04-25 18:00:00,1145988000,2.0,2.0,2.0,2.0,1,0,80
2006-04-25 18:30:00,1145989800,2.01,2.01,2.01,2.01,1,0,30
2006-04-26 10:00:00,1146045600,2.01,2.01,2.01,2.01,5,0,129
2006-04-26 11:30:00,1146051000,2.04,2.04,2.01,2.01,4,0,95
2006-04-26 13:30:00,1146058200,2.0,2.0,2.0,2.0,1,0,20
2006-04-26 16:30:00,1146069000,2.03,2.05,2.03,2.05,2,0,60
2006-04-27 15:00:00,1146150000,2.02,2.02,2.01,2.01,3,0,114
2006-04-27 15:30:00,1146151800,2.02,2.02,2.02,2.02,1,0,1
2006-04-27 16:00:00,1146153600,2.01,2.01,2.0,2.0,4,0,138
2006-04-27 17:30:00,1146159000,2.02,2.02,2.02,2.02,8,0,560
2006-04-28 10:00:00,1146218400,1.94,1.94,1.83,1.83,3,0,100
2006-04-28 10:30:00,1146220200,1.8399999999999999,1.8399999999999999,1.83,1.8399999999999999,5,0,142
2006-04-28 11:00:00,1146222000,1.83,1.8399999999999999,1.81,1.81,8,0,113
2006-04-28 12:00:00,1146225600,1.8199999999999998,1.8199999999999998,1.8199999999999998,1.8199999999999998,2,0,77
2006-04-28 13:00:00,1146229200,1.85,1.8599999999999999,1.85,1.8599999999999999,2,0,50
2006-04-28 14:00:00,1146232800,1.83,1.83,1.8199999999999998,1.8199999999999998,2,0,35
2006-04-28 15:00:00,1146236400,1.8599999999999999,1.8599999999999999,1.8599999999999999,1.8599999999999999,3,0,19
2006-04-28 15:30:00,1146238200,1.8199999999999998,1.8199999999999998,1.8199999999999998,1.8199999999999998,3,0,17
2006-04-28 16:00:00,1146240000,1.81,1.81,1.81,1.81,2,0,39
2006-04-28 16:30:00,1146241800,1.83,1.83,1.81,1.8199999999999998,9,0,352
2006-05-03 10:00:00,1146650400,1.79,1.79,1.79,1.79,9,0,254
2006-05-03 11:30:00,1146655800,1.78,1.78,1.78,1.78,1,0,45
2006-05-03 12:30:00,1146659400,1.8,1.8,1.79,1.79,2,0,70
2006-05-03 13:00:00,1146661200,1.83,1.83,1.79,1.79,3,0,34
2006-05-03 13:30:00,1146663000,1.8,1.8,1.79,1.79,2,0,26
2006-05-03 14:00:00,1146664800,1.8,1.8,1.77,1.77,3,0,15
2006-05-03 15:00:00,1146668400,1.81,1.81,1.81,1.81,1,0,19
2006-05-04 11:00:00,1146740400,1.78,1.78,1.77,1.77,2,0,61
2006-05-04 12:00:00,1146744000,1.8199999999999998,1.8199999999999998,1.81,1.81,5,0,87
2006-05-04 12:30:00,1146745800,1.8199999999999998,1.8199999999999998,1.8199999999999998,1.8199999999999998,1,0,21
2006-05-04 14:00:00,1146751200,1.78,1.78,1.76,1.76,7,0,96
2006-05-04 16:00:00,1146758400,1.77,1.77,1.77,1.77,3,0,179
2006-05-04 16:30:00,1146760200,1.76,1.76,1.75,1.75,5,0,72
2006-05-04 18:00:00,1146765600,1.78,1.78,1.78,1.78,1,0,60
2006-05-05 10:00:00,1146823200,1.75,1.75,1.75,1.75,4,0,75
2006-05-05 10:30:00,1146825000,1.74,1.78,1.65,1.78,9,0,284
2006-05-05 11:00:00,1146826800,1.77,1.77,1.77,1.77,2,0,70
2006-05-05 11:30:00,1146828600,1.75,1.77,1.75,1.77,10,0,228
2006-05-05 12:30:00,1146832200,1.78,1.8,1.76,1.76,7,0,87
2006-05-05 14:00:00,1146837600,1.75,1.76,1.75,1.75,5,0,189
