datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-20,1145491200,73.5,73.5,73.5,73.5,2,0,35
2006-05-03,1146614400,76.4,76.4,76.4,76.4,2,0,10
2006-05-11,1147305600,77.36,77.37,77.36,77.37,4,0,51
2006-05-22,1148256000,73.5,77.36,73.5,77.36,2,0,4
2006-05-30,1148947200,77.36,77.36,77.36,77.36,1,0,10
2006-06-06,1149552000,77.36,77.36,77.36,77.36,4,0,22
2006-06-21,1150848000,77.36,77.36,77.36,77.36,1,0,2
2006-06-22,1150934400,77.35,77.35,77.35,77.35,1,0,8
2006-06-30,1151625600,68.68,68.68,68.68,68.68,2,0,7
2006-07-03,1151884800,72.53,72.53,72.53,72.53,3,0,8
2006-07-04,1151971200,73.51,73.51,73.51,73.51,4,0,24
2006-07-06,1152144000,77.36,77.36,77.36,77.36,2,0,10
2006-07-19,1153267200,67.82,67.82,67.82,67.82,2,0,10
2006-08-16,1155686400,67.82,67.82,67.82,67.82,1,0,1
2006-08-21,1156118400,64.79,67.7,64.79,67.7,3,0,79
2006-08-22,1156204800,62.97,62.97,62.97,62.97,1,0,10
2006-08-25,1156464000,62.86,62.86,62.86,62.86,2,0,15
2006-08-31,1156982400,64.51,64.51,64.51,64.51,2,0,15
2006-09-21,1158796800,58.02,58.02,58.02,58.02,1,0,40
2006-09-22,1158883200,57.59,57.59,57.59,57.59,1,0,1
2006-10-02,1159747200,57.59,57.59,57.59,57.59,1,0,1
2006-10-25,1161734400,65.77,65.77,65.77,65.77,1,0,1
2006-11-01,1162339200,71.56,71.56,71.56,71.56,2,0,20
2006-11-07,1162857600,70.59,70.59,70.59,70.59,2,0,13
2006-11-16,1163635200,65.33,65.33,65.33,65.33,2,0,2
2006-11-21,1164067200,77.36,77.36,77.36,77.36,2,0,45
2006-11-23,1164240000,62.86,62.86,62.86,62.86,3,0,10
2006-11-29,1164758400,67.7,67.7,67.7,67.7,3,0,45
2006-12-11,1165795200,64.79,64.79,64.79,64.79,2,0,6
2006-12-15,1166140800,71.56,71.56,71.56,71.56,1,0,15
2006-12-28,1167264000,75.51,75.51,75.51,75.51,2,0,75
2007-01-02,1167696000,78.8,78.8,78.8,78.8,1,0,40
2007-01-08,1168214400,70.93,70.93,70.93,70.93,2,0,25
2007-01-12,1168560000,72.9,72.9,72.9,72.9,1,0,5
2007-02-01,1170288000,78.81,78.81,78.81,78.81,1,0,10
2007-02-02,1170374400,80.78,80.78,80.78,80.78,1,0,3
2007-02-05,1170633600,84.74,84.74,84.74,84.74,2,0,5
2007-02-07,1170806400,70.05,87.68,70.05,78.81,6,0,151
2007-02-08,1170892800,78.81,84.33,78.81,84.33,4,0,78
2007-02-09,1170979200,83.74,83.74,83.74,83.74,1,0,50
2007-02-13,1171324800,88.66,88.66,88.66,88.66,1,0,7
2007-02-16,1171584000,88.72,88.72,88.72,88.72,2,0,30
2007-02-28,1172620800,84.72,84.72,84.72,84.72,1,0,43
2007-03-01,1172707200,84.92,84.92,84.92,84.92,1,0,43
2007-03-02,1172793600,83.74,83.74,83.74,83.74,1,0,7
2007-03-07,1173225600,85.21,85.21,85.21,85.21,1,0,16
2007-03-12,1173657600,88.66,88.66,88.66,88.66,1,0,5
2007-03-13,1173744000,88.66,88.66,88.66,88.66,2,0,25
2007-03-23,1174608000,89.15,89.15,89.15,89.15,2,0,50
2007-03-30,1175212800,96.53,96.53,96.53,96.53,1,0,4
2007-04-09,1176076800,86.25,86.25,86.25,86.25,2,0,5
2007-05-02,1178064000,93.69,93.69,93.69,93.69,2,0,35
2007-05-03,1178150400,98.51,98.51,98.51,98.51,1,0,10
2007-05-16,1179273600,98.52,98.58,98.52,98.58,3,0,78
2007-05-21,1179705600,100.48,100.48,100.48,100.48,1,0,5
2007-06-12,1181606400,104.62,104.62,104.42,104.42,2,0,12
2007-06-13,1181692800,104.62,104.62,104.62,104.62,2,0,55
2007-07-03,1183420800,104.44,104.44,104.44,104.44,2,0,65
2007-07-04,1183507200,104.42,104.42,104.42,104.42,1,0,1
2007-07-19,1184803200,108.36,108.36,108.36,108.36,1,0,7
2007-08-10,1186704000,104.75,104.75,104.75,104.75,2,0,9
2007-08-13,1186963200,104.75,104.75,104.75,104.75,2,0,10
2007-08-16,1187222400,106.02,106.02,103.59,103.59,2,0,2
2007-08-30,1188432000,104.0,104.0,104.0,104.0,1,0,15
2007-09-10,1189382400,117.0,117.0,117.0,117.0,1,0,1
