datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-08-21 11:00:00,1156158000,29.36,29.36,29.36,29.36,1,0,200
2006-12-28 13:15:00,1167311700,33.31,33.31,33.31,33.31,2,0,300
2007-01-15 15:30:00,1168875000,35.74,35.74,35.74,35.74,1,0,100
2007-02-08 12:00:00,1170936000,38.32,38.32,38.32,38.32,2,0,200
2007-02-08 12:15:00,1170936900,38.31,38.31,38.31,38.31,1,0,100
2007-02-27 17:30:00,1172597400,38.42,38.42,38.42,38.42,1,0,100
2007-02-27 18:00:00,1172599200,38.31,38.31,38.31,38.31,1,0,100
2007-03-07 14:00:00,1173276000,38.84,38.84,38.84,38.84,1,0,100
2007-03-07 16:15:00,1173284100,40.2,40.2,40.2,40.2,1,0,100
2007-03-12 16:00:00,1173715200,40.2,40.2,40.2,40.2,1,0,100
2007-05-02 13:15:00,1178111700,43.43,43.43,43.43,43.43,2,0,200
2007-05-17 11:30:00,1179401400,47.81,47.81,47.81,47.81,1,0,200
2007-06-11 13:30:00,1181568600,47.35,47.35,47.35,47.35,3,0,300
2007-06-13 11:00:00,1181732400,47.35,47.35,47.35,47.35,1,0,500
2007-06-13 11:15:00,1181733300,47.35,47.35,47.35,47.35,2,0,500
2007-09-13 11:00:00,1189681200,49.86,49.86,49.86,49.86,5,0,2500
2007-09-19 16:30:00,1190219400,49.86,49.86,49.86,49.86,1,0,100
2007-09-20 11:15:00,1190286900,54.67,54.67,54.67,54.67,1,0,100
2007-09-26 11:30:00,1190806200,54.67,54.67,54.67,54.67,1,0,100
2007-10-05 17:00:00,1191603600,59.42,59.42,59.42,59.42,1,0,100
2007-11-16 13:45:00,1195220700,59.41,59.41,59.41,59.41,1,0,100
2007-12-11 18:00:00,1197396000,41.14,41.14,41.14,41.14,2,0,400
2008-01-09 11:30:00,1199878200,41.59,41.59,41.59,41.59,1,0,100
2008-01-21 14:30:00,1200925800,34.67,34.67,34.67,34.67,1,0,100
2008-01-24 15:00:00,1201186800,34.67,34.67,34.67,34.67,1,0,100
2008-02-20 17:15:00,1203527700,43.91,43.91,43.91,43.91,1,0,100
2008-03-24 11:15:00,1206357300,43.91,43.91,43.91,43.91,1,0,100
2008-04-15 12:15:00,1208261700,44.37,44.37,44.37,44.37,1,0,100
2008-05-14 17:00:00,1210784400,39.75,39.75,39.75,39.75,2,0,300
2008-05-20 11:15:00,1211282100,41.14,41.14,41.14,41.14,1,0,100
2008-05-21 15:45:00,1211384700,41.19,41.19,41.19,41.19,1,0,100
2008-05-23 12:00:00,1211544000,42.99,42.99,42.99,42.99,1,0,100
2008-05-27 10:30:00,1211884200,43.01,43.01,43.01,43.01,1,0,100
