datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-01-29 11:00:00,1611918000,32.5,32.99,31.9,32.13,2177,0,52394
2021-01-29 11:15:00,1611918900,32.19,32.3,30.23,31.8,509,1,9664
2021-01-29 11:30:00,1611919800,32.14,32.14,31.19,31.33,244,1,4232
2021-01-29 11:45:00,1611920700,31.33,32.29,31.29,31.71,169,1,3142
2021-01-29 12:00:00,1611921600,31.55,31.85,31.33,31.85,140,1,2516
2021-01-29 12:15:00,1611922500,31.85,32.0,31.4,31.42,122,1,2271
2021-01-29 12:30:00,1611923400,31.4,31.66,31.1,31.14,153,1,2199
2021-01-29 12:45:00,1611924300,31.11,31.6,31.03,31.11,96,1,1455
2021-01-29 13:00:00,1611925200,31.12,31.43,30.81,31.02,147,1,2387
2021-01-29 13:15:00,1611926100,30.94,31.01,30.74,30.74,121,1,2250
2021-01-29 13:30:00,1611927000,30.85,30.98,30.51,30.6,123,1,1890
2021-01-29 13:45:00,1611927900,30.57,30.7,30.5,30.56,62,1,1065
2021-01-29 14:00:00,1611928800,30.66,30.7,30.52,30.6,69,1,1385
2021-01-29 14:15:00,1611929700,30.59,31.02,30.35,30.47,145,1,2147
2021-01-29 14:30:00,1611930600,30.36,31.0,30.26,30.26,112,1,2016
2021-01-29 14:45:00,1611931500,30.25,30.49,30.15,30.26,101,1,1593
2021-01-29 15:00:00,1611932400,30.29,30.64,30.05,30.08,95,1,1627
2021-01-29 15:15:00,1611933300,30.2,30.44,30.05,30.16,54,1,883
2021-01-29 15:30:00,1611934200,30.17,30.3,30.1,30.26,54,1,751
2021-01-29 15:45:00,1611935100,30.23,30.24,30.11,30.2,67,1,913
2021-01-29 16:00:00,1611936000,30.21,30.34,30.12,30.28,56,3,860
2021-01-29 16:15:00,1611936900,30.3,30.9,30.3,30.63,76,1,1402
2021-01-29 16:30:00,1611937800,30.7,31.19,30.47,31.02,63,1,828
2021-01-29 16:45:00,1611938700,31.0,31.5,30.87,31.5,56,1,999
2021-01-29 17:00:00,1611939600,31.6,32.3,31.6,32.28,56,1,829
2021-01-29 17:15:00,1611940500,32.18,32.24,31.43,31.65,50,3,840
2021-01-29 17:30:00,1611941400,31.65,32.22,31.5,32.1,32,4,468
2021-01-29 17:45:00,1611942300,32.23,32.47,32.03,32.45,35,1,542
2021-01-29 18:00:00,1611943200,32.03,32.03,32.03,32.03,15,0,300
2021-02-01 10:00:00,1612173600,32.51,32.9,32.0,32.54,114,0,1540
2021-02-01 10:15:00,1612174500,32.53,32.7,31.61,32.45,138,1,2278
2021-02-01 10:30:00,1612175400,32.4,32.53,32.12,32.5,77,1,1296
2021-02-01 10:45:00,1612176300,32.5,32.9,32.42,32.85,72,1,1356
2021-02-01 11:00:00,1612177200,32.9,34.31,32.9,33.9,130,2,2036
2021-02-01 11:15:00,1612178100,33.79,33.9,33.44,33.45,76,3,1216
2021-02-01 11:30:00,1612179000,33.53,33.6,33.06,33.22,54,3,813
2021-02-01 11:45:00,1612179900,33.23,33.34,32.79,32.9,48,1,476
2021-02-01 12:00:00,1612180800,32.71,33.0,32.59,32.91,43,3,780
2021-02-01 12:15:00,1612181700,32.91,33.21,32.9,33.18,38,2,517
2021-02-01 12:30:00,1612182600,33.18,33.18,32.62,32.97,40,1,743
2021-02-01 12:45:00,1612183500,32.94,33.25,32.85,33.16,25,4,480
2021-02-01 13:00:00,1612184400,32.98,33.23,32.9,33.22,24,1,428
2021-02-01 13:15:00,1612185300,33.22,33.22,32.83,32.95,34,4,432
2021-02-01 13:30:00,1612186200,32.94,33.25,32.9,32.9,35,3,569
2021-02-01 13:45:00,1612187100,32.98,32.98,32.71,32.71,41,1,610
2021-02-01 14:00:00,1612188000,32.7,32.86,32.56,32.78,31,2,585
2021-02-01 14:15:00,1612188900,32.62,32.82,32.45,32.45,58,1,922
2021-02-01 14:30:00,1612189800,32.6,32.75,32.5,32.68,13,6,293
2021-02-01 14:45:00,1612190700,32.68,32.68,32.42,32.56,19,6,404
2021-02-01 15:00:00,1612191600,32.49,32.62,32.49,32.51,12,8,135
2021-02-01 15:15:00,1612192500,32.43,32.7,32.36,32.36,28,3,471
2021-02-01 15:30:00,1612193400,32.4,32.8,32.2,32.55,37,1,565
2021-02-01 15:45:00,1612194300,32.6,33.13,32.6,33.07,29,1,660
2021-02-01 16:00:00,1612195200,33.07,33.16,32.31,33.03,26,3,417
2021-02-01 16:15:00,1612196100,33.03,33.16,33.0,33.16,27,9,485
2021-02-01 16:30:00,1612197000,33.14,33.18,32.85,33.16,15,4,165
2021-02-01 16:45:00,1612197900,33.07,33.09,32.86,32.93,24,3,361
2021-02-01 17:00:00,1612198800,32.93,33.0,32.81,32.9,25,1,427
2021-02-01 17:15:00,1612199700,32.96,33.0,32.85,33.0,27,2,376
2021-02-01 17:30:00,1612200600,32.96,33.2,32.91,32.98,26,1,444
2021-02-01 17:45:00,1612201500,32.98,33.39,32.96,32.96,24,1,344
2021-02-01 18:00:00,1612202400,33.38,33.38,33.38,33.38,8,2,115
2021-02-02 10:00:00,1612260000,33.44,34.0,33.44,34.0,63,5,1033
2021-02-02 10:15:00,1612260900,33.99,34.68,33.92,34.49,85,1,1845
2021-02-02 10:30:00,1612261800,34.49,34.68,34.25,34.59,56,2,1192
2021-02-02 10:45:00,1612262700,34.55,34.59,34.08,34.33,50,2,891
2021-02-02 11:00:00,1612263600,34.3,34.36,34.02,34.05,33,1,520
2021-02-02 11:15:00,1612264500,34.05,34.09,33.6,33.7,47,1,744
2021-02-02 11:30:00,1612265400,33.93,34.02,33.7,33.84,21,4,325
2021-02-02 11:45:00,1612266300,33.85,33.9,33.6,33.85,27,5,448
2021-02-02 12:00:00,1612267200,33.74,33.94,33.0,33.21,52,2,981
2021-02-02 12:15:00,1612268100,33.61,33.78,33.34,33.62,14,2,218
2021-02-02 12:30:00,1612269000,33.63,33.91,33.54,33.75,15,6,212
2021-02-02 12:45:00,1612269900,33.69,33.86,33.5,33.83,30,4,497
2021-02-02 13:00:00,1612270800,33.6,33.89,33.6,33.84,11,10,166
2021-02-02 13:15:00,1612271700,33.84,33.88,33.72,33.72,11,6,231
2021-02-02 13:30:00,1612272600,33.83,33.94,33.56,33.78,20,9,353
2021-02-02 13:45:00,1612273500,33.74,33.88,33.6,33.82,11,5,134
2021-02-02 14:00:00,1612274400,33.75,33.84,33.58,33.7,17,1,265
