datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-01-29 11:00:00,1611918000,32.0,32.59,31.5,32.1,6262,0,4362200
2021-01-29 11:15:00,1611918900,32.05,32.1,30.22,31.3,3038,1,763700
2021-01-29 11:30:00,1611919800,31.29,31.44,31.1,31.3,1185,1,294300
2021-01-29 11:45:00,1611920700,31.29,31.99,31.29,31.58,838,1,179900
2021-01-29 12:00:00,1611921600,31.67,31.81,31.27,31.8,488,1,116500
2021-01-29 12:15:00,1611922500,31.92,32.0,31.32,31.38,402,1,95400
2021-01-29 12:30:00,1611923400,31.38,31.39,31.05,31.12,518,1,125600
2021-01-29 12:45:00,1611924300,31.13,31.44,31.0,31.04,539,1,98800
2021-01-29 13:00:00,1611925200,31.04,31.04,30.77,30.81,490,1,111700
2021-01-29 13:15:00,1611926100,30.81,31.01,30.69,30.72,433,1,105500
2021-01-29 13:30:00,1611927000,30.79,30.89,30.5,30.5,456,1,92800
2021-01-29 13:45:00,1611927900,30.51,30.65,30.47,30.53,407,1,92900
2021-01-29 14:00:00,1611928800,30.53,30.63,30.51,30.56,325,1,67700
2021-01-29 14:15:00,1611929700,30.56,30.61,30.3,30.34,538,1,136600
2021-01-29 14:30:00,1611930600,30.33,30.45,30.22,30.22,518,1,136800
2021-01-29 14:45:00,1611931500,30.21,30.3,30.11,30.22,678,1,145500
2021-01-29 15:00:00,1611932400,30.21,30.22,30.02,30.06,466,1,143400
2021-01-29 15:15:00,1611933300,30.22,30.25,30.04,30.2,448,1,143900
2021-01-29 15:30:00,1611934200,30.11,30.28,30.1,30.19,290,1,69000
2021-01-29 15:45:00,1611935100,30.19,30.26,30.1,30.1,314,1,66900
2021-01-29 16:00:00,1611936000,30.1,30.27,30.1,30.23,299,1,92900
2021-01-29 16:15:00,1611936900,30.23,31.0,30.21,30.63,478,1,125000
2021-01-29 16:30:00,1611937800,30.63,30.99,30.38,30.8,433,1,103400
2021-01-29 16:45:00,1611938700,30.92,31.62,30.81,31.49,462,1,91800
2021-01-29 17:00:00,1611939600,31.54,32.3,31.54,32.18,572,1,161100
2021-01-29 17:15:00,1611940500,32.14,32.15,31.21,31.65,440,1,75700
2021-01-29 17:30:00,1611941400,31.65,32.15,31.62,32.09,354,1,64400
2021-01-29 17:45:00,1611942300,32.15,32.5,32.08,32.5,286,1,86700
2021-01-29 18:00:00,1611943200,31.05,31.05,31.05,31.05,121,0,455800
2021-02-01 10:00:00,1612173600,32.0,32.5,31.89,32.5,186,0,49400
2021-02-01 10:15:00,1612174500,32.5,32.5,31.62,32.36,228,1,60500
2021-02-01 10:30:00,1612175400,32.27,32.5,32.08,32.45,124,1,31100
2021-02-01 10:45:00,1612176300,32.46,32.88,32.4,32.88,220,1,78300
2021-02-01 11:00:00,1612177200,32.88,33.81,32.88,33.52,310,1,77500
2021-02-01 11:15:00,1612178100,33.53,33.8,33.34,33.48,194,1,49800
2021-02-01 11:30:00,1612179000,33.48,33.49,33.01,33.14,157,1,36400
2021-02-01 11:45:00,1612179900,33.13,33.3,32.5,32.52,155,2,35900
2021-02-01 12:00:00,1612180800,32.52,32.9,32.52,32.86,75,1,16600
2021-02-01 12:15:00,1612181700,32.86,33.18,32.86,32.91,91,1,22400
2021-02-01 12:30:00,1612182600,32.91,32.99,32.6,32.9,83,1,13900
2021-02-01 12:45:00,1612183500,32.88,33.0,32.82,32.87,76,1,47400
2021-02-01 13:00:00,1612184400,32.86,32.9,32.81,32.9,61,1,9800
2021-02-01 13:15:00,1612185300,32.9,32.9,32.88,32.9,63,1,15900
2021-02-01 13:30:00,1612186200,32.88,32.96,32.88,32.9,98,1,28200
2021-02-01 13:45:00,1612187100,32.89,32.9,32.7,32.7,86,1,15900
2021-02-01 14:00:00,1612188000,32.6,32.69,32.53,32.6,87,1,25000
