datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-10-22 10:15:00,1634897700,21.32,21.32,21.32,21.32,173,0,96300
2021-10-22 10:30:00,1634898600,21.32,21.32,21.01,21.08,784,0,1054500
2021-10-22 10:45:00,1634899500,21.08,21.16,20.57,21.0,1529,1,1324000
2021-10-22 11:00:00,1634900400,20.99,21.09,20.9,20.9,1218,1,941100
2021-10-22 11:15:00,1634901300,20.9,20.95,20.81,20.86,1666,1,780000
2021-10-22 11:30:00,1634902200,20.87,20.87,20.19,20.24,2102,1,1644300
2021-10-22 11:45:00,1634903100,20.3,20.96,20.3,20.51,1712,0,1334600
2021-10-22 12:00:00,1634904000,20.51,20.71,20.5,20.5,1590,1,2845700
2021-10-22 12:15:00,1634904900,20.5,20.59,20.25,20.31,2992,1,2209600
2021-10-22 12:30:00,1634905800,20.31,20.44,20.25,20.33,2597,1,656600
2021-10-22 12:45:00,1634906700,20.32,20.6,20.28,20.51,3915,1,1736600
2021-10-22 13:00:00,1634907600,20.49,20.63,20.37,20.46,2041,1,596700
2021-10-22 13:15:00,1634908500,20.46,20.54,20.3,20.49,2570,1,563000
2021-10-22 13:30:00,1634909400,20.49,20.96,20.43,20.82,2266,1,603500
2021-10-22 13:45:00,1634910300,20.82,20.88,20.51,20.55,2355,1,602800
2021-10-22 14:00:00,1634911200,20.53,20.96,20.5,20.72,2155,1,787100
2021-10-22 14:15:00,1634912100,20.72,21.28,20.63,21.05,2497,1,733900
2021-10-22 14:30:00,1634913000,21.05,21.61,21.02,21.04,2498,1,1002800
2021-10-22 14:45:00,1634913900,21.04,21.5,20.92,21.1,2512,1,915300
2021-10-22 15:00:00,1634914800,21.07,21.55,20.85,21.12,2230,1,819900
2021-10-22 15:15:00,1634915700,21.08,21.32,21.05,21.16,3734,1,839900
2021-10-22 15:30:00,1634916600,21.16,22.08,21.05,22.05,3435,1,980200
2021-10-22 15:45:00,1634917500,22.05,22.31,21.72,21.72,463,0,266100
2021-10-22 16:00:00,1634918400,21.79,22.18,21.79,22.18,181,0,94200
2021-10-22 16:15:00,1634919300,22.11,22.11,21.33,21.59,2935,0,1205900
2021-10-22 16:30:00,1634920200,21.57,21.59,21.05,21.33,3145,1,1376900
2021-10-22 16:45:00,1634921100,21.33,21.57,21.3,21.41,1447,1,639000
2021-10-22 17:00:00,1634922000,21.51,21.51,21.51,21.51,144,0,1219700
2021-10-22 17:30:00,1634923800,21.55,21.77,21.3,21.3,27,1,13600
2021-10-22 17:45:00,1634924700,21.31,21.55,21.3,21.35,95,1,14700
2021-10-25 10:00:00,1635156000,22.1,22.3,21.77,21.94,657,0,267200
2021-10-25 10:15:00,1635156900,21.93,22.0,21.77,21.9,1652,1,818000
2021-10-25 10:30:00,1635157800,21.89,22.15,21.84,22.0,1511,1,805900
2021-10-25 10:45:00,1635158700,22.01,22.1,21.9,22.08,975,1,186900
2021-10-25 11:00:00,1635159600,22.08,22.41,22.06,22.15,1331,1,427400
2021-10-25 11:15:00,1635160500,22.15,22.37,22.15,22.26,1047,1,356400
2021-10-25 11:30:00,1635161400,22.26,22.27,22.06,22.08,868,1,247800
2021-10-25 11:45:00,1635162300,22.11,22.25,22.06,22.25,1087,1,392700
2021-10-25 12:00:00,1635163200,22.25,22.5,22.09,22.29,1304,1,516800
2021-10-25 12:15:00,1635164100,22.27,22.28,22.22,22.23,962,1,305500
2021-10-25 12:30:00,1635165000,22.23,22.23,22.0,22.0,1004,1,373600
2021-10-25 12:45:00,1635165900,22.01,22.1,21.93,22.03,743,1,200000
2021-10-25 13:00:00,1635166800,22.04,22.18,22.03,22.08,789,1,308000
2021-10-25 13:15:00,1635167700,22.08,22.22,22.06,22.09,751,1,295800
2021-10-25 13:30:00,1635168600,22.07,22.3,22.06,22.2,858,1,318000
2021-10-25 13:45:00,1635169500,22.21,22.37,22.17,22.24,692,1,326300
2021-10-25 14:00:00,1635170400,22.25,22.49,22.22,22.4,730,1,320400
2021-10-25 14:15:00,1635171300,22.41,22.51,22.37,22.45,793,1,414300
2021-10-25 14:30:00,1635172200,22.44,22.55,22.41,22.43,751,1,318900
2021-10-25 14:45:00,1635173100,22.44,22.51,22.32,22.37,930,1,297500
2021-10-25 15:00:00,1635174000,22.38,22.47,22.28,22.46,872,1,647100
2021-10-25 15:15:00,1635174900,22.44,22.56,22.44,22.54,1275,1,845900
2021-10-25 15:30:00,1635175800,22.53,22.56,22.43,22.55,1242,1,731300
2021-10-25 15:45:00,1635176700,22.54,22.66,22.54,22.58,1251,1,500100
2021-10-25 16:00:00,1635177600,22.58,22.63,22.5,22.5,1034,1,323900
2021-10-25 16:15:00,1635178500,22.5,22.56,22.41,22.41,1097,1,379400
2021-10-25 16:30:00,1635179400,22.42,22.49,22.32,22.45,1513,1,688700
2021-10-25 16:45:00,1635180300,22.45,22.79,22.37,22.79,1043,1,551200
2021-10-25 17:00:00,1635181200,22.62,22.62,22.62,22.62,173,0,1236700
2021-10-25 17:30:00,1635183000,22.62,22.65,22.48,22.51,44,2,39100
2021-10-25 17:45:00,1635183900,22.51,22.51,22.46,22.46,20,8,7100
2021-10-26 10:00:00,1635242400,22.33,22.48,21.88,21.96,1053,0,715700
2021-10-26 10:15:00,1635243300,21.95,22.1,21.91,22.04,1018,1,321500
2021-10-26 10:30:00,1635244200,22.02,22.04,21.8,21.82,1722,1,566600
2021-10-26 10:45:00,1635245100,21.81,21.84,21.6,21.66,1695,1,676800
2021-10-26 11:00:00,1635246000,21.67,21.82,21.61,21.68,1261,1,365600
2021-10-26 11:15:00,1635246900,21.69,21.69,21.5,21.51,1999,1,663700
2021-10-26 11:30:00,1635247800,21.53,21.84,21.5,21.61,2990,1,722900
2021-10-26 11:45:00,1635248700,21.61,21.65,21.5,21.52,2502,1,555600
2021-10-26 12:00:00,1635249600,21.52,21.68,21.5,21.6,2046,1,485100
