datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-08-16 10:00:00,1629108000,11.08,11.26,11.01,11.14,218,0,4754
2021-08-16 10:15:00,1629108900,11.09,11.28,11.07,11.19,213,1,3561
2021-08-16 10:30:00,1629109800,11.25,11.27,11.11,11.11,219,1,3453
2021-08-16 10:45:00,1629110700,11.11,11.19,11.0,11.0,302,1,4039
2021-08-16 11:00:00,1629111600,11.03,11.05,10.9,10.94,400,1,5397
2021-08-16 11:15:00,1629112500,10.92,10.99,10.79,10.83,391,1,5266
2021-08-16 11:30:00,1629113400,10.81,10.82,10.75,10.8,276,1,3666
2021-08-16 11:45:00,1629114300,10.8,10.81,10.65,10.71,363,1,6243
2021-08-16 12:00:00,1629115200,10.71,10.77,10.6,10.64,276,1,4263
2021-08-16 12:15:00,1629116100,10.65,10.72,10.55,10.57,394,1,6273
2021-08-16 12:30:00,1629117000,10.57,10.72,10.55,10.59,294,1,5236
2021-08-16 12:45:00,1629117900,10.59,10.6,10.51,10.56,331,1,4991
2021-08-16 13:00:00,1629118800,10.56,10.6,10.55,10.55,254,1,4710
2021-08-16 13:15:00,1629119700,10.56,10.6,10.51,10.53,317,1,4987
2021-08-16 13:30:00,1629120600,10.53,10.58,10.51,10.55,212,1,3077
2021-08-16 13:45:00,1629121500,10.55,10.7,10.54,10.69,236,1,3688
2021-08-16 14:00:00,1629122400,10.69,10.72,10.6,10.64,212,1,3349
2021-08-16 14:15:00,1629123300,10.63,10.75,10.62,10.75,203,1,3619
2021-08-16 14:30:00,1629124200,10.75,10.81,10.73,10.78,264,1,3279
2021-08-16 14:45:00,1629125100,10.8,10.8,10.72,10.77,214,1,3835
2021-08-16 15:00:00,1629126000,10.78,10.81,10.73,10.81,195,1,3582
2021-08-16 15:15:00,1629126900,10.79,10.81,10.63,10.7,283,1,5120
2021-08-16 15:30:00,1629127800,10.7,10.72,10.56,10.63,269,1,4568
2021-08-16 15:45:00,1629128700,10.6,10.67,10.6,10.65,183,1,3841
2021-08-16 16:00:00,1629129600,10.64,10.69,10.64,10.66,173,1,2757
2021-08-16 16:15:00,1629130500,10.67,10.73,10.65,10.68,179,1,2726
2021-08-16 16:30:00,1629131400,10.68,10.73,10.59,10.6,318,1,5349
2021-08-16 16:45:00,1629132300,10.62,10.75,10.59,10.67,162,1,2484
2021-08-16 17:00:00,1629133200,10.68,10.68,10.68,10.68,71,0,1495
2021-08-16 17:30:00,1629135000,10.68,10.68,10.6,10.68,110,1,2027
