datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-09-02 10:30:00,1630578600,9.8,11.2,9.77,11.2,78,0,1197
2021-09-02 10:45:00,1630579500,10.35,11.0,9.84,10.24,147,1,2339
2021-09-02 11:00:00,1630580400,10.15,10.42,10.15,10.17,82,1,1187
2021-09-02 11:15:00,1630581300,10.26,10.27,9.94,10.06,108,1,1725
2021-09-02 11:30:00,1630582200,10.09,10.23,10.08,10.22,72,1,938
2021-09-02 11:45:00,1630583100,10.25,10.32,10.1,10.12,51,1,653
2021-09-02 12:00:00,1630584000,10.16,10.3,10.16,10.25,53,1,812
2021-09-02 12:15:00,1630584900,10.25,10.36,10.24,10.36,34,1,494
2021-09-02 12:30:00,1630585800,10.37,10.64,10.37,10.55,143,1,2224
2021-09-02 12:45:00,1630586700,10.53,10.54,10.25,10.5,134,1,1731
2021-09-02 13:00:00,1630587600,10.49,10.52,10.46,10.51,90,1,1222
2021-09-02 13:15:00,1630588500,10.52,10.79,10.5,10.7,66,1,1184
2021-09-02 13:30:00,1630589400,10.71,10.83,10.56,10.75,58,1,1036
2021-09-02 13:45:00,1630590300,10.75,10.96,10.73,10.94,77,1,1239
2021-09-02 14:00:00,1630591200,10.91,11.08,10.89,11.0,93,1,1491
2021-09-02 14:15:00,1630592100,10.99,11.07,10.9,10.97,95,1,1441
2021-09-02 14:30:00,1630593000,10.96,10.97,10.45,10.46,122,1,2118
2021-09-02 14:45:00,1630593900,10.45,10.5,10.35,10.4,63,1,936
2021-09-02 15:00:00,1630594800,10.42,10.42,10.16,10.16,56,1,653
2021-09-02 15:15:00,1630595700,10.21,10.26,10.18,10.2,18,1,265
2021-09-02 15:30:00,1630596600,10.23,10.26,10.01,10.15,79,1,1461
2021-09-02 15:45:00,1630597500,10.15,10.16,9.86,9.95,84,1,1324
2021-09-02 16:00:00,1630598400,10.18,10.32,10.07,10.32,57,1,790
2021-09-02 16:15:00,1630599300,10.35,10.66,10.3,10.33,62,1,991
2021-09-02 16:30:00,1630600200,10.34,10.42,10.0,10.02,68,1,1153
2021-09-02 16:45:00,1630601100,9.98,10.32,9.98,10.28,19,2,344
2021-09-02 17:00:00,1630602000,10.16,10.16,10.16,10.16,10,0,124
2021-09-02 17:30:00,1630603800,10.15,10.15,10.01,10.04,15,2,274
2021-09-02 17:45:00,1630604700,10.03,10.28,10.0,10.28,10,1,92
2021-09-03 10:00:00,1630663200,10.28,11.02,10.28,10.44,93,0,1644
2021-09-03 10:15:00,1630664100,10.4,10.52,10.19,10.32,75,1,1238
2021-09-03 10:30:00,1630665000,10.32,10.44,10.3,10.38,49,1,912
2021-09-03 10:45:00,1630665900,10.37,10.6,10.25,10.25,77,1,1578
2021-09-03 11:00:00,1630666800,10.3,10.34,10.3,10.34,28,1,405
2021-09-03 11:15:00,1630667700,10.46,10.46,10.31,10.34,19,1,227
2021-09-03 11:30:00,1630668600,10.31,10.32,9.51,9.6,104,1,1832
2021-09-03 11:45:00,1630669500,9.51,9.83,9.39,9.83,30,1,632
2021-09-03 12:00:00,1630670400,9.91,9.91,9.83,9.86,14,4,284
2021-09-03 12:15:00,1630671300,9.85,9.91,9.79,9.81,18,1,400
2021-09-03 12:30:00,1630672200,9.93,9.93,9.77,9.77,29,1,469
2021-09-03 12:45:00,1630673100,9.81,9.9,9.73,9.85,9,4,323
2021-09-03 13:00:00,1630674000,9.85,9.9,9.8,9.81,9,0,119
2021-09-03 13:15:00,1630674900,9.89,9.91,9.89,9.89,4,0,34
2021-09-03 13:30:00,1630675800,9.89,9.91,9.85,9.9,11,0,219
2021-09-03 13:45:00,1630676700,9.91,9.92,9.81,9.81,10,0,222
2021-09-03 14:00:00,1630677600,9.86,9.86,9.63,9.7,40,0,589
2021-09-03 14:15:00,1630678500,9.7,9.96,9.7,9.75,25,0,385
2021-09-03 14:30:00,1630679400,9.75,9.76,9.71,9.73,22,0,327
2021-09-03 14:45:00,1630680300,9.73,9.75,9.71,9.73,14,0,191
2021-09-03 15:00:00,1630681200,9.73,9.73,9.71,9.73,7,0,39
2021-09-03 15:15:00,1630682100,9.75,9.8,9.65,9.67,18,0,216
2021-09-03 15:30:00,1630683000,9.68,9.75,9.68,9.72,9,0,116
2021-09-03 15:45:00,1630683900,9.79,9.81,9.76,9.76,7,1,135
2021-09-03 16:00:00,1630684800,9.8,9.89,9.79,9.89,8,0,153
2021-09-03 16:15:00,1630685700,9.91,9.91,9.66,9.71,27,0,492
2021-09-03 16:30:00,1630686600,9.69,9.86,9.66,9.84,26,0,389
2021-09-03 16:45:00,1630687500,9.71,9.71,9.7,9.7,3,8,36
2021-09-03 17:00:00,1630688400,9.6,9.6,9.6,9.6,5,0,90
2021-09-03 17:30:00,1630690200,9.6,9.64,9.5,9.64,22,0,293
2021-09-03 17:45:00,1630691100,9.64,9.65,9.64,9.65,8,0,114
2021-09-06 10:00:00,1630922400,9.65,10.14,9.65,9.87,15,0,399
2021-09-06 10:15:00,1630923300,9.99,10.1,9.94,9.94,18,2,327
2021-09-06 10:30:00,1630924200,10.01,10.07,9.92,9.92,15,1,172
2021-09-06 10:45:00,1630925100,9.9,9.98,9.77,9.77,11,6,184
2021-09-06 11:00:00,1630926000,9.76,9.84,9.76,9.81,9,5,57
2021-09-06 11:15:00,1630926900,9.76,9.76,9.61,9.64,23,3,302
2021-09-06 11:30:00,1630927800,9.65,9.65,9.6,9.61,9,10,157
2021-09-06 11:45:00,1630928700,9.63,9.75,9.63,9.64,11,10,159
2021-09-06 12:00:00,1630929600,9.75,9.75,9.74,9.74,6,9,48
2021-09-06 12:15:00,1630930500,9.75,9.75,9.64,9.64,6,7,65
2021-09-06 12:30:00,1630931400,9.65,9.65,9.65,9.65,2,3,2
2021-09-06 12:45:00,1630932300,9.66,9.66,9.66,9.66,2,3,24
2021-09-06 13:00:00,1630933200,9.7,9.76,9.7,9.73,5,2,55
2021-09-06 13:15:00,1630934100,9.7,9.79,9.67,9.79,3,2,30
2021-09-06 13:30:00,1630935000,9.79,9.96,9.77,9.77,8,1,128
2021-09-06 13:45:00,1630935900,9.77,9.84,9.69,9.84,7,2,111
2021-09-06 14:00:00,1630936800,9.72,9.83,9.68,9.68,7,1,125
2021-09-06 14:15:00,1630937700,9.71,9.82,9.71,9.82,2,11,35
2021-09-06 14:30:00,1630938600,9.71,9.83,9.71,9.83,3,6,20
2021-09-06 14:45:00,1630939500,9.81,9.83,9.81,9.81,4,6,39
2021-09-06 15:00:00,1630940400,9.82,9.85,9.82,9.85,4,4,30
2021-09-06 15:15:00,1630941300,9.81,9.81,9.81,9.81,4,2,49
2021-09-06 15:30:00,1630942200,9.81,9.81,9.8,9.8,3,2,25
2021-09-06 15:45:00,1630943100,9.84,9.84,9.83,9.83,3,3,22
2021-09-06 16:00:00,1630944000,9.83,9.83,9.81,9.83,6,1,34
2021-09-06 16:15:00,1630944900,9.82,9.83,9.82,9.83,2,8,11
2021-09-06 16:30:00,1630945800,9.89,9.9,9.81,9.83,5,2,115
2021-09-06 16:45:00,1630946700,9.94,9.95,9.8,9.92,10,1,233
2021-09-06 17:00:00,1630947600,9.92,9.92,9.92,9.92,3,8,23
2021-09-06 17:45:00,1630950300,9.92,9.92,9.85,9.85,2,3,6
2021-09-08 10:00:00,1631095200,9.85,9.92,9.81,9.84,16,1,108
2021-09-08 10:15:00,1631096100,9.82,9.84,9.72,9.78,19,1,275
2021-09-08 10:30:00,1631097000,9.73,9.75,9.73,9.75,6,7,235
2021-09-08 10:45:00,1631097900,9.84,9.9,9.8,9.9,12,1,263
2021-09-08 11:00:00,1631098800,9.9,10.1,9.9,9.98,19,1,455
2021-09-08 11:15:00,1631099700,9.85,9.85,9.64,9.71,19,1,265
2021-09-08 11:30:00,1631100600,9.73,9.82,9.6,9.6,9,1,256
2021-09-08 11:45:00,1631101500,9.61,9.61,9.51,9.53,10,1,149
2021-09-08 12:00:00,1631102400,9.54,9.54,9.52,9.52,3,1,55
2021-09-08 12:15:00,1631103300,9.53,9.53,9.51,9.53,7,1,37
2021-09-08 12:30:00,1631104200,9.53,9.56,9.51,9.56,9,1,96
2021-09-08 12:45:00,1631105100,9.55,9.61,9.55,9.6,5,1,15
2021-09-08 13:00:00,1631106000,9.6,9.87,9.6,9.78,13,1,153
2021-09-08 13:15:00,1631106900,9.78,9.79,9.77,9.77,5,6,66
