datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-09-02 10:15:00,1630577700,10.2,10.2,9.35,9.57,816,0,274300
2021-09-02 10:30:00,1630578600,9.57,10.57,9.57,10.3,520,1,135900
2021-09-02 10:45:00,1630579500,10.32,10.51,9.83,10.16,409,1,130000
2021-09-02 11:00:00,1630580400,10.19,10.37,10.1,10.13,185,1,43400
2021-09-02 11:15:00,1630581300,10.18,10.19,9.91,10.05,190,1,55300
2021-09-02 11:30:00,1630582200,10.09,10.24,10.07,10.24,103,1,28800
2021-09-02 11:45:00,1630583100,10.23,10.32,10.05,10.11,191,1,128100
2021-09-02 12:00:00,1630584000,10.16,10.25,10.1,10.22,71,1,14400
2021-09-02 12:15:00,1630584900,10.25,10.38,10.23,10.38,68,1,26300
2021-09-02 12:30:00,1630585800,10.37,10.65,10.35,10.52,201,1,103000
2021-09-02 12:45:00,1630586700,10.52,10.53,10.23,10.49,120,1,32400
2021-09-02 13:00:00,1630587600,10.49,10.52,10.4,10.51,78,1,24200
2021-09-02 13:15:00,1630588500,10.51,10.78,10.5,10.69,119,1,68500
2021-09-02 13:30:00,1630589400,10.7,10.75,10.55,10.73,109,1,25000
2021-09-02 13:45:00,1630590300,10.73,10.95,10.67,10.87,214,1,84300
2021-09-02 14:00:00,1630591200,10.92,11.1,10.89,10.99,232,1,79400
2021-09-02 14:15:00,1630592100,10.99,11.07,10.88,10.96,135,1,57500
2021-09-02 14:30:00,1630593000,10.96,10.96,10.42,10.45,225,1,94400
2021-09-02 14:45:00,1630593900,10.45,10.54,10.35,10.43,118,1,30000
2021-09-02 15:00:00,1630594800,10.43,10.43,10.16,10.16,136,1,34900
2021-09-02 15:15:00,1630595700,10.23,10.29,10.15,10.23,102,1,29400
2021-09-02 15:30:00,1630596600,10.23,10.23,10.0,10.15,145,1,53800
2021-09-02 15:45:00,1630597500,10.15,10.19,9.85,10.19,223,1,87800
2021-09-02 16:00:00,1630598400,10.19,10.35,9.96,10.35,380,1,124400
2021-09-02 16:15:00,1630599300,10.34,10.53,10.3,10.37,253,1,79500
2021-09-02 16:30:00,1630600200,10.38,10.46,9.92,9.95,229,1,96600
2021-09-02 16:45:00,1630601100,10.0,10.2,10.0,10.1,101,1,42600
2021-09-02 17:00:00,1630602000,10.05,10.05,10.05,10.05,57,0,46400
2021-09-02 17:30:00,1630603800,10.03,10.15,10.0,10.05,26,2,13300
2021-09-02 17:45:00,1630604700,10.05,10.25,10.04,10.19,23,1,21200
2021-09-03 10:00:00,1630663200,10.49,10.68,10.3,10.32,251,0,116800
2021-09-03 10:15:00,1630664100,10.32,10.44,10.2,10.32,157,1,38300
2021-09-03 10:30:00,1630665000,10.32,10.39,10.28,10.37,85,1,16400
2021-09-03 10:45:00,1630665900,10.37,10.61,10.2,10.22,195,1,73600
2021-09-03 11:00:00,1630666800,10.26,10.33,10.26,10.3,36,1,6000
2021-09-03 11:15:00,1630667700,10.33,10.37,10.3,10.31,47,1,11200
2021-09-03 11:30:00,1630668600,10.31,10.31,9.55,9.55,225,1,97900
2021-09-03 11:45:00,1630669500,9.54,9.9,9.53,9.85,118,1,46100
2021-09-03 12:00:00,1630670400,9.79,9.9,9.77,9.85,43,1,11700
2021-09-03 12:15:00,1630671300,9.85,9.86,9.8,9.82,43,1,7000
2021-09-03 12:30:00,1630672200,9.85,9.9,9.7,9.8,43,3,14800
2021-09-03 12:45:00,1630673100,9.72,9.85,9.72,9.78,19,3,2600
2021-09-03 13:00:00,1630674000,9.84,9.9,9.82,9.83,19,0,6200
2021-09-03 13:15:00,1630674900,9.82,9.9,9.82,9.88,6,0,1400
2021-09-03 13:30:00,1630675800,9.86,10.0,9.8,9.9,58,0,15300
2021-09-03 13:45:00,1630676700,9.91,9.95,9.76,9.86,62,0,17400
2021-09-03 14:00:00,1630677600,9.79,9.79,9.54,9.7,129,0,35400
2021-09-03 14:15:00,1630678500,9.7,9.97,9.65,9.75,37,0,11500
2021-09-03 14:30:00,1630679400,9.75,9.75,9.72,9.73,12,0,18400
2021-09-03 14:45:00,1630680300,9.73,9.75,9.73,9.74,6,0,700
2021-09-03 15:00:00,1630681200,9.75,9.75,9.7,9.73,25,0,29300
2021-09-03 15:15:00,1630682100,9.75,9.79,9.65,9.69,75,0,37000
2021-09-03 15:30:00,1630683000,9.69,9.75,9.67,9.72,40,0,12600
2021-09-03 15:45:00,1630683900,9.72,9.8,9.71,9.8,27,0,4400
2021-09-03 16:00:00,1630684800,9.8,9.92,9.79,9.86,41,0,23000
2021-09-03 16:15:00,1630685700,9.83,9.87,9.59,9.63,208,0,63800
2021-09-03 16:30:00,1630686600,9.63,9.81,9.62,9.8,49,0,30600
2021-09-03 16:45:00,1630687500,9.8,9.84,9.8,9.84,15,3,6100
2021-09-03 17:00:00,1630688400,9.64,9.64,9.64,9.64,21,3,16000
2021-09-03 17:30:00,1630690200,9.64,9.82,9.54,9.64,32,0,37500
2021-09-03 17:45:00,1630691100,9.64,9.65,9.64,9.65,6,0,4400
2021-09-06 10:00:00,1630922400,9.7,9.86,9.69,9.86,36,1,14200
2021-09-06 10:15:00,1630923300,9.89,10.15,9.86,9.92,104,1,26300
2021-09-06 10:30:00,1630924200,9.92,10.02,9.9,9.9,72,1,31400
2021-09-06 10:45:00,1630925100,9.89,9.92,9.69,9.76,46,2,11700
2021-09-06 11:00:00,1630926000,9.76,9.78,9.76,9.78,23,3,5900
2021-09-06 11:15:00,1630926900,9.76,9.81,9.6,9.66,54,1,13400
2021-09-06 11:30:00,1630927800,9.66,9.68,9.59,9.63,21,3,5000
2021-09-06 11:45:00,1630928700,9.63,9.78,9.63,9.65,41,2,12000
2021-09-06 12:00:00,1630929600,9.66,9.71,9.65,9.65,24,1,6300
2021-09-06 12:15:00,1630930500,9.65,9.71,9.65,9.65,20,2,5000
2021-09-06 12:30:00,1630931400,9.65,9.66,9.65,9.65,19,5,4400
