datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-10-10 10:30:00,1570703400,24.9,24.9,24.15,24.43,6204,0,119013
2019-10-10 11:00:00,1570705200,24.43,24.79,24.3,24.63,2383,1,38726
2019-10-10 11:30:00,1570707000,24.63,24.65,24.5,24.51,1255,1,18241
2019-10-10 12:00:00,1570708800,24.5,24.54,24.42,24.46,916,1,15026
2019-10-10 12:30:00,1570710600,24.48,24.48,24.4,24.42,763,1,12266
2019-10-10 13:00:00,1570712400,24.43,24.46,24.4,24.44,791,1,11832
2019-10-10 13:30:00,1570714200,24.44,24.48,24.32,24.42,730,1,12746
2019-10-10 14:00:00,1570716000,24.41,24.41,24.15,24.2,1225,1,21369
2019-10-10 14:30:00,1570717800,24.22,24.25,24.12,24.2,549,1,8621
2019-10-10 15:00:00,1570719600,24.2,24.23,24.13,24.13,593,1,7951
2019-10-10 15:30:00,1570721400,24.16,24.22,24.05,24.1,626,1,9334
2019-10-10 16:00:00,1570723200,24.1,24.25,24.06,24.15,1283,1,32613
2019-10-10 16:30:00,1570725000,24.15,24.19,24.1,24.16,371,1,6320
2019-10-10 17:00:00,1570726800,24.17,24.17,24.17,24.17,188,0,4574
2019-10-11 10:00:00,1570788000,24.39,24.39,23.91,23.96,1048,0,19431
2019-10-11 10:30:00,1570789800,23.98,24.03,23.88,23.91,614,1,10570
2019-10-11 11:00:00,1570791600,23.91,23.99,23.9,23.96,328,1,4105
2019-10-11 11:30:00,1570793400,23.98,24.05,23.97,24.02,213,1,2691
2019-10-11 12:00:00,1570795200,24.02,24.05,23.98,24.0,242,1,4002
2019-10-11 12:30:00,1570797000,24.0,24.01,23.91,23.93,261,1,4030
2019-10-11 13:00:00,1570798800,23.93,23.97,23.88,23.97,371,1,5587
2019-10-11 13:30:00,1570800600,23.96,24.0,23.88,24.0,194,1,2601
2019-10-11 14:00:00,1570802400,24.0,24.01,23.96,23.98,125,1,1972
2019-10-11 14:30:00,1570804200,23.98,23.98,23.94,23.96,151,1,2270
2019-10-11 15:00:00,1570806000,23.96,23.97,23.91,23.93,206,1,3040
2019-10-11 15:30:00,1570807800,23.93,23.94,23.83,23.83,400,1,6161
2019-10-11 16:00:00,1570809600,23.83,23.87,23.78,23.84,324,1,4811
2019-10-11 16:30:00,1570811400,23.83,23.83,23.74,23.81,267,1,4076
2019-10-11 17:00:00,1570813200,23.78,23.78,23.78,23.78,31,0,362
2019-10-14 10:00:00,1571047200,23.8,23.8,23.3,23.34,478,0,6136
2019-10-14 10:30:00,1571049000,23.35,23.39,23.19,23.27,370,1,6172
2019-10-14 11:00:00,1571050800,23.27,23.39,23.27,23.37,174,1,2256
2019-10-14 11:30:00,1571052600,23.38,23.38,23.3,23.33,163,1,2567
2019-10-14 12:00:00,1571054400,23.31,23.35,23.28,23.3,153,1,1945
2019-10-14 12:30:00,1571056200,23.3,23.31,23.23,23.25,195,1,2780
2019-10-14 13:00:00,1571058000,23.25,23.3,23.21,23.22,142,1,1753
2019-10-14 13:30:00,1571059800,23.22,23.24,23.2,23.2,137,1,1484
2019-10-14 14:00:00,1571061600,23.24,23.3,23.11,23.15,274,1,3550
2019-10-14 14:30:00,1571063400,23.16,23.35,23.1,23.35,114,1,1538
2019-10-14 15:00:00,1571065200,23.37,23.56,23.35,23.48,113,1,1811
2019-10-14 15:30:00,1571067000,23.5,23.7,23.48,23.7,78,1,1426
2019-10-14 16:00:00,1571068800,23.74,23.74,23.5,23.55,98,1,1821
2019-10-14 16:30:00,1571070600,23.55,23.58,23.41,23.44,79,1,1543
2019-10-14 17:00:00,1571072400,23.46,23.46,23.46,23.46,19,0,236
2019-10-15 10:00:00,1571133600,23.6,23.69,23.51,23.58,160,0,2156
2019-10-15 10:30:00,1571135400,23.61,23.65,23.5,23.5,207,1,3063
2019-10-15 11:00:00,1571137200,23.5,23.5,23.27,23.38,168,1,2273
2019-10-15 11:30:00,1571139000,23.37,23.39,23.36,23.39,82,1,1217
2019-10-15 12:00:00,1571140800,23.39,23.39,23.36,23.38,61,1,917
2019-10-15 12:30:00,1571142600,23.37,23.38,23.35,23.37,73,1,732
2019-10-15 13:00:00,1571144400,23.37,23.39,23.36,23.36,69,1,780
2019-10-15 13:30:00,1571146200,23.38,23.39,23.36,23.36,70,1,1032
2019-10-15 14:00:00,1571148000,23.37,23.38,23.35,23.37,69,1,898
2019-10-15 14:30:00,1571149800,23.36,23.39,23.36,23.37,57,1,986
2019-10-15 15:00:00,1571151600,23.36,23.37,23.27,23.27,185,1,2448
2019-10-15 15:30:00,1571153400,23.27,23.33,23.26,23.31,56,1,1003
2019-10-15 16:00:00,1571155200,23.32,23.35,23.3,23.32,51,1,655
2019-10-15 16:30:00,1571157000,23.33,23.38,23.31,23.36,58,0,932
2019-10-15 17:00:00,1571158800,23.4,23.4,23.4,23.4,6,1,48
2019-10-16 10:00:00,1571220000,23.55,23.6,23.4,23.4,121,0,1577
2019-10-16 10:30:00,1571221800,23.39,23.42,23.38,23.42,57,1,773
2019-10-16 11:00:00,1571223600,23.42,23.42,23.3,23.36,88,1,1345
2019-10-16 11:30:00,1571225400,23.38,23.54,23.36,23.52,73,1,1152
2019-10-16 12:00:00,1571227200,23.52,23.59,23.5,23.55,39,1,585
2019-10-16 12:30:00,1571229000,23.6,23.9,23.59,23.9,114,1,1937
2019-10-16 13:00:00,1571230800,23.9,23.92,23.7,23.7,89,1,1601
2019-10-16 13:30:00,1571232600,23.68,23.71,23.62,23.71,51,1,804
2019-10-16 14:00:00,1571234400,23.67,23.7,23.63,23.65,45,1,763
2019-10-16 14:30:00,1571236200,23.66,23.76,23.66,23.67,50,1,745
2019-10-16 15:00:00,1571238000,23.67,23.72,23.66,23.66,45,1,803
2019-10-16 15:30:00,1571239800,23.66,23.71,23.63,23.67,40,1,393
2019-10-16 16:00:00,1571241600,23.66,23.82,23.66,23.74,55,1,1356
2019-10-16 16:30:00,1571243400,23.72,23.84,23.67,23.81,76,1,2129
2019-10-16 17:00:00,1571245200,23.98,23.98,23.98,23.98,34,0,574
2019-10-17 10:00:00,1571306400,24.0,24.07,23.87,23.96,201,0,3141
2019-10-17 10:30:00,1571308200,23.98,24.07,23.95,24.05,103,1,1548
2019-10-17 11:00:00,1571310000,24.06,24.07,24.0,24.02,70,1,1045
2019-10-17 11:30:00,1571311800,24.02,24.03,23.98,23.98,64,1,1006
2019-10-17 12:00:00,1571313600,23.98,23.99,23.97,23.97,36,1,541
2019-10-17 12:30:00,1571315400,23.98,24.0,23.97,23.97,38,1,319
2019-10-17 13:00:00,1571317200,23.99,24.03,23.96,23.96,54,1,847
2019-10-17 13:30:00,1571319000,23.98,24.01,23.96,23.98,47,1,587
2019-10-17 14:00:00,1571320800,23.99,24.0,23.98,24.0,26,1,457
2019-10-17 14:30:00,1571322600,23.99,24.14,23.97,24.1,132,1,2336
2019-10-17 15:00:00,1571324400,24.12,24.19,24.05,24.06,65,1,1348
2019-10-17 15:30:00,1571326200,24.05,24.05,23.95,24.05,81,1,1366
2019-10-17 16:00:00,1571328000,24.05,24.08,23.97,23.97,53,1,1036
2019-10-17 16:30:00,1571329800,24.0,24.13,23.98,24.08,43,1,662
2019-10-17 17:00:00,1571331600,24.08,24.08,24.08,24.08,8,0,115
