datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-10-10 10:30:00,1570703400,24.8,24.84,24.3,24.4,3664,0,4324100
2019-10-10 10:45:00,1570704300,24.41,24.71,24.15,24.45,3608,1,2983100
2019-10-10 11:00:00,1570705200,24.44,24.79,24.25,24.64,2600,1,1882800
2019-10-10 11:15:00,1570706100,24.65,24.73,24.52,24.61,1367,1,807300
2019-10-10 11:30:00,1570707000,24.61,24.65,24.55,24.55,868,1,328000
2019-10-10 11:45:00,1570707900,24.55,24.59,24.48,24.51,852,1,347200
2019-10-10 12:00:00,1570708800,24.5,24.52,24.38,24.47,1008,1,430200
2019-10-10 12:15:00,1570709700,24.46,24.5,24.45,24.47,556,1,156400
2019-10-10 12:30:00,1570710600,24.46,24.47,24.4,24.43,619,1,149800
2019-10-10 12:45:00,1570711500,24.42,24.47,24.4,24.45,576,1,123000
2019-10-10 13:00:00,1570712400,24.45,24.47,24.4,24.41,1103,1,170800
2019-10-10 13:15:00,1570713300,24.4,24.43,24.4,24.43,664,1,190000
2019-10-10 13:30:00,1570714200,24.42,24.44,24.3,24.41,1172,1,564600
2019-10-10 13:45:00,1570715100,24.4,24.48,24.4,24.41,1096,1,269700
2019-10-10 14:00:00,1570716000,24.42,24.42,24.22,24.32,1397,1,368300
2019-10-10 14:15:00,1570716900,24.32,24.33,24.11,24.22,1516,1,726700
2019-10-10 14:30:00,1570717800,24.21,24.25,24.11,24.25,1355,1,440800
2019-10-10 14:45:00,1570718700,24.25,24.25,24.18,24.2,959,1,274700
2019-10-10 15:00:00,1570719600,24.2,24.24,24.15,24.21,1184,1,399800
2019-10-10 15:15:00,1570720500,24.21,24.21,24.12,24.15,1187,1,249900
2019-10-10 15:30:00,1570721400,24.15,24.23,24.11,24.14,1324,1,448000
2019-10-10 15:45:00,1570722300,24.14,24.14,24.02,24.1,1811,1,649300
2019-10-10 16:00:00,1570723200,24.1,24.24,24.07,24.22,954,1,462300
2019-10-10 16:15:00,1570724100,24.23,24.24,24.07,24.1,706,1,195800
2019-10-10 16:30:00,1570725000,24.11,24.19,24.1,24.17,784,1,263600
2019-10-10 16:45:00,1570725900,24.16,24.2,24.13,24.19,665,1,206500
2019-10-10 17:00:00,1570726800,24.11,24.11,24.11,24.11,733,0,958300
2019-10-11 10:00:00,1570788000,24.3,24.37,24.11,24.12,487,0,249100
2019-10-11 10:15:00,1570788900,24.13,24.24,23.86,23.98,691,1,690500
2019-10-11 10:30:00,1570789800,23.98,24.05,23.9,23.98,561,1,1021300
2019-10-11 10:45:00,1570790700,23.99,23.99,23.85,23.9,515,1,407300
