datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-05-22 10:00:00,1148292000,15.8,15.8,15.8,15.8,2,0,28
2006-05-22 10:15:00,1148292900,15.62,15.71,15.61,15.71,8,0,360
2006-05-22 10:30:00,1148293800,15.62,15.71,15.21,15.71,13,0,410
2006-05-22 10:45:00,1148294700,14.94,15.21,14.94,15.21,3,0,216
2006-05-22 11:00:00,1148295600,15.31,15.31,15.16,15.16,2,0,144
2006-05-22 11:15:00,1148296500,15.21,15.21,15.21,15.21,1,0,28
2006-05-22 11:30:00,1148297400,14.95,14.95,14.93,14.93,3,0,82
2006-05-22 12:00:00,1148299200,14.91,14.91,14.91,14.91,2,0,34
2006-05-22 12:15:00,1148300100,14.72,14.72,14.72,14.72,2,0,144
2006-05-22 12:30:00,1148301000,14.71,14.71,14.71,14.71,8,0,216
2006-05-22 12:45:00,1148301900,14.61,14.85,14.61,14.71,5,0,194
2006-05-22 13:00:00,1148302800,14.7,14.7,14.42,14.42,5,0,186
2006-05-22 13:15:00,1148303700,14.72,14.72,14.72,14.72,2,0,144
2006-05-22 13:30:00,1148304600,14.79,14.79,14.79,14.79,3,0,76
2006-05-22 13:45:00,1148305500,14.86,14.91,14.86,14.91,3,0,100
2006-05-22 14:00:00,1148306400,14.79,14.79,14.79,14.79,1,0,8
2006-05-22 14:15:00,1148307300,14.76,14.76,14.76,14.76,1,0,64
2006-05-22 14:30:00,1148308200,14.72,14.86,14.72,14.86,2,0,144
2006-05-22 14:45:00,1148309100,14.91,14.96,14.91,14.96,4,0,151
2006-05-22 15:00:00,1148310000,14.77,14.77,14.77,14.77,3,0,216
2006-05-22 15:15:00,1148310900,14.91,14.91,14.91,14.91,10,0,360
2006-05-22 15:30:00,1148311800,14.96,15.21,14.96,15.21,10,0,340
2006-05-22 16:00:00,1148313600,15.11,15.61,15.11,15.11,16,0,570
2006-05-22 16:15:00,1148314500,15.21,15.61,15.21,15.61,8,0,272
2006-05-23 10:30:00,1148380200,15.31,15.31,15.21,15.21,4,0,161
2006-05-23 11:45:00,1148384700,15.32,15.33,15.32,15.33,2,0,144
2006-05-23 12:00:00,1148385600,15.32,15.36,15.32,15.36,2,0,144
2006-05-23 12:15:00,1148386500,15.31,15.31,15.31,15.31,1,0,72
2006-05-23 12:30:00,1148387400,15.32,15.32,15.32,15.32,2,0,144
2006-05-23 13:00:00,1148389200,15.22,15.22,15.11,15.11,3,0,22
2006-05-23 13:15:00,1148390100,14.71,14.71,13.73,14.57,5,0,214
2006-05-23 13:30:00,1148391000,15.12,15.12,15.12,15.12,1,0,44
2006-05-23 13:45:00,1148391900,14.91,15.11,14.91,15.11,8,0,432
2006-05-23 14:30:00,1148394600,15.12,15.14,15.12,15.14,3,0,204
2006-05-23 15:15:00,1148397300,15.22,15.22,15.22,15.22,2,0,47
2006-05-23 15:45:00,1148399100,15.13,15.13,15.06,15.06,2,0,72
2006-05-23 16:15:00,1148400900,14.92,14.92,14.91,14.91,4,0,266
2006-05-23 16:30:00,1148401800,15.19,15.19,15.19,15.19,1,0,11
2006-05-23 16:45:00,1148402700,14.71,14.71,14.22,14.71,8,0,215
2006-05-23 18:15:00,1148408100,14.86,14.86,14.86,14.86,1,0,28
2006-05-24 10:15:00,1148465700,14.73,14.73,14.73,14.73,3,0,150
2006-05-24 10:30:00,1148466600,14.72,14.72,14.72,14.72,1,0,10
2006-05-24 11:00:00,1148468400,14.61,14.61,14.61,14.61,1,0,72
2006-05-24 11:45:00,1148471100,14.52,14.52,14.28,14.28,2,0,72
2006-05-24 12:15:00,1148472900,14.23,14.23,14.23,14.23,1,0,20
2006-05-24 12:30:00,1148473800,14.21,14.23,14.21,14.22,4,0,221
2006-05-24 13:00:00,1148475600,13.94,13.94,13.94,13.94,1,0,72
2006-05-24 13:15:00,1148476500,13.95,13.95,13.93,13.93,2,0,19
2006-05-24 13:30:00,1148477400,13.74,14.22,13.73,14.22,7,0,225
2006-05-24 13:45:00,1148478300,13.74,13.74,13.74,13.74,2,0,72
2006-05-24 14:00:00,1148479200,13.94,13.94,13.94,13.94,4,0,221
2006-05-24 14:15:00,1148480100,14.07,14.12,14.07,14.12,2,0,100
2006-05-24 14:30:00,1148481000,14.11,14.11,13.74,13.74,5,0,316
2006-05-24 15:00:00,1148482800,13.97,14.01,13.93,13.93,3,0,174
2006-05-24 15:15:00,1148483700,13.84,13.84,13.84,13.84,1,0,72
2006-05-24 15:30:00,1148484600,14.0,14.12,14.0,14.11,8,0,259
2006-05-24 15:45:00,1148485500,14.12,14.22,14.12,14.22,3,0,80
2006-05-24 16:00:00,1148486400,13.84,13.84,13.84,13.84,2,0,144
2006-05-24 16:30:00,1148488200,14.33,14.5,14.22,14.22,3,0,144
2006-05-24 16:45:00,1148489100,14.49,14.51,14.49,14.51,3,0,76
2006-05-25 10:45:00,1148553900,14.37,14.37,14.37,14.37,2,0,58
2006-05-25 11:00:00,1148554800,14.38,14.38,14.38,14.38,1,0,72
2006-05-25 11:30:00,1148556600,14.29,14.3,14.29,14.3,2,0,79
2006-05-25 12:15:00,1148559300,14.49,14.51,14.49,14.51,3,0,17
2006-05-25 12:30:00,1148560200,14.52,14.52,14.52,14.52,3,0,121
2006-05-25 13:00:00,1148562000,14.61,14.71,14.61,14.71,13,0,428
2006-05-25 14:00:00,1148565600,14.52,14.52,14.51,14.51,2,0,100
2006-05-25 15:15:00,1148570100,14.62,14.68,14.44,14.44,7,0,210
2006-05-25 15:30:00,1148571000,14.61,14.61,14.61,14.61,4,0,144
2006-05-25 15:45:00,1148571900,14.71,14.71,14.71,14.71,5,0,195
2006-05-25 16:00:00,1148572800,14.43,14.43,14.43,14.43,2,0,37
2006-05-25 16:30:00,1148574600,14.37,14.43,14.3,14.3,8,0,256
2006-05-25 16:45:00,1148575500,14.25,14.25,14.25,14.25,2,0,23
2006-05-26 10:15:00,1148638500,15.21,15.21,15.21,15.21,1,0,72
2006-05-26 11:00:00,1148641200,14.71,14.71,14.71,14.71,4,0,194
2006-05-26 11:30:00,1148643000,14.61,14.61,14.57,14.57,3,0,92
2006-05-26 11:45:00,1148643900,14.46,14.46,14.44,14.44,2,0,109
2006-05-26 12:00:00,1148644800,14.42,14.42,14.32,14.32,3,0,108
2006-05-26 12:15:00,1148645700,14.23,14.24,14.23,14.24,2,0,55
2006-05-26 12:30:00,1148646600,14.33,14.33,14.33,14.33,1,0,1
2006-05-26 13:30:00,1148650200,14.47,14.47,14.47,14.47,2,0,84
2006-05-26 14:30:00,1148653800,14.24,14.27,14.24,14.27,5,0,228
