datetime,time,open,high,low,close,tick_volume,spread,real_volume
2010-02-04 16:00:00,1265299200,1.8,1.8,1.8,1.8,1,0,1000
2010-04-12 17:00:00,1271091600,2.77,2.77,2.77,2.77,1,0,1000
2010-06-02 17:00:00,1275498000,1.8,1.8,1.8,1.8,1,0,500
2010-07-05 15:45:00,1278344700,1.87,1.87,1.87,1.87,1,0,500
2010-10-21 17:15:00,1287681300,3.8,3.8,3.8,3.8,2,0,500
2010-10-21 17:30:00,1287682200,3.83,3.83,3.83,3.83,1,0,100
2010-11-17 11:15:00,1289992500,3.83,3.83,3.83,3.83,1,0,100
2010-11-17 11:45:00,1289994300,5.33,5.33,5.33,5.33,1,0,100
2010-11-17 13:30:00,1290000600,5.33,5.33,5.33,5.33,1,0,200
2010-11-17 15:45:00,1290008700,5.33,5.33,5.33,5.33,1,0,100
2010-11-17 17:15:00,1290014100,5.33,5.33,5.33,5.33,1,0,100
2011-03-02 13:45:00,1299073500,5.33,5.33,5.33,5.33,1,0,300
2011-03-02 14:00:00,1299074400,5.33,5.33,5.33,5.33,1,0,200
2012-05-22 13:45:00,1337694300,5.33,5.33,5.33,5.33,1,0,100
2012-05-23 11:15:00,1337771700,5.33,5.33,5.33,5.33,1,0,100
2012-05-31 13:15:00,1338470100,5.33,5.33,5.33,5.33,1,0,200
2012-07-05 10:30:00,1341484200,5.33,5.33,5.33,5.33,1,0,100
2012-09-13 11:00:00,1347534000,5.7,5.7,5.7,5.7,1,0,100
2012-09-13 11:45:00,1347536700,5.7,5.7,5.7,5.7,1,0,100
2013-11-06 14:15:00,1383747300,5.7,5.7,5.7,5.7,1,0,800
2016-08-08 13:30:00,1470663000,5.83,5.83,5.83,5.83,2,1,200
2016-08-08 15:45:00,1470671100,5.8,5.8,5.8,5.8,1,1,100
2016-08-19 11:45:00,1471607100,5.8,5.8,5.8,5.8,1,1,800
2016-09-09 11:45:00,1473421500,5.87,5.87,5.87,5.87,2,1,5000
2016-09-09 12:00:00,1473422400,5.87,5.87,5.87,5.87,1,1,3200
2016-09-09 12:15:00,1473423300,5.83,5.83,5.83,5.83,1,1,500
2016-09-14 12:45:00,1473857100,5.8,5.8,5.8,5.8,1,1,900
2016-10-17 11:30:00,1476703800,5.0,5.0,5.0,5.0,1,1,1000
2016-10-17 11:45:00,1476704700,5.0,5.0,5.0,5.0,2,1,1300
2016-10-17 13:00:00,1476709200,5.0,5.0,5.0,5.0,1,1,100
2016-10-17 13:30:00,1476711000,5.0,5.0,5.0,5.0,1,1,2000
2016-10-17 13:45:00,1476711900,5.0,5.0,5.0,5.0,1,1,400
2016-10-17 15:00:00,1476716400,5.0,5.0,5.0,5.0,1,1,2000
2016-10-17 16:00:00,1476720000,5.0,5.0,5.0,5.0,1,1,1000
2016-10-17 16:15:00,1476720900,5.0,5.0,5.0,5.0,2,1,400
2016-10-17 17:15:00,1476724500,5.0,5.0,5.0,5.0,1,1,200
2016-10-18 11:15:00,1476789300,4.97,4.97,4.97,4.97,1,1,300
2016-10-18 11:45:00,1476791100,5.0,5.0,5.0,5.0,1,1,1000
2016-10-18 15:30:00,1476804600,5.0,5.0,5.0,5.0,1,1,600
2016-10-19 16:00:00,1476892800,5.0,5.0,5.0,5.0,1,1,700
2016-10-26 16:15:00,1477498500,2.4,2.4,2.4,2.4,5,1,7100
2016-10-26 16:30:00,1477499400,2.4,2.4,2.4,2.4,1,1,500
2016-10-26 16:45:00,1477500300,2.4,2.4,2.4,2.4,2,1,1300
2016-10-26 18:00:00,1477504800,2.33,2.33,2.33,2.33,24,0,58000
2016-11-21 13:00:00,1479733200,5.0,5.0,5.0,5.0,1,1,1000000
