datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-06-02 14:45:00,1149259500,11.0,11.0,11.0,11.0,1,0,12148
2007-02-22 14:15:00,1172153700,21.0,21.0,21.0,21.0,2,0,306
2007-06-14 11:30:00,1181820600,10.0,10.0,10.0,10.0,1,0,20
2007-06-15 11:30:00,1181907000,16.0,16.0,16.0,16.0,1,0,43
2007-07-04 14:30:00,1183559400,10.01,10.01,10.01,10.01,1,0,20
2007-07-06 11:15:00,1183720500,9.4,9.4,9.4,9.4,1,0,24
2007-07-06 11:30:00,1183721400,9.5,9.5,9.5,9.5,1,0,43
2007-07-06 11:45:00,1183722300,14.0,14.0,14.0,14.0,1,0,2
2007-07-10 10:00:00,1184061600,14.0,14.5,14.0,14.5,4,0,49
2007-07-10 10:15:00,1184062500,14.99,14.99,14.99,14.99,1,0,19
2007-07-10 12:30:00,1184070600,20.0,20.0,20.0,20.0,1,0,35
2007-07-20 10:30:00,1184927400,19.0,19.0,19.0,19.0,1,0,4
2007-07-24 10:15:00,1185272100,18.0,18.0,18.0,18.0,1,0,1
2007-07-27 16:00:00,1185552000,18.0,18.0,18.0,18.0,1,0,1
2007-08-03 10:30:00,1186137000,17.45,17.45,17.45,17.45,1,0,12
2007-08-03 11:00:00,1186138800,20.0,20.0,20.0,20.0,1,0,18
2007-08-06 16:15:00,1186416900,15.0,15.0,15.0,15.0,1,0,50
2007-09-06 13:00:00,1189083600,12.0,12.0,12.0,12.0,1,0,11
2007-09-06 15:45:00,1189093500,10.1,10.1,10.1,10.1,1,0,20
2007-09-17 11:00:00,1190026800,11.11,11.11,11.11,11.11,1,0,20
2007-09-24 12:00:00,1190635200,10.1,10.1,10.1,10.1,1,0,14
2007-09-27 15:00:00,1190905200,11.0,11.0,11.0,11.0,1,0,14
2007-10-08 13:00:00,1191848400,10.0,10.0,10.0,10.0,1,0,1
2007-10-19 16:45:00,1192812300,10.0,10.0,10.0,10.0,1,0,5
2008-01-29 14:00:00,1201615200,20.0,20.0,20.0,20.0,1,0,10
2008-02-18 15:30:00,1203348600,14.0,14.0,14.0,14.0,1,0,10
2008-02-28 15:30:00,1204212600,20.0,20.0,20.0,20.0,1,0,20
2008-02-28 15:45:00,1204213500,20.0,20.0,20.0,20.0,1,0,20
2008-02-28 17:00:00,1204218000,19.0,19.0,19.0,19.0,1,0,1
2008-03-05 13:00:00,1204722000,20.0,20.0,20.0,20.0,1,0,6
2008-03-07 12:15:00,1204892100,23.8,23.8,23.8,23.8,1,0,2
2008-03-07 12:30:00,1204893000,23.8,23.8,23.8,23.8,1,0,7
2008-03-18 15:00:00,1205852400,18.01,18.01,18.01,18.01,1,0,17
2008-03-25 12:00:00,1206446400,18.0,18.0,18.0,18.0,1,0,4
2008-03-25 15:30:00,1206459000,20.45,20.45,20.01,20.01,3,0,70
2008-03-26 11:30:00,1206531000,18.0,18.0,18.0,18.0,2,0,20
2008-03-26 12:00:00,1206532800,18.0,18.0,18.0,18.0,1,0,30
2008-04-01 13:15:00,1207055700,19.0,19.0,19.0,19.0,1,0,9
2008-04-07 16:15:00,1207584900,18.7,18.7,18.0,18.0,2,0,62
2008-05-06 10:15:00,1210068900,22.0,22.0,22.0,22.0,1,0,15
2008-05-12 13:15:00,1210598100,21.0,21.0,21.0,21.0,1,0,50
2008-05-13 10:45:00,1210675500,23.25,23.25,23.25,23.25,1,0,2
2008-05-15 15:30:00,1210865400,22.0,22.0,22.0,22.0,1,0,10
2008-05-15 15:45:00,1210866300,21.0,21.0,21.0,21.0,1,0,12
2008-05-15 16:00:00,1210867200,22.0,22.0,22.0,22.0,1,0,13
2008-05-19 15:30:00,1211211000,18.0,18.0,18.0,18.0,1,0,15
2008-05-29 14:30:00,1212071400,22.99,22.99,22.99,22.99,1,0,23
2008-06-02 10:45:00,1212403500,20.0,20.0,20.0,20.0,1,0,20
2008-06-02 14:15:00,1212416100,22.99,23.1,22.99,23.1,2,0,20
2008-06-04 11:00:00,1212577200,22.0,22.0,22.0,22.0,1,0,49
2008-06-10 10:00:00,1213092000,23.5,23.5,23.5,23.5,1,0,18
2008-06-17 10:30:00,1213698600,23.9,23.9,23.9,23.9,1,0,50
2008-06-18 12:45:00,1213793100,25.0,25.0,25.0,25.0,1,0,20
2008-06-26 16:15:00,1214496900,24.5,24.5,24.5,24.5,1,0,50
2008-06-30 11:45:00,1214826300,25.0,25.0,25.0,25.0,1,0,30
2008-07-21 16:30:00,1216657800,24.5,24.5,24.5,24.5,1,0,20
2008-07-22 10:30:00,1216722600,24.5,24.5,24.5,24.5,1,0,30
2008-08-29 13:00:00,1220014800,17.0,17.0,17.0,17.0,1,0,10
2008-09-22 14:30:00,1222093800,24.0,24.0,24.0,24.0,1,0,10
2008-10-01 10:30:00,1222857000,24.5,24.5,24.5,24.5,1,0,10
2008-10-06 12:45:00,1223297100,20.01,20.01,20.01,20.01,1,0,7
2008-11-21 13:15:00,1227273300,17.08,17.08,17.08,17.08,1,0,10
2008-12-04 16:15:00,1228407300,15.02,15.02,15.0,15.0,8,0,121
2008-12-19 14:15:00,1229696100,16.9,16.9,16.9,16.9,1,0,14
2009-03-31 14:00:00,1238508000,16.5,16.5,16.5,16.5,1,0,13
2009-04-06 13:30:00,1239024600,16.5,16.5,16.5,16.5,1,0,5
2009-05-04 11:30:00,1241436600,17.99,17.99,17.99,17.99,1,0,2
2009-05-06 11:45:00,1241610300,17.94,17.94,17.94,17.94,1,0,18
2009-06-18 11:00:00,1245322800,17.0,17.0,17.0,17.0,1,0,20
2009-06-23 12:45:00,1245761100,17.0,17.0,17.0,17.0,1,0,60
2009-06-23 13:00:00,1245762000,17.0,17.0,17.0,17.0,1,0,19
2009-08-04 13:15:00,1249391700,20.8,20.8,20.8,20.8,2,0,2
2009-08-06 13:00:00,1249563600,20.8,20.8,20.8,20.8,1,0,10
2009-08-06 15:00:00,1249570800,20.8,20.8,20.8,20.8,1,0,10
2009-08-07 10:00:00,1249639200,20.8,20.8,20.8,20.8,1,0,18
2009-08-12 13:45:00,1250084700,18.15,18.15,18.15,18.15,2,0,10
2009-08-14 16:30:00,1250267400,19.0,19.0,19.0,19.0,2,0,2
2009-08-24 11:15:00,1251112500,20.48,20.48,20.48,20.48,1,0,50
2009-08-26 13:30:00,1251293400,18.0,18.0,18.0,18.0,2,0,52
2009-09-02 12:15:00,1251893700,18.0,18.0,18.0,18.0,1,0,2
2009-09-04 12:00:00,1252065600,15.0,15.0,15.0,15.0,4,0,6
2009-10-29 13:45:00,1256823900,16.25,16.25,16.01,16.01,2,0,11
2009-10-30 13:15:00,1256908500,16.25,16.25,16.01,16.01,2,0,5
2009-11-13 12:30:00,1258115400,18.0,18.0,18.0,18.0,1,0,7
2009-11-18 12:15:00,1258546500,18.0,18.0,18.0,18.0,1,0,10
2009-11-18 14:15:00,1258553700,21.0,21.0,21.0,21.0,1,0,1
2009-12-01 12:30:00,1259670600,19.99,19.99,19.99,19.99,1,0,7
2009-12-01 13:30:00,1259674200,20.5,20.5,20.5,20.5,1,0,14
2009-12-03 13:45:00,1259847900,21.22,21.22,21.22,21.22,1,0,49
2009-12-21 15:00:00,1261407600,24.0,24.0,24.0,24.0,1,0,14
2009-12-23 16:15:00,1261584900,22.0,22.0,22.0,22.0,1,0,20
2009-12-29 15:30:00,1262100600,26.99,27.0,26.99,27.0,2,0,24
2010-01-05 17:30:00,1262712600,24.0,24.0,24.0,24.0,1,0,7
2010-01-15 11:00:00,1263553200,25.0,25.0,25.0,25.0,1,0,6
2010-03-05 18:00:00,1267812000,25.96,25.96,25.96,25.96,2,0,8
2010-03-22 11:45:00,1269258300,24.0,24.0,24.0,24.0,1,0,1
2010-03-25 13:15:00,1269522900,25.0,25.0,25.0,25.0,1,0,1
2010-04-20 14:15:00,1271772900,25.0,25.0,25.0,25.0,1,0,5
2010-05-21 11:45:00,1274442300,20.02,20.02,20.02,20.02,1,0,1
2010-05-28 17:00:00,1275066000,20.01,20.01,20.01,20.01,2,0,6
2010-06-02 15:45:00,1275493500,20.01,20.01,20.01,20.01,2,0,3
2010-07-23 12:30:00,1279888200,20.0,20.0,20.0,20.0,1,0,7
2010-07-26 12:30:00,1280147400,20.0,20.0,20.0,20.0,3,0,43
2010-07-29 11:45:00,1280403900,18.0,18.0,18.0,18.0,1,0,1
2010-07-29 15:00:00,1280415600,22.0,22.0,22.0,22.0,1,0,7
2010-08-19 15:30:00,1282231800,24.0,24.0,24.0,24.0,1,0,2
2010-08-24 10:45:00,1282646700,21.5,21.5,21.5,21.5,1,0,20
2010-10-20 12:45:00,1287578700,24.0,24.0,24.0,24.0,2,0,13
2010-10-21 12:30:00,1287664200,19.52,19.52,19.52,19.52,1,0,25
2010-11-11 12:00:00,1289476800,20.0,20.0,20.0,20.0,1,0,10
2010-11-16 11:45:00,1289907900,18.08,18.08,18.08,18.08,1,0,1
2010-11-23 15:45:00,1290527100,18.08,18.08,18.08,18.08,1,0,23
2010-11-25 14:45:00,1290696300,21.5,21.5,21.5,21.5,1,0,10
2010-11-30 12:15:00,1291119300,20.5,20.5,20.5,20.5,2,0,20
2010-12-03 11:15:00,1291374900,21.5,21.5,21.5,21.5,1,0,5
2010-12-07 12:00:00,1291723200,21.5,21.5,21.5,21.5,1,0,10
2010-12-13 14:45:00,1292251500,22.0,22.0,22.0,22.0,1,0,10
2010-12-28 11:45:00,1293536700,24.0,24.0,24.0,24.0,1,0,5
2010-12-30 17:00:00,1293728400,26.5,26.5,26.5,26.5,1,0,5
2011-01-03 11:00:00,1294052400,30.0,30.0,30.0,30.0,1,0,1
2011-01-05 16:15:00,1294244100,32.0,32.0,30.0,30.0,3,0,28
2011-01-11 11:45:00,1294746300,7.05,7.05,7.05,7.05,1,0,15
2011-01-13 11:15:00,1294917300,5.66,5.66,5.66,5.66,2,0,6
2011-01-18 16:45:00,1295369100,7.02,7.02,7.02,7.02,1,0,39
2011-01-19 16:15:00,1295453700,7.0,7.0,7.0,7.0,1,0,3
2011-01-26 16:30:00,1296059400,7.02,7.02,7.02,7.02,1,0,3
2011-01-26 17:15:00,1296062100,7.02,8.0,7.02,8.0,3,0,11
2011-01-26 17:30:00,1296063000,6.65,6.65,6.6,6.6,3,0,100
2011-02-02 17:00:00,1296666000,6.6,6.6,6.6,6.6,1,0,20
2011-02-03 14:30:00,1296743400,6.6,6.6,6.6,6.6,1,0,67
2011-02-09 13:15:00,1297257300,6.31,6.31,6.31,6.31,1,0,50
2011-02-10 17:45:00,1297359900,5.8100000000000005,5.8100000000000005,5.8100000000000005,5.8100000000000005,1,0,14
2011-02-16 11:30:00,1297855800,7.0,7.0,7.0,7.0,3,0,3
2011-02-16 17:45:00,1297878300,6.1,6.1,6.1,6.1,2,0,4
2011-03-31 14:00:00,1301580000,5.2,5.2,5.2,5.2,2,0,20
2011-04-08 14:00:00,1302271200,5.08,5.08,5.08,5.08,2,0,15
2011-05-09 10:15:00,1304936100,4.28,4.28,4.28,4.28,2,0,50
2011-05-10 10:30:00,1305023400,5.5,5.5,5.5,5.5,1,0,5
2011-05-19 13:45:00,1305812700,5.0,5.0,5.0,5.0,1,0,51
2011-05-19 15:00:00,1305817200,5.0,5.0,5.0,5.0,1,0,35
2011-06-17 15:45:00,1308325500,4.88,4.88,4.88,4.88,1,0,20
2011-07-18 14:45:00,1311000300,4.5,4.5,4.5,4.5,2,0,15
2011-07-28 10:45:00,1311849900,4.2,4.2,4.2,4.2,2,0,53
2011-08-15 12:45:00,1313412300,4.23,4.23,4.23,4.23,1,0,66
2011-08-15 13:15:00,1313414100,4.5,4.5,4.5,4.5,1,0,44
2011-08-22 10:30:00,1314009000,4.21,4.21,4.21,4.21,1,0,4
2011-09-15 15:30:00,1316100600,4.21,4.21,4.21,4.21,1,0,1
