datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-09-27 15:45:00,1159371900,19.52,19.52,19.52,19.52,1,0,100000
2006-10-05 13:00:00,1160053200,19.52,19.52,19.52,19.52,1,0,100000
2007-06-13 12:15:00,1181736900,9.28,9.28,9.28,9.28,1,0,200
2007-06-15 11:30:00,1181907000,13.92,13.92,13.92,13.92,1,0,100
2007-06-15 13:15:00,1181913300,13.92,13.92,13.92,13.92,1,0,100
2007-06-15 14:15:00,1181916900,13.96,13.96,13.96,13.96,2,0,200
2007-07-03 17:00:00,1183482000,9.28,9.28,9.28,9.28,1,0,100
2007-07-06 12:15:00,1183724100,13.48,13.48,13.48,13.48,1,0,100
2007-07-10 10:00:00,1184061600,13.84,13.84,13.84,13.84,1,0,100
2007-07-10 11:45:00,1184067900,18.6,18.6,18.6,18.6,6,0,900
2007-07-13 11:00:00,1184324400,18.52,18.52,18.52,18.52,2,0,300
2007-07-27 15:30:00,1185550200,11.28,11.28,11.28,11.28,5,0,1000
2007-07-27 15:45:00,1185551100,12.52,12.56,12.52,12.56,2,0,200
2007-07-27 16:15:00,1185552900,12.56,12.56,12.56,12.56,4,0,500
2007-08-01 14:00:00,1185976800,12.56,12.56,12.56,12.56,1,0,100
2007-08-13 16:30:00,1187022600,9.8,9.8,9.8,9.8,1,0,100
2007-08-21 14:15:00,1187705700,9.32,9.32,9.32,9.32,1,0,400
2007-08-22 14:00:00,1187791200,9.36,9.36,9.36,9.36,1,0,100
2007-09-11 14:30:00,1189521000,9.28,9.28,9.28,9.28,1,0,100
2007-10-03 16:00:00,1191427200,9.28,9.28,9.28,9.28,3,0,300
2007-12-21 14:15:00,1198246500,9.76,9.76,9.76,9.76,1,0,100
2007-12-27 12:45:00,1198759500,11.16,11.16,11.16,11.16,1,0,100
2007-12-28 13:15:00,1198847700,18.52,18.52,18.52,18.52,6,0,700
2008-01-09 12:00:00,1199880000,18.6,18.6,18.6,18.6,1,0,200
2008-01-09 16:15:00,1199895300,18.56,18.56,18.56,18.56,2,0,200
2008-01-09 17:45:00,1199900700,23.2,23.2,23.2,23.2,1,0,100
2008-01-17 11:15:00,1200568500,23.16,23.16,23.16,23.16,1,0,300
2008-01-30 16:45:00,1201711500,18.6,18.6,18.6,18.6,1,0,100
2008-02-25 11:15:00,1203938100,15.88,15.88,15.88,15.88,2,0,200
2008-02-25 13:30:00,1203946200,19.28,19.28,19.28,19.28,4,0,1600
2008-02-25 15:15:00,1203952500,19.2,19.2,19.2,19.2,1,0,100
2008-02-25 17:00:00,1203958800,19.04,19.32,19.04,19.32,3,0,1500
2008-02-25 17:30:00,1203960600,19.32,19.88,19.32,19.88,4,0,1500
2008-02-25 17:45:00,1203961500,19.96,20.92,19.96,20.92,3,0,1000
2008-02-26 12:00:00,1204027200,21.16,21.16,21.16,21.16,1,0,1000
2008-02-26 12:30:00,1204029000,21.16,22.76,21.16,22.76,3,0,1500
2008-02-26 12:45:00,1204029900,22.76,22.76,22.76,22.76,1,0,100
2008-02-26 14:15:00,1204035300,21.36,21.36,21.36,21.36,2,0,900
2008-02-26 15:15:00,1204038900,21.36,21.36,21.36,21.36,1,0,300
2008-02-26 15:30:00,1204039800,21.36,21.36,21.36,21.36,1,0,300
2008-02-26 17:00:00,1204045200,19.52,19.52,19.52,19.52,2,0,1300
2008-02-27 14:15:00,1204121700,17.64,17.64,17.64,17.64,1,0,200
2008-02-27 14:30:00,1204122600,17.56,17.56,17.56,17.56,2,0,700
2008-02-27 18:00:00,1204135200,17.56,17.56,17.56,17.56,1,0,200
2008-02-28 13:00:00,1204203600,18.6,18.88,18.6,18.88,2,0,2000
2008-02-29 11:30:00,1204284600,19.04,19.04,19.04,19.04,2,0,300
2008-02-29 12:30:00,1204288200,19.04,19.04,19.04,19.04,1,0,300
2008-02-29 14:15:00,1204294500,17.64,17.64,17.64,17.64,2,0,200
2008-02-29 14:30:00,1204295400,17.64,18.52,17.64,18.52,3,0,900
2008-02-29 16:30:00,1204302600,17.36,17.36,17.36,17.36,1,0,100
2008-02-29 17:30:00,1204306200,17.92,18.6,17.92,18.6,5,0,1500
2008-02-29 17:45:00,1204307100,17.28,18.6,17.28,18.6,2,0,200
2008-03-05 11:45:00,1204717500,18.96,18.96,18.96,18.96,1,0,1000
2008-03-05 12:00:00,1204718400,18.96,20.44,18.96,20.44,14,0,16200
2008-03-05 12:15:00,1204719300,20.44,20.44,20.44,20.44,1,0,1500
2008-03-05 12:30:00,1204720200,20.44,20.44,20.44,20.44,3,0,2200
2008-03-05 14:45:00,1204728300,20.28,20.28,19.52,19.52,4,0,4000
2008-03-05 15:45:00,1204731900,18.6,18.6,18.6,18.6,1,0,300
2008-03-05 16:00:00,1204732800,18.6,18.6,18.6,18.6,1,0,200
2008-03-05 17:45:00,1204739100,19.4,20.44,19.4,20.44,4,0,1600
2008-03-07 11:15:00,1204888500,19.52,22.32,19.52,22.32,8,0,3000
2008-03-07 11:30:00,1204889400,22.12,22.12,22.12,22.12,1,0,100
2008-03-07 13:15:00,1204895700,21.36,21.36,21.36,21.36,2,0,4000
2008-03-07 14:15:00,1204899300,20.92,20.92,20.92,20.92,1,0,2000
2008-03-07 15:45:00,1204904700,20.92,20.92,20.92,20.92,1,0,100
2008-03-07 16:15:00,1204906500,21.36,21.36,21.36,21.36,1,0,1000
2008-03-07 16:30:00,1204907400,21.36,21.36,21.36,21.36,1,0,500
2008-03-07 17:45:00,1204911900,21.36,21.36,21.36,21.36,2,0,2000
2008-03-07 18:00:00,1204912800,21.32,21.32,21.32,21.32,1,0,1000
2008-03-11 10:45:00,1205232300,21.36,21.36,21.36,21.36,1,0,1000
2008-03-11 11:15:00,1205234100,20.92,21.36,20.92,21.36,2,0,500
2008-03-11 16:00:00,1205251200,21.32,21.36,21.32,21.36,4,0,3300
2008-03-12 13:00:00,1205326800,21.36,21.36,21.36,21.36,4,0,3300
2008-03-12 14:15:00,1205331300,21.36,21.36,21.28,21.36,5,0,4100
2008-03-12 14:30:00,1205332200,21.36,21.36,21.36,21.36,2,0,2600
2008-03-12 15:00:00,1205334000,19.96,19.96,19.96,19.96,1,0,1000
2008-03-12 16:45:00,1205340300,20.92,20.92,20.92,20.92,2,0,2000
2008-03-14 13:00:00,1205499600,17.84,17.84,17.84,17.84,1,0,100
2008-03-14 13:15:00,1205500500,17.92,17.92,17.92,17.92,1,0,100
2008-03-14 15:15:00,1205507700,18.4,18.4,18.4,18.4,1,0,100
2008-03-17 16:00:00,1205769600,17.64,17.64,17.64,17.64,1,0,200
2008-03-17 16:15:00,1205770500,18.6,18.6,18.6,18.6,1,0,100
2008-03-19 16:45:00,1205945100,18.6,18.6,18.6,18.6,1,0,100
2008-03-20 14:00:00,1206021600,17.64,17.64,17.64,17.64,1,0,100
2008-03-20 15:00:00,1206025200,16.96,18.6,16.96,18.6,6,0,2300
2008-03-20 15:15:00,1206026100,17.16,17.16,16.96,16.96,2,0,400
2008-03-20 15:30:00,1206027000,17.16,17.28,17.16,17.28,2,0,200
2008-03-20 16:45:00,1206031500,18.4,18.4,18.4,18.4,1,0,100
2008-03-25 10:00:00,1206439200,19.52,20.44,19.52,20.44,7,0,1700
2008-03-25 10:15:00,1206440100,19.52,19.52,18.6,19.04,5,0,1700
2008-03-25 10:30:00,1206441000,19.04,19.04,18.6,19.04,4,0,1000
2008-03-25 10:45:00,1206441900,18.72,18.72,18.68,18.68,2,0,1000
2008-03-25 13:15:00,1206450900,18.6,18.6,18.6,18.6,3,0,300
2008-03-25 13:30:00,1206451800,18.12,18.12,18.12,18.12,1,0,200
2008-03-25 15:00:00,1206457200,17.64,17.64,17.64,17.64,2,0,300
2008-03-25 16:15:00,1206461700,17.64,17.64,17.64,17.64,1,0,5000
2008-03-25 16:30:00,1206462600,17.16,17.16,16.96,16.96,2,0,400
2008-03-25 16:45:00,1206463500,17.64,17.64,17.64,17.64,2,0,800
2008-03-25 17:45:00,1206467100,17.64,17.64,17.64,17.64,1,0,100
2008-03-26 10:00:00,1206525600,17.6,17.6,17.6,17.6,1,0,100
2008-03-26 10:15:00,1206526500,17.6,17.6,17.6,17.6,1,0,200
2008-03-26 15:30:00,1206545400,18.2,18.2,18.2,18.2,1,0,100
2008-03-26 16:15:00,1206548100,17.64,17.64,17.64,17.64,1,0,100
2008-03-27 11:30:00,1206617400,17.64,17.64,17.64,17.64,1,0,100
2008-03-27 12:00:00,1206619200,17.64,17.64,17.64,17.64,1,0,100
2008-03-27 15:30:00,1206631800,17.64,17.64,17.64,17.64,1,0,100
2008-03-27 16:30:00,1206635400,17.64,17.64,17.64,17.64,1,0,8000
2008-03-28 10:00:00,1206698400,17.16,17.16,16.72,16.72,2,0,400
2008-03-28 10:15:00,1206699300,17.64,17.64,17.64,17.64,4,0,3200
2008-03-28 10:30:00,1206700200,17.64,17.64,17.64,17.64,1,0,300
2008-03-28 11:00:00,1206702000,17.64,17.64,17.64,17.64,3,0,2000
2008-03-28 12:15:00,1206706500,18.08,18.08,18.08,18.08,1,0,1000
2008-03-28 12:30:00,1206707400,18.08,18.08,18.08,18.08,1,0,1000
2008-03-28 12:45:00,1206708300,18.08,18.08,17.64,17.64,2,0,3000
2008-03-28 15:00:00,1206716400,17.84,17.84,17.84,17.84,1,0,100
2008-03-31 16:00:00,1206979200,17.64,19.04,17.64,19.04,5,0,2000
2008-04-01 10:30:00,1207045800,18.96,18.96,18.96,18.96,2,0,1700
2008-04-01 13:00:00,1207054800,17.64,17.64,17.64,17.64,1,0,1000
2008-04-01 15:15:00,1207062900,17.64,17.64,17.64,17.64,1,0,200
2008-04-01 16:15:00,1207066500,17.64,17.64,17.64,17.64,2,0,1800
2008-04-01 16:45:00,1207068300,16.8,17.64,16.72,17.64,5,0,1600
2008-04-02 11:15:00,1207134900,17.64,17.64,17.64,17.64,1,0,1000
2008-04-02 15:15:00,1207149300,16.72,16.72,16.72,16.72,3,0,1000
2008-04-02 15:30:00,1207150200,16.72,16.72,16.72,16.72,1,0,300
2008-04-02 16:00:00,1207152000,16.36,16.36,16.28,16.28,3,0,6500
2008-04-02 18:30:00,1207161000,16.28,16.28,16.28,16.28,1,0,500
2008-04-02 18:45:00,1207161900,16.28,16.28,16.28,16.28,1,0,300
2008-04-03 15:30:00,1207236600,16.28,16.28,16.28,16.28,1,0,3000
2008-04-03 16:15:00,1207239300,15.8,15.8,15.8,15.8,1,0,300
2008-04-04 10:15:00,1207304100,16.08,17.16,16.08,17.16,3,0,4400
2008-04-04 10:30:00,1207305000,16.72,16.72,16.72,16.72,1,0,500
2008-04-04 10:45:00,1207305900,16.72,16.72,16.72,16.72,1,0,400
2008-04-04 13:30:00,1207315800,15.4,15.4,15.32,15.32,2,0,2800
2008-04-04 13:45:00,1207316700,15.8,15.8,15.8,15.8,1,0,200
2008-04-07 13:00:00,1207573200,16.72,17.64,16.72,17.64,4,0,1000
2008-04-07 15:00:00,1207580400,16.72,16.72,16.72,16.72,1,0,1000
2008-04-07 16:30:00,1207585800,16.72,17.64,16.72,17.64,6,0,1000
2008-04-07 16:45:00,1207586700,17.64,17.68,17.64,17.68,3,0,700
2008-04-07 17:00:00,1207587600,18.48,18.48,18.48,18.48,6,0,2400
2008-04-09 13:15:00,1207746900,17.64,17.64,17.64,17.64,3,0,1000
2008-04-09 15:15:00,1207754100,17.64,19.04,17.64,19.04,7,0,8300
2008-04-10 15:30:00,1207841400,17.16,17.16,17.16,17.16,1,0,100
2008-04-10 16:00:00,1207843200,17.92,18.6,17.92,18.6,5,0,7000
2008-04-10 16:45:00,1207845900,18.6,18.6,18.6,18.6,5,0,4000
2008-04-11 11:00:00,1207911600,18.6,18.6,18.6,18.6,1,0,200
2008-04-14 10:45:00,1208169900,17.64,17.64,17.64,17.64,1,0,100
2008-04-15 12:30:00,1208262600,18.6,18.6,18.6,18.6,3,0,600
2008-04-15 14:30:00,1208269800,18.12,18.12,18.12,18.12,1,0,100
2008-04-15 16:30:00,1208277000,18.12,19.04,18.12,19.04,4,0,2000
2008-04-15 16:45:00,1208277900,19.04,19.04,19.04,19.04,1,0,1000
2008-04-16 14:30:00,1208356200,18.6,19.4,18.6,19.4,4,0,1000
2008-04-16 16:30:00,1208363400,19.4,19.96,19.4,19.96,3,0,1300
2008-04-17 12:45:00,1208436300,19.8,19.8,19.8,19.8,1,0,1000
2008-04-17 13:00:00,1208437200,19.8,19.8,19.8,19.8,1,0,1000
2008-04-17 16:15:00,1208448900,19.52,19.52,19.52,19.52,2,0,1200
2008-04-17 16:30:00,1208449800,19.52,20.36,19.52,20.36,5,0,1500
2008-04-18 15:30:00,1208532600,19.96,19.96,19.96,19.96,2,0,3300
2008-04-18 15:45:00,1208533500,19.96,19.96,19.96,19.96,1,0,3000
2008-04-22 10:30:00,1208860200,20.36,20.36,20.36,20.36,1,0,1000
2008-04-23 10:15:00,1208945700,20.28,20.28,20.28,20.28,2,0,600
2008-04-23 10:30:00,1208946600,20.28,20.28,20.28,20.28,1,0,1000
2008-04-23 11:00:00,1208948400,19.96,19.96,19.96,19.96,2,0,1300
2008-04-23 11:30:00,1208950200,18.6,18.6,18.6,18.6,1,0,900
2008-04-23 11:45:00,1208951100,18.6,18.6,18.6,18.6,1,0,100
2008-04-23 12:45:00,1208954700,18.6,18.6,18.6,18.6,1,0,300
2008-04-23 13:45:00,1208958300,19.8,19.8,19.8,19.8,1,0,100
2008-04-23 14:15:00,1208960100,19.8,19.8,19.8,19.8,1,0,1000
2008-04-24 10:00:00,1209031200,20.2,20.2,20.2,20.2,1,0,100
2008-04-24 12:30:00,1209040200,19.68,19.68,19.68,19.68,1,0,100
2008-04-24 15:15:00,1209050100,18.6,18.6,18.6,18.6,3,0,2000
2008-04-24 16:30:00,1209054600,18.6,18.6,18.6,18.6,1,0,200
2008-04-24 16:45:00,1209055500,19.4,20.44,19.4,20.44,10,0,5900
2008-04-28 12:00:00,1209384000,19.88,19.88,19.88,19.88,1,0,1000
2008-04-28 12:15:00,1209384900,19.96,19.96,19.96,19.96,1,0,1000
2008-04-28 13:15:00,1209388500,19.96,19.96,19.96,19.96,1,0,2000
2008-04-28 13:30:00,1209389400,19.96,19.96,19.96,19.96,1,0,2000
2008-04-28 14:15:00,1209392100,19.96,19.96,19.96,19.96,1,0,2000
2008-04-28 14:30:00,1209393000,19.96,19.96,19.96,19.96,1,0,2000
2008-04-28 15:45:00,1209397500,19.52,19.68,19.52,19.68,5,0,4000
2008-04-30 11:45:00,1209555900,19.56,19.56,19.56,19.56,1,0,2000
2008-04-30 12:30:00,1209558600,19.6,19.96,19.6,19.96,2,0,700
2008-04-30 13:15:00,1209561300,19.96,19.96,19.96,19.96,1,0,2000
2008-05-05 16:45:00,1210005900,20.36,21.36,20.36,21.36,5,0,3500
2008-05-06 11:45:00,1210074300,20.44,20.44,20.44,20.44,1,0,1000
2008-05-06 12:00:00,1210075200,20.44,20.44,20.44,20.44,1,0,2000
2008-05-06 12:30:00,1210077000,20.44,20.44,20.44,20.44,1,0,2000
2008-05-06 16:45:00,1210092300,21.36,21.36,21.36,21.36,2,0,1000
2008-05-08 10:00:00,1210240800,21.36,21.36,21.36,21.36,1,0,100
2008-05-09 13:15:00,1210338900,21.16,21.16,21.16,21.16,1,0,500
2008-05-09 13:30:00,1210339800,21.16,21.16,21.16,21.16,1,0,1000
2008-05-09 13:45:00,1210340700,21.16,21.16,21.16,21.16,1,0,1000
2008-05-09 14:00:00,1210341600,21.16,21.16,21.16,21.16,1,0,400
2008-05-09 14:30:00,1210343400,21.16,21.16,21.16,21.16,1,0,1000
2008-05-09 15:30:00,1210347000,21.32,21.32,21.32,21.32,1,0,2000
2008-05-09 15:45:00,1210347900,21.32,21.32,21.32,21.32,1,0,2300
2008-05-09 16:00:00,1210348800,21.28,21.28,21.28,21.28,1,0,600
2008-05-09 16:45:00,1210351500,21.28,21.36,21.28,21.36,4,0,4100
2008-05-15 10:00:00,1210845600,19.52,19.52,19.52,19.52,1,0,100
2008-05-15 16:00:00,1210867200,20.44,21.36,20.44,21.36,7,0,5000
2008-05-16 10:45:00,1210934700,20.44,20.44,20.44,20.44,1,0,200
2008-05-16 16:15:00,1210954500,20.48,20.48,20.48,20.48,1,0,100
2008-05-20 10:15:00,1211278500,20.48,20.48,20.48,20.48,1,0,1000
2008-05-23 10:30:00,1211538600,18.6,18.6,18.6,18.6,1,0,100
2008-05-23 15:30:00,1211556600,20.4,20.4,20.4,20.4,2,0,200
2008-05-23 15:45:00,1211557500,19.96,19.96,19.96,19.96,2,0,3000
2008-05-26 16:30:00,1211819400,20.44,20.44,20.44,20.44,1,0,1000
2008-05-29 10:30:00,1212057000,21.36,21.36,21.36,21.36,1,0,500
2008-05-29 11:45:00,1212061500,20.44,20.44,20.44,20.44,3,0,300
2008-05-29 12:00:00,1212062400,21.36,21.36,21.36,21.36,4,0,700
2008-05-29 12:15:00,1212063300,21.84,21.84,21.84,21.84,1,0,200
2008-05-29 12:30:00,1212064200,22.12,22.32,22.12,22.32,2,0,2300
2008-05-29 13:00:00,1212066000,22.28,22.28,22.28,22.28,1,0,3000
2008-05-29 13:15:00,1212066900,22.12,22.12,22.12,22.12,1,0,2000
2008-05-29 13:30:00,1212067800,22.12,22.12,22.12,22.12,1,0,2000
2008-05-29 14:30:00,1212071400,22.12,22.12,22.12,22.12,1,0,2000
2008-05-29 14:45:00,1212072300,22.12,22.12,22.12,22.12,1,0,2000
2008-05-29 16:00:00,1212076800,20.44,20.44,20.44,20.44,1,0,200
2008-05-29 16:15:00,1212077700,20.44,20.44,20.44,20.44,1,0,1000
2008-05-29 16:30:00,1212078600,20.28,20.44,20.28,20.44,2,0,2000
2008-05-29 16:45:00,1212079500,20.44,21.36,20.44,21.36,2,0,1500
2008-05-30 12:30:00,1212150600,21.24,21.24,21.24,21.24,1,0,1000
2008-06-02 13:00:00,1212411600,22.16,22.16,22.16,22.16,1,0,200
2008-06-02 13:15:00,1212412500,22.16,22.16,22.16,22.16,1,0,1900
2008-06-02 13:30:00,1212413400,22.16,22.16,22.16,22.16,1,0,2000
2008-06-02 13:45:00,1212414300,22.2,23.2,22.2,23.2,4,0,2800
2008-06-02 14:00:00,1212415200,23.2,23.2,23.2,23.2,1,0,2000
2008-06-02 14:45:00,1212417900,23.12,23.12,23.12,23.12,1,0,2000
2008-06-02 16:00:00,1212422400,21.36,21.36,21.36,21.36,1,0,100
2008-06-02 16:15:00,1212423300,20.44,20.44,20.44,20.44,1,0,200
2008-06-03 11:45:00,1212493500,21.36,21.36,21.36,21.36,1,0,200
2008-06-03 14:15:00,1212502500,20.92,20.92,18.6,18.6,4,0,400
2008-06-03 14:45:00,1212504300,20.44,20.44,20.44,20.44,1,0,100
2008-06-03 15:30:00,1212507000,19.96,19.96,19.96,19.96,1,0,20000
2008-06-03 16:30:00,1212510600,20.44,21.32,20.44,21.32,2,0,200
2008-06-04 14:30:00,1212589800,20.92,20.92,20.92,20.92,1,0,100
2008-06-05 12:45:00,1212669900,20.92,20.92,20.92,20.92,1,0,100
2008-06-06 15:15:00,1212765300,22.32,22.8,22.32,22.8,6,0,3600
2008-06-06 16:45:00,1212770700,23.2,23.2,23.2,23.2,2,0,400
2008-06-09 12:45:00,1213015500,23.16,23.16,23.16,23.16,1,0,1000
