datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-08-09 10:45:00,1628505900,21.75,21.83,21.55,21.83,37,0,894
2021-08-09 11:00:00,1628506800,21.95,22.62,21.8,22.05,30,1,868
2021-08-09 11:15:00,1628507700,22.09,22.26,21.9,21.9,23,1,444
2021-08-09 11:30:00,1628508600,21.82,22.28,21.81,21.81,25,1,171
2021-08-09 11:45:00,1628509500,21.81,22.07,21.81,21.98,34,1,377
2021-08-09 12:00:00,1628510400,21.97,21.97,21.78,21.84,29,1,396
2021-08-09 12:15:00,1628511300,21.83,22.05,21.72,21.83,20,3,212
2021-08-09 12:30:00,1628512200,21.83,21.84,21.83,21.84,6,1,32
2021-08-09 12:45:00,1628513100,21.84,22.08,21.81,21.93,6,3,38
2021-08-09 13:00:00,1628514000,21.88,21.94,21.88,21.94,8,1,104
2021-08-09 13:15:00,1628514900,21.88,21.88,21.81,21.81,14,2,147
2021-08-09 13:30:00,1628515800,21.8,21.85,21.8,21.85,4,3,11
2021-08-09 13:45:00,1628516700,21.84,21.87,21.83,21.83,5,1,35
2021-08-09 14:00:00,1628517600,21.84,21.84,21.75,21.75,10,1,74
2021-08-09 14:15:00,1628518500,21.74,21.86,21.74,21.82,6,1,183
2021-08-09 14:30:00,1628519400,21.79,21.88,21.79,21.79,6,1,61
2021-08-09 14:45:00,1628520300,21.89,21.9,21.89,21.9,2,1,11
2021-08-09 15:00:00,1628521200,22.03,22.06,22.02,22.03,7,1,79
2021-08-09 15:15:00,1628522100,22.03,22.09,22.0,22.0,10,1,88
2021-08-09 15:30:00,1628523000,22.04,22.04,22.03,22.03,3,1,47
2021-08-09 15:45:00,1628523900,22.03,22.03,21.98,21.98,6,1,118
2021-08-09 16:00:00,1628524800,22.03,22.03,21.98,21.98,9,1,123
2021-08-09 16:15:00,1628525700,21.98,22.02,21.92,22.02,17,1,311
2021-08-09 16:30:00,1628526600,22.03,22.03,21.83,21.92,15,1,258
2021-08-09 16:45:00,1628527500,22.0,22.14,22.0,22.14,8,2,95
2021-08-09 17:00:00,1628528400,22.41,22.41,22.41,22.41,4,9,22
2021-08-09 17:30:00,1628530200,22.41,22.41,22.0,22.0,2,9,33
2021-08-09 17:45:00,1628531100,22.26,22.26,22.01,22.01,4,21,119
2021-08-10 10:00:00,1628589600,22.5,27.6,22.5,25.3,67,0,937
2021-08-10 10:15:00,1628590500,26.0,26.26,22.31,22.45,92,0,1756
2021-08-10 10:30:00,1628591400,22.54,22.54,22.12,22.14,51,1,1246
2021-08-10 10:45:00,1628592300,22.44,22.44,22.16,22.17,10,1,177
2021-08-10 11:00:00,1628593200,22.21,22.21,22.17,22.21,3,4,46
2021-08-10 11:15:00,1628594100,22.21,22.38,22.16,22.16,17,1,378
2021-08-10 11:30:00,1628595000,22.16,22.21,22.16,22.21,8,1,91
2021-08-10 11:45:00,1628595900,22.23,22.36,22.23,22.23,7,1,103
2021-08-10 12:00:00,1628596800,22.5,22.5,22.18,22.26,5,1,61
2021-08-10 12:15:00,1628597700,22.29,22.29,22.16,22.24,5,1,97
2021-08-10 12:30:00,1628598600,22.22,22.22,22.18,22.18,2,1,6
2021-08-10 12:45:00,1628599500,22.17,22.23,22.17,22.22,3,5,13
2021-08-10 13:00:00,1628600400,22.35,22.35,22.17,22.26,9,1,145
2021-08-10 13:15:00,1628601300,22.23,22.33,22.23,22.3,8,1,129
2021-08-10 13:30:00,1628602200,22.21,22.21,22.09,22.09,11,1,60
2021-08-10 13:45:00,1628603100,22.01,22.08,22.01,22.08,2,5,11
2021-08-10 14:00:00,1628604000,22.01,22.01,22.0,22.0,2,4,9
2021-08-10 14:30:00,1628605800,22.01,22.09,22.01,22.04,3,3,10
2021-08-10 14:45:00,1628606700,22.09,22.14,22.09,22.09,3,1,49
2021-08-10 15:00:00,1628607600,22.04,22.04,22.04,22.04,2,6,2
2021-08-10 15:15:00,1628608500,22.02,22.09,22.02,22.09,2,4,2
2021-08-10 15:30:00,1628609400,22.05,22.49,22.05,22.1,10,1,171
2021-08-10 15:45:00,1628610300,22.09,22.21,22.03,22.21,3,11,5
2021-08-10 16:00:00,1628611200,22.26,22.26,22.19,22.19,3,10,36
2021-08-10 16:15:00,1628612100,22.18,22.5,22.18,22.5,5,1,59
2021-08-10 16:30:00,1628613000,22.5,22.6,22.5,22.6,2,1,7
2021-08-10 16:45:00,1628613900,22.51,22.69,22.42,22.52,6,12,112
2021-08-10 17:00:00,1628614800,22.5,22.5,22.5,22.5,1,47,13
2021-08-11 10:00:00,1628676000,22.3,22.3,22.03,22.03,16,0,118
2021-08-11 10:15:00,1628676900,21.91,22.19,21.91,22.19,3,10,9
2021-08-11 10:30:00,1628677800,22.19,22.49,22.12,22.46,9,6,52
