datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-04-25 12:00:00,1145966400,4.17,4.17,4.17,4.17,2,0,35
2006-04-26 13:00:00,1146056400,3.9699999999999998,3.9699999999999998,3.9699999999999998,3.9699999999999998,2,0,30
2006-04-28 10:00:00,1146218400,4.5,4.5,4.5,4.5,1,0,30
2006-04-28 12:00:00,1146225600,3.96,3.96,3.96,3.96,1,0,20
2006-05-15 14:00:00,1147701600,6.34,6.34,6.34,6.34,1,0,1
2006-06-02 13:00:00,1149253200,6.34,6.34,6.34,6.34,1,0,2
2006-06-07 10:00:00,1149674400,5.89,5.89,5.89,5.89,2,0,64
2006-06-16 15:00:00,1150470000,3.93,3.93,3.93,3.93,1,0,56
2006-06-28 12:00:00,1151496000,3.77,3.77,3.77,3.77,2,0,10
2006-07-19 13:00:00,1153314000,4.47,4.47,4.47,4.47,1,0,16
2006-07-24 11:00:00,1153738800,4.52,4.52,4.52,4.52,1,0,10
2006-07-24 15:00:00,1153753200,4.52,4.52,4.52,4.52,1,0,14
2006-07-26 11:00:00,1153911600,4.91,4.91,4.91,4.91,1,0,2
2006-08-08 10:00:00,1155031200,6.38,6.38,6.38,6.38,1,0,1
2006-08-08 13:00:00,1155042000,6.38,6.38,6.38,6.38,2,0,3
2006-08-09 10:00:00,1155117600,6.38,6.38,6.38,6.38,2,0,21
2006-08-10 10:00:00,1155204000,6.38,6.38,6.38,6.38,1,0,1
2006-08-11 16:00:00,1155312000,6.38,6.38,6.38,6.38,1,0,1
2006-08-18 14:00:00,1155909600,6.37,6.37,6.37,6.37,2,0,10
2006-08-31 12:00:00,1157025600,4.42,4.42,4.42,4.42,1,0,70
2006-09-11 14:00:00,1157983200,4.42,4.42,4.42,4.42,1,0,29
2006-09-11 16:00:00,1157990400,4.42,4.42,4.42,4.42,1,0,3
2006-11-23 16:00:00,1164297600,7.31,7.31,7.31,7.31,3,0,70
2006-12-04 11:00:00,1165230000,6.87,6.87,6.87,6.87,1,0,18
2006-12-06 16:00:00,1165420800,6.87,6.87,6.87,6.87,1,0,7
2006-12-15 15:00:00,1166194800,6.39,6.39,6.39,6.39,2,0,7
2007-01-15 11:00:00,1168858800,14.5,14.5,14.5,14.5,2,0,80
2007-01-16 11:00:00,1168945200,12.29,12.29,12.29,12.29,1,0,5
2007-01-31 15:00:00,1170255600,11.3,11.3,11.3,11.3,2,0,50
2007-02-01 16:00:00,1170345600,11.3,11.3,11.3,11.3,2,0,5
2007-02-01 17:00:00,1170349200,12.29,12.29,12.29,12.29,1,0,10
2007-02-02 12:00:00,1170417600,8.85,8.85,8.85,8.85,1,0,6
2007-02-02 15:00:00,1170428400,8.85,8.85,8.85,8.85,2,0,94
2007-02-05 13:00:00,1170680400,10.81,10.81,10.81,10.81,1,0,5
2007-02-05 15:00:00,1170687600,13.76,13.76,13.76,13.76,2,0,57
2007-02-09 12:00:00,1171022400,8.36,8.36,8.36,8.36,1,0,36
2007-02-15 16:00:00,1171555200,8.69,8.69,8.69,8.69,1,0,11
2007-02-26 15:00:00,1172502000,8.59,8.59,8.45,8.45,2,0,50
2007-02-26 16:00:00,1172505600,8.44,8.44,8.44,8.44,2,0,25
2007-03-06 15:00:00,1173193200,13.39,13.39,13.39,13.39,1,0,10
2007-03-12 13:00:00,1173704400,9.88,9.88,9.88,9.88,1,0,60
2007-03-16 10:00:00,1174039200,8.44,8.44,8.44,8.44,1,0,22
2007-03-27 15:00:00,1175007600,9.33,9.33,9.33,9.33,1,0,1
2007-03-27 16:00:00,1175011200,9.33,9.33,9.33,9.33,2,0,79
2007-04-12 11:00:00,1176375600,9.43,9.43,8.94,8.94,4,0,101
