datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-02-11 10:15:00,1613038500,12.1,12.4,11.16,11.59,1391,0,42409
2021-02-11 10:30:00,1613039400,11.59,12.19,11.5,12.15,682,1,17387
2021-02-11 10:45:00,1613040300,12.18,12.55,12.16,12.49,224,1,6118
2021-02-11 11:00:00,1613041200,12.46,12.92,12.27,12.9,206,1,5750
2021-02-11 11:15:00,1613042100,12.91,13.11,12.41,12.93,1333,1,42977
2021-02-11 11:30:00,1613043000,12.94,13.03,12.7,12.98,183,1,4911
2021-02-11 11:45:00,1613043900,13.0,13.0,12.8,12.83,83,1,1713
2021-02-11 12:00:00,1613044800,12.81,12.92,12.81,12.85,49,1,1149
2021-02-11 12:15:00,1613045700,12.86,12.98,12.83,12.96,62,1,1514
2021-02-11 12:30:00,1613046600,12.95,12.95,12.88,12.88,33,1,814
2021-02-11 12:45:00,1613047500,12.9,12.95,12.89,12.92,45,1,1041
2021-02-11 13:00:00,1613048400,12.94,12.94,12.88,12.88,29,1,505
2021-02-11 13:15:00,1613049300,12.88,12.88,12.77,12.81,47,1,1064
2021-02-11 13:30:00,1613050200,12.8,12.83,12.73,12.76,46,1,1150
2021-02-11 13:45:00,1613051100,12.76,12.8,12.41,12.74,511,1,2882
2021-02-11 14:00:00,1613052000,12.74,12.77,12.7,12.7,971,1,1456
2021-02-11 14:15:00,1613052900,12.7,12.7,12.45,12.56,1034,1,2344
2021-02-11 14:30:00,1613053800,12.56,12.63,12.45,12.45,47,1,784
2021-02-11 14:45:00,1613054700,12.45,12.46,12.23,12.23,76,1,1839
2021-02-11 15:00:00,1613055600,12.3,12.33,12.11,12.2,73,1,1486
2021-02-11 15:15:00,1613056500,12.25,12.33,12.22,12.22,56,1,1082
2021-02-11 15:30:00,1613057400,12.27,12.29,12.15,12.18,45,1,745
2021-02-11 15:45:00,1613058300,12.14,12.29,12.14,12.25,46,1,917
2021-02-11 16:00:00,1613059200,12.21,12.28,12.17,12.17,83,1,1785
