datetime,time,open,high,low,close,tick_volume,spread,real_volume
2021-02-11 10:15:00,1613038500,12.12,12.45,11.51,11.58,5146,0,5799700
2021-02-11 10:30:00,1613039400,11.58,12.2,11.5,12.19,4647,1,2265700
2021-02-11 10:45:00,1613040300,12.19,12.58,12.15,12.45,3799,1,2198100
2021-02-11 11:00:00,1613041200,12.46,12.94,12.28,12.83,3984,1,1566300
2021-02-11 11:15:00,1613042100,12.85,13.18,12.81,12.92,6119,1,2923900
2021-02-11 11:30:00,1613043000,12.95,13.05,12.63,12.99,1773,1,1719600
2021-02-11 11:45:00,1613043900,13.0,13.0,12.81,12.84,759,1,195400
2021-02-11 12:00:00,1613044800,12.85,12.93,12.8,12.85,662,1,210800
2021-02-11 12:15:00,1613045700,12.84,13.0,12.84,12.94,786,1,261300
2021-02-11 12:30:00,1613046600,12.93,12.94,12.88,12.9,405,1,94500
2021-02-11 12:45:00,1613047500,12.9,12.95,12.89,12.93,491,1,123500
2021-02-11 13:00:00,1613048400,12.93,12.93,12.88,12.89,459,1,107700
2021-02-11 13:15:00,1613049300,12.89,12.9,12.74,12.8,774,1,308000
2021-02-11 13:30:00,1613050200,12.79,12.85,12.74,12.78,477,1,133600
2021-02-11 13:45:00,1613051100,12.78,12.8,12.42,12.76,965,1,465900
2021-02-11 14:00:00,1613052000,12.75,12.79,12.71,12.72,596,1,146500
2021-02-11 14:15:00,1613052900,12.72,12.72,12.5,12.59,835,1,501800
2021-02-11 14:30:00,1613053800,12.55,12.65,12.43,12.46,1214,1,508100
2021-02-11 14:45:00,1613054700,12.45,12.5,12.21,12.3,1430,1,437000
2021-02-11 15:00:00,1613055600,12.3,12.38,12.1,12.22,1304,1,360500
2021-02-11 15:15:00,1613056500,12.22,12.38,12.21,12.28,923,1,187800
2021-02-11 15:30:00,1613057400,12.3,12.31,12.13,12.17,653,1,162000
2021-02-11 15:45:00,1613058300,12.16,12.31,12.15,12.25,990,1,336400
2021-02-11 16:00:00,1613059200,12.24,12.3,12.15,12.2,1144,1,389200
2021-02-11 16:15:00,1613060100,12.2,12.44,12.19,12.29,1242,1,348600
2021-02-11 16:30:00,1613061000,12.3,12.7,12.29,12.59,1814,1,641900
2021-02-11 16:45:00,1613061900,12.6,12.61,12.17,12.23,1367,1,606000
2021-02-11 17:00:00,1613062800,12.23,12.3,12.22,12.28,815,1,380200
2021-02-11 17:15:00,1613063700,12.28,12.45,12.2,12.22,1213,1,635700
2021-02-11 17:30:00,1613064600,12.2,12.25,11.96,12.16,1510,1,1175700
2021-02-11 17:45:00,1613065500,12.16,12.23,12.1,12.21,806,1,827700
2021-02-11 18:00:00,1613066400,11.9,11.9,11.9,11.9,243,0,1820700
2021-02-12 10:00:00,1613124000,11.92,11.92,11.72,11.8,187,0,128900
2021-02-12 10:15:00,1613124900,11.8,11.93,11.61,11.9,112,1,87900
2021-02-12 10:30:00,1613125800,11.9,11.9,11.65,11.65,238,1,126600
2021-02-12 10:45:00,1613126700,11.72,11.79,11.5,11.53,325,1,125300
2021-02-12 11:00:00,1613127600,11.52,11.59,11.51,11.56,171,1,86600
2021-02-12 11:15:00,1613128500,11.56,11.65,11.55,11.56,382,1,189700
2021-02-12 11:30:00,1613129400,11.56,11.63,11.51,11.57,469,1,175400
2021-02-12 11:45:00,1613130300,11.57,11.75,11.56,11.6,677,1,621800
2021-02-12 12:00:00,1613131200,11.6,11.65,11.42,11.51,300,1,117100
2021-02-12 12:15:00,1613132100,11.51,11.65,11.45,11.5,261,1,71100
2021-02-12 12:30:00,1613133000,11.5,11.57,11.43,11.54,345,1,94200
2021-02-12 12:45:00,1613133900,11.52,11.57,11.5,11.57,363,1,79900
2021-02-12 13:00:00,1613134800,11.55,11.58,11.46,11.48,344,1,116100
2021-02-12 13:15:00,1613135700,11.48,11.5,11.38,11.44,412,1,211500
2021-02-12 13:30:00,1613136600,11.43,11.45,11.24,11.35,440,1,176900
2021-02-12 13:45:00,1613137500,11.35,11.42,11.24,11.35,474,1,275200
2021-02-12 14:00:00,1613138400,11.33,11.35,11.22,11.24,997,1,297400
2021-02-12 14:15:00,1613139300,11.24,11.35,11.16,11.27,758,1,200700
2021-02-12 14:30:00,1613140200,11.26,11.42,11.25,11.32,631,1,129000
2021-02-12 14:45:00,1613141100,11.32,11.45,11.26,11.43,758,1,232700
2021-02-12 15:00:00,1613142000,11.42,11.43,11.32,11.35,548,1,111600
2021-02-12 15:15:00,1613142900,11.33,11.4,11.3,11.32,521,1,96100
2021-02-12 15:30:00,1613143800,11.34,11.37,11.3,11.32,559,1,111000
2021-02-12 15:45:00,1613144700,11.35,11.4,11.3,11.34,595,1,121900
2021-02-12 16:00:00,1613145600,11.33,11.49,11.3,11.42,631,1,138900
2021-02-12 16:15:00,1613146500,11.41,11.49,11.33,11.35,553,1,130800
2021-02-12 16:30:00,1613147400,11.32,11.34,11.11,11.23,848,1,338700
2021-02-12 16:45:00,1613148300,11.22,11.35,11.22,11.3,660,1,144800
2021-02-12 17:00:00,1613149200,11.31,11.39,11.26,11.39,729,1,163400
2021-02-12 17:15:00,1613150100,11.38,11.5,11.25,11.34,1060,1,435700
2021-02-12 17:30:00,1613151000,11.33,11.43,11.27,11.35,959,1,618200
2021-02-12 17:45:00,1613151900,11.34,11.61,11.34,11.59,600,1,298500
2021-02-12 18:00:00,1613152800,11.59,11.59,11.59,11.59,47,0,402300
2021-02-17 13:00:00,1613566800,11.6,11.6,11.45,11.5,53,0,16200
2021-02-17 13:15:00,1613567700,11.5,11.59,11.35,11.41,132,1,41200
2021-02-17 13:30:00,1613568600,11.41,11.45,11.27,11.27,172,1,67200
2021-02-17 13:45:00,1613569500,11.27,11.4,11.24,11.35,143,1,36200
2021-02-17 14:00:00,1613570400,11.3,11.35,11.25,11.31,152,1,23600
2021-02-17 14:15:00,1613571300,11.3,11.34,11.26,11.29,157,1,25700
2021-02-17 14:30:00,1613572200,11.27,11.31,11.26,11.27,243,1,44400
2021-02-17 14:45:00,1613573100,11.27,11.33,11.26,11.27,304,1,85600
2021-02-17 15:00:00,1613574000,11.27,11.3,11.21,11.25,305,1,64800
2021-02-17 15:15:00,1613574900,11.24,11.25,11.15,11.16,504,1,140100
2021-02-17 15:30:00,1613575800,11.16,11.24,11.11,11.13,502,1,420500
2021-02-17 15:45:00,1613576700,11.13,11.2,11.12,11.12,441,1,157300
2021-02-17 16:00:00,1613577600,11.12,11.18,11.11,11.17,381,1,88000
