datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-10 12:45:00,1152535500,0.78,0.78,0.78,0.78,1,0,70
2006-07-10 15:30:00,1152545400,0.75,0.75,0.75,0.75,1,0,17
2006-07-13 10:00:00,1152784800,0.86,0.86,0.86,0.86,1,0,10
2006-07-18 15:45:00,1153237500,0.86,0.86,0.86,0.86,1,0,21
2006-07-26 12:15:00,1153916100,0.79,0.79,0.79,0.79,1,0,9
2006-07-27 11:15:00,1153998900,0.79,0.79,0.79,0.79,1,0,1
2006-07-27 11:45:00,1154000700,0.81,0.81,0.81,0.81,1,0,92
2006-07-27 12:00:00,1154001600,0.99,0.99,0.99,0.99,1,0,8
2006-07-28 11:30:00,1154086200,0.81,0.81,0.81,0.81,1,0,50
2006-08-03 11:15:00,1154603700,0.99,1.0,0.99,1.0,2,0,71
2006-08-07 16:30:00,1154968200,0.83,0.83,0.83,0.83,1,0,16
2006-08-08 12:45:00,1155041100,0.87,0.87,0.87,0.87,2,0,99
2006-08-08 15:30:00,1155051000,0.87,0.87,0.87,0.87,1,0,16
2006-08-09 16:30:00,1155141000,1.0,1.0,1.0,1.0,2,0,69
2006-08-16 11:15:00,1155726900,1.0,1.0,1.0,1.0,1,0,9
2006-08-29 10:00:00,1156845600,0.91,0.91,0.91,0.91,1,0,9
2006-08-29 10:30:00,1156847400,0.91,0.91,0.9,0.9,3,0,101
2006-08-29 13:00:00,1156856400,0.96,0.96,0.96,0.96,4,0,139
2006-08-29 14:00:00,1156860000,0.9,0.9,0.84,0.84,2,0,17
2006-08-29 15:30:00,1156865400,0.86,0.86,0.86,0.86,1,0,23
2006-09-04 11:30:00,1157369400,1.05,1.05,1.05,1.05,1,0,51
2006-09-15 11:00:00,1158318000,1.05,1.05,1.05,1.05,2,0,100
2006-10-18 13:30:00,1161178200,1.1,1.1,1.1,1.1,1,0,1
2006-10-18 15:30:00,1161185400,1.1,1.1,1.1,1.1,1,0,78
2006-10-24 15:00:00,1161702000,1.1,1.1,1.1,1.1,1,0,77
2006-10-27 16:30:00,1161966600,1.28,1.28,1.28,1.28,1,0,8
2006-10-30 14:15:00,1162217700,1.43,1.43,1.43,1.43,1,0,12
2006-10-30 16:30:00,1162225800,1.15,1.15,1.15,1.15,1,0,6
2006-10-31 14:15:00,1162304100,1.19,1.19,1.19,1.19,1,0,13
2006-11-01 14:15:00,1162390500,1.3900000000000001,1.3900000000000001,1.3900000000000001,1.3900000000000001,1,0,53
