datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-06 15:30:00,1152199800,0.39,0.39,0.39,0.39,1,0,1900
2006-07-06 16:45:00,1152204300,0.37,0.37,0.37,0.37,1,0,100
2006-07-10 11:00:00,1152529200,0.37,0.37,0.37,0.37,1,0,200
2006-07-10 11:45:00,1152531900,0.37,0.37,0.37,0.37,2,0,2000
2006-07-10 16:00:00,1152547200,0.39,0.39,0.39,0.39,1,0,1000
2006-07-12 13:00:00,1152709200,0.39,0.39,0.39,0.39,1,0,1000
2006-07-13 10:00:00,1152784800,0.39,0.39,0.39,0.39,1,0,100
2006-07-14 12:15:00,1152879300,0.37,0.37,0.37,0.37,1,0,1400
2006-07-14 12:30:00,1152880200,0.37,0.37,0.37,0.37,1,0,400
2006-07-14 13:45:00,1152884700,0.37,0.37,0.37,0.37,1,0,2400
2006-07-18 11:00:00,1153220400,0.39,0.39,0.39,0.39,1,0,1700
2006-07-18 11:15:00,1153221300,0.39,0.39,0.39,0.39,1,0,700
2006-07-18 16:30:00,1153240200,0.39,0.39,0.39,0.39,2,0,900
2006-07-18 16:45:00,1153241100,0.41,0.41,0.41,0.41,1,0,100
2006-07-26 12:15:00,1153916100,0.36,0.36,0.36,0.36,7,0,11500
2006-07-26 12:30:00,1153917000,0.39,0.39,0.39,0.39,1,0,300
2006-07-26 13:00:00,1153918800,0.37,0.37,0.37,0.37,1,0,1000
2006-07-26 13:30:00,1153920600,0.37,0.37,0.37,0.37,1,0,1300
2006-07-26 15:15:00,1153926900,0.37,0.37,0.37,0.37,1,0,100
2006-07-26 16:45:00,1153932300,0.37,0.37,0.37,0.37,1,0,1000
2006-07-27 11:15:00,1153998900,0.37,0.37,0.37,0.37,1,0,7100
2006-07-27 11:30:00,1153999800,0.39,0.39,0.39,0.39,1,0,1000
2006-07-27 11:45:00,1154000700,0.38,0.38,0.37,0.37,3,0,1100
2006-07-27 12:15:00,1154002500,0.37,0.37,0.37,0.37,1,0,1900
2006-07-28 11:00:00,1154084400,0.37,0.37,0.37,0.37,2,0,3200
2006-07-31 12:30:00,1154349000,0.44,0.44,0.44,0.44,1,0,100
