datetime,time,open,high,low,close,tick_volume,spread,real_volume
2006-07-06,1152144000,0.49,0.49,0.48,0.48,13,0,15000
2006-07-07,1152230400,0.5,0.5,0.5,0.5,1,0,200
2006-07-10,1152489600,0.48,0.48,0.48,0.48,6,0,44000
2006-07-11,1152576000,0.48,0.48,0.48,0.48,2,0,16700
2006-07-13,1152748800,0.5,0.5,0.48,0.48,5,0,45600
2006-07-14,1152835200,0.48,0.48,0.48,0.48,2,0,27600
2006-07-18,1153180800,0.48,0.48,0.48,0.48,1,0,600
2006-07-19,1153267200,0.48,0.49,0.48,0.48,10,0,43900
2006-07-20,1153353600,0.48,0.49,0.48,0.48,9,0,122300
2006-07-21,1153440000,0.5,0.51,0.5,0.51,33,0,15000
2006-07-25,1153785600,0.48,0.48,0.48,0.48,4,0,12000
2006-07-26,1153872000,0.48,0.48,0.48,0.48,3,0,3700
2006-07-27,1153958400,0.48,0.48,0.48,0.48,8,0,16900
2006-07-28,1154044800,0.48,0.51,0.48,0.51,5,0,7800
2006-07-31,1154304000,0.51,0.51,0.51,0.51,39,0,125000
2006-08-01,1154390400,0.48,0.48,0.48,0.48,1,0,9000
2006-08-02,1154476800,0.48,0.48,0.48,0.48,4,0,6800
2006-08-03,1154563200,0.49,0.49,0.48,0.48,2,0,13300
2006-08-04,1154649600,0.51,0.51,0.51,0.51,2,0,4800
2006-08-07,1154908800,0.51,0.51,0.51,0.51,13,0,5700
2006-08-08,1154995200,0.51,0.51,0.51,0.51,3,0,11600
2006-08-09,1155081600,0.51,0.51,0.51,0.51,2,0,1000
2006-08-10,1155168000,0.52,0.55,0.52,0.55,11,0,108500
2006-08-11,1155254400,0.55,0.55,0.53,0.55,12,0,4000
2006-08-14,1155513600,0.53,0.53,0.51,0.51,10,0,15200
2006-08-15,1155600000,0.52,0.52,0.52,0.52,1,0,1000
2006-08-16,1155686400,0.53,0.53,0.53,0.53,6,0,6100
2006-08-17,1155772800,0.53,0.53,0.53,0.53,2,0,400
2006-08-18,1155859200,0.53,0.53,0.53,0.53,5,0,900
2006-08-21,1156118400,0.52,0.53,0.52,0.53,6,0,3900
2006-08-22,1156204800,0.51,0.53,0.51,0.53,11,0,101000
2006-08-24,1156377600,0.53,0.53,0.53,0.53,1,0,1400
2006-08-25,1156464000,0.53,0.53,0.53,0.53,20,0,6000
2006-08-28,1156723200,0.53,0.53,0.53,0.53,8,0,2800
2006-08-29,1156809600,0.53,0.55,0.53,0.55,18,0,11600
2006-08-30,1156896000,0.55,0.6,0.55,0.6,15,0,30100
2006-08-31,1156982400,0.6,0.6,0.55,0.58,4,0,6600
2006-09-01,1157068800,0.6,0.6,0.6,0.6,31,0,71600
2006-09-04,1157328000,0.6,0.61,0.6,0.61,6,0,12600
2006-09-05,1157414400,0.62,0.62,0.62,0.62,5,0,3000
2006-09-08,1157673600,0.61,0.62,0.61,0.62,11,0,12100
2006-09-11,1157932800,0.67,0.67,0.62,0.62,8,0,3400
2006-09-13,1158105600,0.65,0.65,0.61,0.64,17,0,19700
2006-09-14,1158192000,0.64,0.64,0.61,0.61,4,0,4700
2006-09-15,1158278400,0.61,0.61,0.61,0.61,3,0,14200
2006-09-18,1158537600,0.63,0.63,0.62,0.62,3,0,3000
2006-09-19,1158624000,0.62,0.62,0.61,0.61,45,0,36300
2006-09-20,1158710400,0.62,0.62,0.55,0.55,8,0,96000
2006-09-21,1158796800,0.62,0.62,0.61,0.62,18,0,45400
2006-09-22,1158883200,0.62,0.62,0.62,0.62,1,0,1000
2006-09-27,1159315200,0.62,0.63,0.62,0.63,9,0,3300
2006-09-28,1159401600,0.62,0.62,0.62,0.62,3,0,1600
2006-10-03,1159833600,0.6,0.62,0.6,0.62,4,0,83200
2006-10-04,1159920000,0.62,0.62,0.62,0.62,1,0,400
2006-10-06,1160092800,0.62,0.63,0.62,0.63,26,0,8300
2006-10-09,1160352000,0.63,0.64,0.63,0.64,15,0,6900
2006-10-10,1160438400,0.64,0.64,0.64,0.64,3,0,3900
2006-10-11,1160524800,0.6,0.64,0.6,0.64,7,0,3400
2006-10-13,1160697600,0.64,0.64,0.61,0.63,6,0,10200
2006-10-16,1160956800,0.6,0.62,0.6,0.62,5,0,700
2006-10-17,1161043200,0.63,0.63,0.63,0.63,2,0,74300
2006-10-18,1161129600,0.61,0.61,0.61,0.61,4,0,2300
2006-10-19,1161216000,0.64,0.64,0.64,0.64,15,0,7900
2006-10-20,1161302400,0.64,0.64,0.62,0.62,2,0,400
2006-10-23,1161561600,0.63,0.64,0.63,0.64,8,0,15900
2006-10-24,1161648000,0.64,0.67,0.64,0.67,17,0,42500
2006-10-25,1161734400,0.67,0.67,0.67,0.67,6,0,21100
2006-10-26,1161820800,0.67,0.67,0.67,0.67,16,0,22600
2006-10-27,1161907200,0.67,0.74,0.67,0.74,12,0,9200
2006-10-30,1162166400,0.81,0.83,0.79,0.79,15,0,65600
