datetime,time,open,high,low,close,tick_volume,spread,real_volume
2015-06-05 10:15:00,1433499300,11.39,11.59,11.31,11.54,2840,1,6561000
2015-06-05 10:30:00,1433500200,11.54,11.81,11.52,11.73,1086,1,1351300
2015-06-05 10:45:00,1433501100,11.73,11.74,11.55,11.69,551,1,517200
2015-06-05 11:00:00,1433502000,11.69,11.77,11.68,11.75,457,1,1009300
2015-06-05 11:15:00,1433502900,11.77,11.85,11.72,11.79,609,1,632100
2015-06-05 11:30:00,1433503800,11.8,11.81,11.72,11.73,314,1,164100
2015-06-05 11:45:00,1433504700,11.73,11.76,11.56,11.64,742,1,347800
2015-06-05 12:00:00,1433505600,11.64,11.71,11.57,11.63,781,1,316600
2015-06-05 12:15:00,1433506500,11.63,11.64,11.56,11.59,596,1,316800
2015-06-05 12:30:00,1433507400,11.59,11.69,11.58,11.6,624,1,296500
2015-06-05 12:45:00,1433508300,11.6,11.63,11.59,11.61,454,1,124500
2015-06-05 13:00:00,1433509200,11.62,11.63,11.55,11.58,479,1,185100
2015-06-05 13:15:00,1433510100,11.57,11.63,11.56,11.6,491,1,195200
2015-06-05 13:30:00,1433511000,11.59,11.61,11.59,11.59,306,1,104500
2015-06-05 13:45:00,1433511900,11.59,11.62,11.59,11.6,428,1,231100
2015-06-05 14:00:00,1433512800,11.59,11.64,11.59,11.6,393,1,110300
2015-06-05 14:15:00,1433513700,11.6,11.62,11.59,11.59,406,1,100700
2015-06-05 14:30:00,1433514600,11.59,11.61,11.59,11.6,427,1,148000
2015-06-05 14:45:00,1433515500,11.59,11.63,11.59,11.59,644,1,243900
2015-06-05 15:00:00,1433516400,11.59,11.64,11.59,11.59,474,1,162400
2015-06-05 15:15:00,1433517300,11.6,11.71,11.59,11.64,1110,1,443400
2015-06-05 15:30:00,1433518200,11.62,11.7,11.59,11.59,807,1,357400
2015-06-05 15:45:00,1433519100,11.6,11.68,11.59,11.63,712,1,214400
2015-06-05 16:00:00,1433520000,11.61,11.65,11.61,11.64,856,1,182200
2015-06-05 16:15:00,1433520900,11.64,11.66,11.63,11.66,885,1,256900
2015-06-05 16:30:00,1433521800,11.65,11.66,11.64,11.65,798,1,170800
2015-06-05 16:45:00,1433522700,11.65,11.68,11.62,11.66,493,1,280600
2015-06-05 17:00:00,1433523600,11.64,11.64,11.64,11.64,94,1,507300
2015-06-05 17:45:00,1433526300,11.64,11.64,11.64,11.64,1,0,5000
2015-06-08 10:00:00,1433757600,11.82,11.88,11.75,11.75,134,1,118700
2015-06-08 10:15:00,1433758500,11.75,11.77,11.67,11.67,67,0,67600
2015-06-08 10:30:00,1433759400,11.67,11.71,11.62,11.62,71,1,37500
2015-06-08 10:45:00,1433760300,11.61,11.64,11.55,11.56,74,1,42400
2015-06-08 11:00:00,1433761200,11.55,11.56,11.51,11.56,47,1,20900
2015-06-08 11:15:00,1433762100,11.55,11.64,11.51,11.6,96,1,96400
2015-06-08 11:30:00,1433763000,11.6,11.61,11.55,11.57,67,1,12800
2015-06-08 11:45:00,1433763900,11.57,11.63,11.55,11.61,103,1,15500
2015-06-08 12:00:00,1433764800,11.61,11.64,11.59,11.63,94,1,14400
2015-06-08 12:15:00,1433765700,11.63,11.64,11.6,11.62,120,1,59400
2015-06-08 12:30:00,1433766600,11.62,11.64,11.58,11.6,92,1,11800
2015-06-08 12:45:00,1433767500,11.6,11.63,11.56,11.59,94,1,18400
2015-06-08 13:00:00,1433768400,11.59,11.59,11.51,11.54,165,1,25800
2015-06-08 13:15:00,1433769300,11.54,11.59,11.51,11.55,191,1,152700
2015-06-08 13:30:00,1433770200,11.55,11.57,11.54,11.55,69,1,7500
2015-06-08 13:45:00,1433771100,11.55,11.55,11.52,11.54,67,1,7100
2015-06-08 14:00:00,1433772000,11.54,11.54,11.51,11.54,190,1,37400
2015-06-08 14:15:00,1433772900,11.53,11.54,11.51,11.54,134,1,32900
2015-06-08 14:30:00,1433773800,11.53,11.54,11.52,11.54,113,1,67700
2015-06-08 14:45:00,1433774700,11.53,11.54,11.5,11.5,153,1,45800
2015-06-08 15:00:00,1433775600,11.51,11.51,11.45,11.47,135,1,42300
2015-06-08 15:15:00,1433776500,11.47,11.47,11.43,11.44,324,1,175300
2015-06-08 15:30:00,1433777400,11.44,11.45,11.43,11.44,198,1,160600
2015-06-08 15:45:00,1433778300,11.44,11.48,11.43,11.44,78,1,64700
2015-06-08 16:00:00,1433779200,11.45,11.51,11.44,11.51,215,1,29100
2015-06-08 16:15:00,1433780100,11.5,11.54,11.43,11.54,381,1,94900
2015-06-08 16:30:00,1433781000,11.53,11.54,11.5,11.5,218,1,37900
2015-06-08 16:45:00,1433781900,11.5,11.54,11.48,11.52,82,1,18200
2015-06-08 17:00:00,1433782800,11.54,11.54,11.54,11.54,32,0,132600
2015-06-09 10:00:00,1433844000,11.54,11.58,11.44,11.51,44,1,15600
2015-06-09 10:15:00,1433844900,11.5,11.54,11.46,11.46,65,1,12000
2015-06-09 10:30:00,1433845800,11.46,11.48,11.43,11.44,68,1,13700
2015-06-09 10:45:00,1433846700,11.46,11.5,11.43,11.49,65,0,14700
2015-06-09 11:00:00,1433847600,11.5,11.51,11.44,11.5,68,1,17800
2015-06-09 11:15:00,1433848500,11.49,11.52,11.48,11.48,207,1,489500
2015-06-09 11:30:00,1433849400,11.48,11.53,11.48,11.5,128,1,91200
2015-06-09 11:45:00,1433850300,11.5,11.51,11.48,11.48,135,1,29700
2015-06-09 12:00:00,1433851200,11.5,11.51,11.48,11.49,70,1,10300
2015-06-09 12:15:00,1433852100,11.5,11.51,11.48,11.49,128,1,16900
2015-06-09 12:30:00,1433853000,11.5,11.51,11.48,11.48,99,1,45200
2015-06-09 12:45:00,1433853900,11.49,11.51,11.48,11.5,88,1,24300
2015-06-09 13:00:00,1433854800,11.5,11.51,11.49,11.49,50,1,11200
2015-06-09 13:15:00,1433855700,11.5,11.5,11.49,11.49,164,1,109900
2015-06-09 13:30:00,1433856600,11.5,11.5,11.48,11.5,43,1,8200
2015-06-09 13:45:00,1433857500,11.5,11.5,11.48,11.49,48,1,6400
2015-06-09 14:00:00,1433858400,11.49,11.5,11.48,11.5,22,1,3300
2015-06-09 14:15:00,1433859300,11.5,11.5,11.44,11.44,96,1,89300
2015-06-09 14:30:00,1433860200,11.45,11.46,11.43,11.46,247,1,39300
2015-06-09 14:45:00,1433861100,11.47,11.47,11.32,11.39,168,1,112000
2015-06-09 15:00:00,1433862000,11.37,11.46,11.37,11.41,106,1,503900
2015-06-09 15:15:00,1433862900,11.42,11.43,11.39,11.39,43,1,27000
2015-06-09 15:30:00,1433863800,11.4,11.41,11.39,11.4,142,1,44200
2015-06-09 15:45:00,1433864700,11.4,11.43,11.39,11.41,138,1,22500
2015-06-09 16:00:00,1433865600,11.41,11.43,11.4,11.42,94,1,151500
2015-06-09 16:15:00,1433866500,11.42,11.46,11.4,11.42,116,1,19700
2015-06-09 16:30:00,1433867400,11.42,11.47,11.4,11.4,272,1,54900
2015-06-09 16:45:00,1433868300,11.41,11.44,11.4,11.4,79,1,27400
2015-06-09 17:00:00,1433869200,11.43,11.43,11.43,11.43,35,0,149800
2015-06-10 10:00:00,1433930400,11.48,11.55,11.44,11.51,29,1,85300
2015-06-10 10:15:00,1433931300,11.51,11.55,11.5,11.53,27,1,10200
2015-06-10 10:30:00,1433932200,11.54,11.56,11.51,11.56,49,1,16900
2015-06-10 10:45:00,1433933100,11.55,11.56,11.54,11.54,42,1,11900
2015-06-10 11:00:00,1433934000,11.54,11.55,11.51,11.51,29,1,6400
2015-06-10 11:15:00,1433934900,11.51,11.55,11.51,11.54,53,1,26600
2015-06-10 11:30:00,1433935800,11.54,11.56,11.48,11.56,54,0,35200
2015-06-10 11:45:00,1433936700,11.56,11.57,11.54,11.55,32,1,31400
2015-06-10 12:00:00,1433937600,11.55,11.56,11.55,11.55,12,1,9800
2015-06-10 12:15:00,1433938500,11.55,11.56,11.55,11.56,9,1,900
2015-06-10 12:30:00,1433939400,11.56,11.57,11.55,11.55,12,1,3100
2015-06-10 12:45:00,1433940300,11.55,11.56,11.55,11.55,9,1,900
2015-06-10 13:00:00,1433941200,11.55,11.58,11.55,11.58,29,1,5000
2015-06-10 13:15:00,1433942100,11.57,11.64,11.57,11.64,36,1,24600
2015-06-10 13:30:00,1433943000,11.63,11.67,11.63,11.65,28,1,22100
2015-06-10 13:45:00,1433943900,11.64,11.74,11.64,11.72,64,1,64500
2015-06-10 14:00:00,1433944800,11.72,11.72,11.64,11.68,53,1,50700
2015-06-10 14:15:00,1433945700,11.67,11.68,11.65,11.66,24,1,3500
2015-06-10 14:30:00,1433946600,11.67,11.72,11.66,11.7,159,1,66900
2015-06-10 14:45:00,1433947500,11.69,11.72,11.67,11.72,54,1,9400
2015-06-10 15:00:00,1433948400,11.72,11.75,11.7,11.71,38,1,8000
2015-06-10 15:15:00,1433949300,11.7,11.72,11.69,11.72,27,1,6500
2015-06-10 15:30:00,1433950200,11.71,11.75,11.7,11.72,50,1,20500
2015-06-10 15:45:00,1433951100,11.7,11.74,11.7,11.72,61,1,14700
2015-06-10 16:00:00,1433952000,11.73,11.78,11.71,11.78,72,1,89000
2015-06-10 16:15:00,1433952900,11.73,11.79,11.72,11.72,27,1,5200
2015-06-10 16:30:00,1433953800,11.72,11.73,11.71,11.73,22,1,2900
2015-06-10 16:45:00,1433954700,11.72,11.75,11.72,11.72,18,1,9400
2015-06-10 17:00:00,1433955600,11.72,11.72,11.72,11.72,19,0,34500
2015-06-11 10:00:00,1434016800,11.73,11.73,11.72,11.72,20,1,47600
2015-06-11 10:15:00,1434017700,11.72,11.79,11.72,11.79,12,1,4700
2015-06-11 10:30:00,1434018600,11.79,11.85,11.79,11.81,34,1,26700
2015-06-11 10:45:00,1434019500,11.82,11.87,11.77,11.77,22,1,44300
2015-06-11 11:00:00,1434020400,11.74,11.77,11.59,11.74,57,1,26700
2015-06-11 11:15:00,1434021300,11.72,11.72,11.69,11.7,38,1,16200
2015-06-11 11:30:00,1434022200,11.75,11.75,11.7,11.75,31,1,10000
2015-06-11 11:45:00,1434023100,11.72,11.74,11.7,11.71,57,1,59000
2015-06-11 12:00:00,1434024000,11.72,11.74,11.72,11.74,19,1,13200
2015-06-11 12:15:00,1434024900,11.72,11.74,11.72,11.72,37,1,24800
2015-06-11 12:30:00,1434025800,11.73,11.89,11.72,11.73,53,1,34100
2015-06-11 12:45:00,1434026700,11.72,11.72,11.72,11.72,23,1,18400
2015-06-11 13:00:00,1434027600,11.72,11.73,11.72,11.72,15,1,11800
2015-06-11 13:15:00,1434028500,11.72,11.73,11.72,11.73,29,1,22500
2015-06-11 13:30:00,1434029400,11.72,11.77,11.72,11.72,9,1,14000
2015-06-11 13:45:00,1434030300,11.77,11.77,11.73,11.73,6,1,4500
2015-06-11 14:00:00,1434031200,11.73,11.74,11.72,11.73,26,1,46000
