datetime,time,open,high,low,close,tick_volume,spread,real_volume
2017-08-28 13:45:00,1503927900,9.99,9.99,9.99,9.99,1,1,30
2017-10-16 10:15:00,1508148900,14.14,14.14,14.14,14.14,1,1,10
2017-11-06 17:00:00,1509987600,4.5,4.5,4.5,4.5,3,1,60
2017-11-09 10:00:00,1510221600,7.79,7.79,7.79,7.79,1,1,9
2017-11-09 11:30:00,1510227000,6.5,6.5,6.5,6.5,3,1,10
2017-11-09 16:45:00,1510245900,7.79,7.79,7.79,7.79,6,1,38
2017-11-13 13:00:00,1510578000,5.51,5.51,5.51,5.51,4,1,50
2018-01-17 13:15:00,1516194900,6.01,6.01,6.01,6.01,1,1,50
2018-02-08 15:45:00,1518104700,6.01,6.01,6.01,6.01,3,1,75
2018-02-15 10:30:00,1518690600,7.5,7.5,7.5,7.5,2,1,50
2018-02-20 10:30:00,1519122600,5.01,5.01,5.01,5.01,2,1,5
2018-02-21 13:45:00,1519220700,5.99,5.99,5.99,5.99,1,1,1
2018-02-22 10:45:00,1519296300,5.01,5.01,5.01,5.01,2,1,5
2018-02-26 12:15:00,1519647300,6.01,6.01,6.01,6.01,2,1,50
2018-02-26 12:30:00,1519648200,6.01,6.01,6.01,6.01,1,1,1
2018-03-01 14:15:00,1519913700,6.03,6.03,6.03,6.03,1,1,1
2018-03-01 14:30:00,1519914600,6.02,6.02,6.02,6.02,2,1,2
2018-03-19 10:30:00,1521455400,6.02,6.02,6.02,6.02,2,1,50
2018-04-12 17:00:00,1523552400,5.95,5.95,5.95,5.95,1,1,1
2018-04-13 12:15:00,1523621700,5.28,5.28,5.28,5.28,1,1,50
2018-04-25 16:00:00,1524672000,7.08,7.08,7.08,7.08,5,1,72
2018-05-22 16:00:00,1527004800,6.0,6.0,6.0,6.0,1,1,25
2018-06-19 14:45:00,1529419500,4.93,4.93,4.93,4.93,1,1,14
2018-06-20 17:00:00,1529514000,4.5,4.5,4.5,4.5,2,1,43
2018-06-27 12:15:00,1530101700,4.79,4.79,4.79,4.79,1,1,3
2018-06-28 11:45:00,1530186300,4.35,4.35,4.35,4.35,1,1,10
2018-06-29 16:00:00,1530288000,4.5,4.5,4.5,4.5,2,1,3
2018-07-10 15:00:00,1531234800,4.5600000000000005,4.5600000000000005,4.5600000000000005,4.5600000000000005,1,1,1
2018-07-24 17:00:00,1532451600,6.9,6.9,6.9,6.9,1,1,14
2018-08-10 17:00:00,1533920400,6.0,6.0,6.0,6.0,2,1,8
2018-08-13 13:30:00,1534167000,6.0,6.0,6.0,6.0,1,1,2
2018-08-13 14:30:00,1534170600,5.5,5.5,5.5,5.5,1,1,10
2018-08-13 14:45:00,1534171500,5.21,5.21,5.21,5.21,4,1,22
2018-10-10 10:15:00,1539166500,4.51,4.51,4.51,4.51,2,1,40
2018-10-10 10:30:00,1539167400,4.51,4.51,4.51,4.51,2,1,30
2018-12-17 14:00:00,1545055200,4.99,4.99,4.99,4.99,1,198,2
2018-12-18 14:00:00,1545141600,4.99,4.99,4.99,4.99,1,84,2
2018-12-18 17:30:00,1545154200,4.99,4.99,4.99,4.99,1,598,20
2019-02-20 10:45:00,1550659500,6.4,6.4,6.4,6.4,2,0,30
2019-03-19 15:30:00,1553009400,6.5,6.5,6.5,6.5,2,349,20
2019-03-22 16:30:00,1553272200,6.5,6.5,6.5,6.5,1,598,13
2019-05-02 14:30:00,1556807400,6.31,6.31,6.31,6.31,1,0,3
2019-05-29 10:45:00,1559126700,5.5,5.5,5.5,5.5,1,498,3
2019-05-31 12:15:00,1559304900,6.0,6.0,6.0,6.0,1,248,1
2019-07-08 15:45:00,1562600700,5.5,5.5,5.5,5.5,1,598,20
2019-07-24 15:00:00,1563980400,5.1,5.1,5.1,5.1,3,0,30
2019-07-24 15:45:00,1563983100,6.1,6.1,6.1,6.1,1,1598,9
2019-08-01 12:00:00,1564660800,7.5,7.5,7.5,7.5,2,0,62
2019-08-19 13:15:00,1566220500,7.41,7.41,7.41,7.41,1,1499,25
2019-10-09 10:15:00,1570616100,7.5,7.5,7.5,7.5,1,498,50
2019-10-14 11:30:00,1571052600,8.0,8.0,8.0,8.0,1,189,15
2019-11-13 12:00:00,1573646400,10.0,10.0,10.0,10.0,1,398,5
2019-12-13 11:15:00,1576235700,11.03,11.03,11.03,11.03,5,0,65
2019-12-13 16:00:00,1576252800,12.47,12.47,12.47,12.47,2,0,6
2019-12-17 11:30:00,1576582200,12.47,12.47,12.47,12.47,3,0,80
2019-12-17 12:00:00,1576584000,12.45,12.45,12.45,12.45,1,15,1
