datetime,time,open,high,low,close,tick_volume,spread,real_volume
2019-07-23 10:15:00,1563876900,33.52,34.8,33.52,34.8,8,0,47
2019-07-23 10:30:00,1563877800,34.48,34.48,34.4,34.4,2,7,4
2019-07-23 10:45:00,1563878700,33.26,33.99,33.26,33.99,6,21,170
2019-07-23 11:00:00,1563879600,34.0,34.0,33.85,33.85,3,28,69
2019-07-23 11:15:00,1563880500,33.98,33.98,33.86,33.97,4,8,23
2019-07-23 11:30:00,1563881400,33.87,33.91,33.87,33.91,4,1,64
2019-07-23 11:45:00,1563882300,33.9,33.9,33.87,33.87,3,4,71
2019-07-23 12:00:00,1563883200,33.85,33.98,33.85,33.98,8,1,221
2019-07-23 12:15:00,1563884100,34.0,34.18,33.92,34.18,5,14,74
2019-07-23 12:45:00,1563885900,34.2,34.39,34.18,34.21,4,15,94
2019-07-23 13:00:00,1563886800,34.21,34.39,34.21,34.36,7,3,150
2019-07-23 13:15:00,1563887700,34.3,34.39,34.3,34.39,3,9,5
2019-07-23 13:30:00,1563888600,34.39,34.39,34.35,34.35,4,27,22
2019-07-23 13:45:00,1563889500,34.08,34.38,34.08,34.38,6,1,140
2019-07-23 14:00:00,1563890400,34.39,34.77,34.39,34.43,18,6,354
2019-07-23 14:15:00,1563891300,34.43,34.75,34.42,34.42,8,4,100
2019-07-23 14:30:00,1563892200,34.5,34.53,34.5,34.53,7,2,82
2019-07-23 14:45:00,1563893100,34.75,34.75,34.57,34.57,4,6,72
2019-07-23 15:00:00,1563894000,34.6,34.73,34.5,34.73,10,3,88
2019-07-23 15:15:00,1563894900,34.73,34.73,34.12,34.58,8,1,99
2019-07-23 15:30:00,1563895800,34.41,34.41,34.41,34.41,1,25,10
2019-07-23 15:45:00,1563896700,34.68,34.68,34.68,34.68,1,25,14
2019-07-23 16:00:00,1563897600,34.43,34.43,34.43,34.43,1,25,20
2019-07-23 16:15:00,1563898500,34.68,34.68,34.48,34.48,4,11,114
2019-07-23 16:30:00,1563899400,34.55,34.68,34.35,34.68,7,1,216
2019-07-23 16:45:00,1563900300,34.4,34.77,34.4,34.77,8,0,101
2019-07-23 17:00:00,1563901200,34.77,34.77,34.77,34.77,9,62,176
2019-07-23 17:45:00,1563903900,34.1,34.1,34.1,34.1,2,33,8
2019-07-24 10:00:00,1563962400,34.8,34.8,34.08,34.7,7,71,167
2019-07-24 10:15:00,1563963300,34.8,34.8,34.5,34.5,6,3,89
2019-07-24 10:30:00,1563964200,34.55,34.8,34.55,34.6,4,3,77
2019-07-24 10:45:00,1563965100,34.52,34.65,34.52,34.65,3,12,10
2019-07-24 11:00:00,1563966000,34.69,34.69,34.51,34.51,4,6,22
2019-07-24 11:15:00,1563966900,34.09,34.45,34.09,34.45,8,13,64
2019-07-24 11:45:00,1563968700,34.46,34.46,34.46,34.46,1,11,6
2019-07-24 12:15:00,1563970500,34.46,34.46,34.45,34.45,2,23,4
2019-07-24 12:30:00,1563971400,34.43,34.45,34.43,34.44,3,5,41
2019-07-24 12:45:00,1563972300,34.39,34.39,34.39,34.39,1,32,1
2019-07-24 13:30:00,1563975000,34.12,34.12,34.12,34.12,1,32,3
2019-07-24 13:45:00,1563975900,34.37,34.37,34.37,34.37,1,32,20
2019-07-24 14:00:00,1563976800,34.12,34.12,34.12,34.12,2,30,25
2019-07-24 14:15:00,1563977700,34.14,34.43,34.14,34.43,4,18,72
2019-07-24 14:30:00,1563978600,34.16,34.16,34.16,34.16,1,17,13
2019-07-24 14:45:00,1563979500,34.4,34.4,34.33,34.33,4,6,27
2019-07-24 15:00:00,1563980400,34.25,34.25,34.16,34.16,3,14,91
2019-07-24 15:30:00,1563982200,34.18,34.4,34.18,34.4,4,21,106
2019-07-24 15:45:00,1563983100,34.39,34.39,34.39,34.39,1,13,5
2019-07-24 16:00:00,1563984000,34.19,34.3,34.07,34.3,10,6,122
2019-07-24 16:15:00,1563984900,34.01,34.29,34.0,34.29,5,9,75
2019-07-24 16:30:00,1563985800,34.28,34.28,34.28,34.28,1,5,13
2019-07-24 16:45:00,1563986700,34.32,34.32,34.01,34.01,2,34,48
2019-07-24 17:00:00,1563987600,33.44,33.44,33.44,33.44,9,34,107
2019-07-24 17:45:00,1563990300,33.95,33.95,33.95,33.95,1,66,47
2019-07-25 10:00:00,1564048800,33.95,35.0,33.95,35.0,10,33,262
2019-07-25 10:15:00,1564049700,34.73,34.73,33.97,33.97,2,27,52
2019-07-25 10:30:00,1564050600,34.41,34.5,34.41,34.43,3,7,32
2019-07-25 10:45:00,1564051500,34.15,34.44,34.1,34.1,5,4,23
2019-07-25 11:00:00,1564052400,34.15,34.15,34.15,34.15,1,3,1
2019-07-25 11:15:00,1564053300,34.15,34.15,34.15,34.15,3,1,50
2019-07-25 11:30:00,1564054200,34.16,34.16,34.15,34.15,3,2,23
2019-07-25 11:45:00,1564055100,34.05,34.17,34.05,34.08,3,10,57
2019-07-25 12:00:00,1564056000,33.97,33.98,33.97,33.98,3,4,51
2019-07-25 12:15:00,1564056900,33.99,33.99,33.98,33.98,2,4,50
2019-07-25 12:30:00,1564057800,33.98,33.98,33.65,33.65,10,3,101
2019-07-25 12:45:00,1564058700,33.78,33.79,33.78,33.79,2,25,85
2019-07-25 13:00:00,1564059600,33.44,33.44,33.34,33.4,4,6,55
2019-07-25 13:15:00,1564060500,33.58,33.58,33.58,33.58,1,46,2
2019-07-25 13:45:00,1564062300,33.45,33.45,33.4,33.4,2,51,110
2019-07-25 14:00:00,1564063200,33.3,33.3,33.3,33.3,1,58,2
2019-07-25 14:15:00,1564064100,33.91,33.91,33.91,33.91,1,57,2
2019-07-25 14:30:00,1564065000,33.91,33.91,33.4,33.4,4,50,115
2019-07-25 14:45:00,1564065900,33.4,33.4,33.28,33.28,9,2,143
2019-07-25 15:00:00,1564066800,33.45,33.45,33.45,33.45,1,17,74
2019-07-25 15:30:00,1564068600,33.63,33.63,33.4,33.63,5,19,123
2019-07-25 15:45:00,1564069500,33.63,33.63,33.63,33.63,1,9,15
2019-07-25 16:00:00,1564070400,33.33,33.33,33.33,33.33,1,23,15
2019-07-25 16:30:00,1564072200,33.6,33.6,33.6,33.6,1,29,5
2019-07-25 16:45:00,1564073100,33.77,33.8,33.64,33.8,5,15,166
2019-07-25 17:00:00,1564074000,34.12,34.12,34.12,34.12,6,50,82
2019-07-26 10:00:00,1564135200,33.9,33.9,30.59,32.55,20,9,227
2019-07-26 10:15:00,1564136100,33.85,33.89,33.7,33.89,4,8,154
2019-07-26 10:30:00,1564137000,33.88,34.4,33.88,34.4,8,26,60
2019-07-26 10:45:00,1564137900,34.48,34.49,34.48,34.49,2,33,16
2019-07-26 11:00:00,1564138800,34.3,34.34,34.3,34.34,3,33,77
2019-07-26 11:15:00,1564139700,34.34,34.34,34.33,34.33,3,12,87
2019-07-26 11:30:00,1564140600,34.46,34.48,34.46,34.48,3,14,50
2019-07-26 11:45:00,1564141500,34.48,34.74,34.48,34.74,16,16,286
2019-07-26 12:00:00,1564142400,34.73,34.74,34.73,34.74,2,40,17
2019-07-26 12:15:00,1564143300,34.76,34.84,34.76,34.84,2,40,51
2019-07-26 12:30:00,1564144200,34.34,34.34,34.34,34.34,1,40,77
2019-07-26 12:45:00,1564145100,34.35,34.74,34.35,34.74,2,35,11
2019-07-26 13:15:00,1564146900,34.7,34.7,34.7,34.7,2,35,35
2019-07-26 13:30:00,1564147800,34.35,34.75,34.35,34.75,3,40,96
2019-07-26 13:45:00,1564148700,34.79,34.81,34.79,34.81,5,45,116
2019-07-26 14:00:00,1564149600,34.35,34.35,34.35,34.35,22,35,49
2019-07-26 14:15:00,1564150500,34.35,34.8,34.35,34.8,28,4,32
2019-07-26 14:30:00,1564151400,34.87,34.87,34.87,34.87,2,13,90
2019-07-26 14:45:00,1564152300,34.85,34.87,34.8,34.87,3,10,104
2019-07-26 15:00:00,1564153200,34.85,34.85,34.8,34.8,2,16,99
2019-07-26 15:15:00,1564154100,34.9,34.9,34.9,34.9,3,20,14
2019-07-26 15:30:00,1564155000,34.98,35.0,34.98,35.0,5,7,150
2019-07-26 15:45:00,1564155900,34.96,35.15,34.96,35.15,4,20,67
2019-07-26 16:00:00,1564156800,35.21,35.21,35.11,35.11,3,11,85
2019-07-26 16:15:00,1564157700,35.04,35.04,35.04,35.04,3,18,36
2019-07-26 16:30:00,1564158600,35.25,35.32,35.04,35.32,6,2,165
2019-07-26 16:45:00,1564159500,35.31,35.31,35.1,35.18,7,13,198
2019-07-26 17:00:00,1564160400,34.7,34.7,34.7,34.7,8,0,147
2019-07-26 17:30:00,1564162200,34.88,34.9,34.88,34.9,3,33,72
2019-07-29 10:00:00,1564394400,34.73,34.73,34.5,34.52,11,12,255
2019-07-29 10:15:00,1564395300,34.62,34.92,34.62,34.92,9,11,272
2019-07-29 10:30:00,1564396200,34.82,34.82,34.68,34.68,7,5,157
2019-07-29 10:45:00,1564397100,34.84,34.84,34.7,34.84,6,17,68
2019-07-29 11:00:00,1564398000,34.84,34.84,34.35,34.35,9,1,116
2019-07-29 11:15:00,1564398900,34.36,34.36,34.36,34.36,1,10,1
2019-07-29 11:30:00,1564399800,34.46,34.65,34.44,34.64,8,1,185
2019-07-29 11:45:00,1564400700,34.7,34.7,34.62,34.62,4,5,54
2019-07-29 12:00:00,1564401600,34.63,34.68,34.41,34.68,6,26,32
2019-07-29 12:15:00,1564402500,34.41,34.41,34.41,34.41,8,5,59
2019-07-29 12:30:00,1564403400,34.4,34.5,34.4,34.5,3,13,115
2019-07-29 12:45:00,1564404300,34.5,34.61,34.5,34.5,3,10,19
2019-07-29 13:00:00,1564405200,34.42,34.61,34.42,34.61,2,11,11
2019-07-29 13:15:00,1564406100,34.5,34.5,34.5,34.5,1,11,50
2019-07-29 13:30:00,1564407000,34.5,34.61,34.46,34.46,6,4,51
2019-07-29 13:45:00,1564407900,34.45,34.53,34.45,34.53,3,2,14
2019-07-29 14:00:00,1564408800,34.6,34.6,34.46,34.6,3,14,13
2019-07-29 14:15:00,1564409700,34.45,34.6,34.45,34.6,4,15,96
2019-07-29 14:30:00,1564410600,34.6,34.6,34.6,34.6,1,20,22
2019-07-29 14:45:00,1564411500,34.4,34.4,34.39,34.39,3,21,10
2019-07-29 15:00:00,1564412400,34.6,34.61,34.6,34.61,2,3,4
2019-07-29 15:15:00,1564413300,34.61,34.61,34.42,34.42,4,4,11
2019-07-29 15:30:00,1564414200,34.45,34.54,34.45,34.54,2,5,6
2019-07-29 15:45:00,1564415100,34.52,34.52,34.52,34.52,1,8,1
2019-07-29 16:00:00,1564416000,34.54,34.54,34.54,34.54,1,1,90
2019-07-29 16:15:00,1564416900,34.6,34.67,34.6,34.67,4,1,180
2019-07-29 16:30:00,1564417800,34.67,34.67,34.67,34.67,1,14,1
2019-07-29 16:45:00,1564418700,34.81,34.81,34.67,34.67,2,3,52
2019-07-29 17:00:00,1564419600,34.82,34.82,34.82,34.82,8,7,150
2019-07-29 17:30:00,1564421400,34.75,34.75,34.44,34.44,6,2,10
2019-07-29 17:45:00,1564422300,34.48,34.48,34.48,34.48,1,143,1
